{'短评内容': '停车场在门口', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '住了几晚连续', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '早餐一般，没有什么吃的，酒店位置交通方便', '短评打分': 3}
{'短评内容': '早餐差了点，不过房间还是不错的。', '短评打分': 5}
{'短评内容': '酒店位置不错，房间设施还行。', '短评打分': 4}
{'短评内容': '酒店位置还不错，设施还算可以。', '短评打分': 4}
{'短评内容': '装修还不错，比快捷酒店好一点，这个价格不错的', '短评打分': 5}
{'短评内容': '装修还可以，没有味道，就是吃东西不太方便', '短评打分': 5}
{'短评内容': '还不错～不过在百色价格偏高', '短评打分': 4}
{'短评内容': '我们每次去云南必到百色，到百色都选择联谊大酒店，朋友说交通方便，而且酒店总体系数不错', '短评打分': 4}
{'短评内容': '帮同事预定的，价格便宜，应该还可以吧。只是开车经过百色休息的，继续以下的旅途，希望以后有机会过去休闲玩一玩', '短评打分': 4}
{'短评内容': '很好的一家酒店，位置也挺方便。', '短评打分': 3}
{'短评内容': '好！！！！！！！！！！好！！！！', '短评打分': 3}
{'短评内容': '干净舒适卫生，周边吃饭方便', '短评打分': 3}
