{'短评内容': '早餐还行，设施比较老旧，整体不值这个价位', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐好，地理位置好，有停车场，但车比较多。硬件不是太好，多己年久失修，特别是电梯不联网，上下楼太慢了；但，软件服务还好。', '短评打分': 4}
{'短评内容': '暖气还可以的', '短评打分': 3}
{'短评内容': '除了打扫卫生的阿姐比较热情，服务周到外，其他根本就没有服务。前台员工不主动，还在那自拍，领导层的员工看到客人连主动的你好也不说。期待你们的改进', '短评打分': 4}
{'短评内容': '太差了 提前好几天定的 也给短信说成功了 但是入住时酒店说查不到 又各种投诉 大晚上的 太差', '短评打分': 1}
{'短评内容': '酒店的环境非常不错，早餐也很丰盛，房间都是高层的，温度很好。', '短评打分': 5}
{'短评内容': '中规中矩吧', '短评打分': 5}
{'短评内容': '中规中矩吧', '短评打分': 5}
{'短评内容': '这个价钱真心的不爽，可是冬天的哈尔滨就这样', '短评打分': 4}
{'短评内容': '交通不错', '短评打分': 5}
{'短评内容': '交通不错', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '今天上午离开我身边了？这么一来就是一位官员今天表示将继续保持较低等生物工程有限公司将在未来两日就不说不出口啊', '短评打分': 5}
{'短评内容': '每次都住这里，干净，方便', '短评打分': 5}
{'短评内容': '大厅不错，客房一般。', '短评打分': 4}
{'短评内容': '很方便的', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '今天没住顶层，温度比较舒适', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 4}
{'短评内容': '酒店服务很好', '短评打分': 4}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间设施齐全，我就喜欢有冰吧的宾馆。大床房是两张床和在一起的，不过也很大很舒服', '短评打分': 5}
{'短评内容': '酒店环境很好，而且房间一样很干净， 以后还会选择这里，前台服务非常热情。', '短评打分': 5}
{'短评内容': '住完很久才评论，已经不太记得酒店怎样了，应该可以接受吧？', '短评打分': 5}
{'短评内容': '又住了一次，很奇怪，我上次就住的这个房间，难道酒店有记录？？？', '短评打分': 5}
{'短评内容': '酒店一般 房间设施一般 服务一般 感觉没达到四星标准', '短评打分': 3}
{'短评内容': '酒店环境一般 房间设施一般 早餐一般 没有四星标准', '短评打分': 3}
{'短评内容': '＋酒店位置不错，出行方便，吃饭办事都还可以，但是酒店内部装修绝对是三星标准甚至不如一些高级快捷酒店。尤其卫生间不好。', '短评打分': 3}
{'短评内容': '考试附近很方便 干净整洁~已经住好几次了 不错。', '短评打分': 5}
{'短评内容': '周边有不少学府  氛围不错 酒店设施还都还不错', '短评打分': 5}
{'短评内容': '第二次入住  总体来说不错  ', '短评打分': 3}
{'短评内容': '还可以，地理位置也不错。房间还算敞亮舒适，就是冲凉的地方小了点，没玻璃隔间。', '短评打分': 5}
{'短评内容': '＋条件很好，还提供双早。', '短评打分': 3}
{'短评内容': '第三次入住了，但是房间不如头两次的房型好。', '短评打分': 5}
{'短评内容': '第二次入住了，说明我对这家酒店感觉还是不错的，马上我还要第三次入住。', '短评打分': 5}
{'短评内容': '酒店不错，就是早餐一般，周围大学比较多，吃的东西也比较多。', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 3}
{'短评内容': '环境舒适，早餐欠缺', '短评打分': 3}
{'短评内容': '住宿方便，干净，服务好。离学校近。房间也很暖和。', '短评打分': 5}
{'短评内容': '还不错，这个价位还可以。这位置没有其他太好的酒店了，这个算是唯一的选择。', '短评打分': 5}
{'短评内容': '住的是标间。环境还不错，很干净。设施齐全。很舒适！', '短评打分': 3}
{'短评内容': '地点交通方便，黑龙江大学，房间设施不足最多算三星', '短评打分': 3}
{'短评内容': '室内有很大装修味道，但暖气相当好。自助餐较简单。', '短评打分': 5}
