{'短评内容': '很干净，交通便利，服务也很不错', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '干净，安静，舒适', '短评打分': 5}
{'短评内容': '酒店位置非常不错，地铁口不到200米。旁边就是凤五赛高，世纪金花，沃尔玛', '短评打分': 5}
{'短评内容': '还可以，挺方便，地铁口', '短评打分': 5}
{'短评内容': '还会再次入住的', '短评打分': 5}
{'短评内容': '还行以后西安还会再次入住的', '短评打分': 5}
{'短评内容': '整体来说还是不错的，比家庭旅馆要好，比想象中房间大，好评。', '短评打分': 5}
{'短评内容': '地理位置方便临近地铁口    环境安静舒适 工作人员服务态度好  办理也很效率  好评  赞一个', '短评打分': 5}
{'短评内容': '安静  服务好  床大又结实', '短评打分': 5}
{'短评内容': '不舒服极了，没早餐，环境也不好！', '短评打分': 1}
{'短评内容': '房间有点小  其它还可以  网络一般', '短评打分': 4}
{'短评内容': '一般吧环境', '短评打分': 4}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '房间好小', '短评打分': 4}
{'短评内容': '去的比较晚了，行李太多，房间好小，设施也都有些老久，不是很好', '短评打分': 4}
{'短评内容': '房间很卫生，如果前台可以预备点常用药就更好了', '短评打分': 5}
{'短评内容': '挺满意的', '短评打分': 5}
{'短评内容': '挺好的就是位置不好找', '短评打分': 5}
{'短评内容': '酒店内部环境一般', '短评打分': 2}
{'短评内容': '如家不错，管理规范，细节做的很不错，性价比高。前台引导不要在网站订购，说没有房子了。我还是在网站上订到了，这里要给携程点赞', '短评打分': 5}
{'短评内容': '靠近地铁，很方便。打扫卫生的阿姨很热情，前台服务很好。', '短评打分': 5}
{'短评内容': '退房时间太早', '短评打分': 3}
{'短评内容': '招牌挺大的，不过找门就没那么容易了，只睡了一晚，居然木有睡踏实。。。', '短评打分': 4}
{'短评内容': '隔音效果不太好', '短评打分': 3}
{'短评内容': '满好的。。不错，下次还会去，真的不错。。', '短评打分': 5}
{'短评内容': '网速相当慢，纠结！打开网页都十分费力，视频基本就不要考虑了哈！', '短评打分': 5}
{'短评内容': '网速太慢，能不能改善一下，酒店内不同房间传资料速度都极慢，严重了影响了办公。', '短评打分': 5}
{'短评内容': '位置不错，很方便，楼下吃的不少，离机场大巴的站点也很近，就是电梯实在是……人好多啊！', '短评打分': 5}
{'短评内容': '前台服务态度较差，所谓的特惠房就是窗户开向走廊，非常闷；去长庆油田办事挺方便的，别的没什么可取的；网络超慢', '短评打分': 1}
{'短评内容': '服务员素质不高，可能是实习的，网速很慢不能正常办公。刚开始住的房间有装修的味道，后来换了一间', '短评打分': 1}
{'短评内容': '服务很好！房间有很多选择，不错！值得推荐！', '短评打分': 5}
{'短评内容': '服务不错，地理位置不错，离地铁近，进市中心方便，可在长庆油田宾馆坐机场大巴去机场。', '短评打分': 5}
