{'短评内容': '有早餐就好了', '短评打分': 5}
{'短评内容': '非常适合……值得。', '短评打分': 5}
{'短评内容': '不错，价格便宜', '短评打分': 5}
{'短评内容': '', '短评打分': 4}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': ',,', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 4}
{'短评内容': '房间有很大的异味，设施陈旧', '短评打分': 3}
{'短评内容': '非常不错，值得推荐', '短评打分': 5}
{'短评内容': '还行吧，反正累了', '短评打分': 4}
{'短评内容': '除了电梯速度慢点，其余都是标准酒店的配置，服务也正规。', '短评打分': 5}
{'短评内容': '卫生好一般，有异味。', '短评打分': 2}
{'短评内容': '感觉真心不错 就是四点多隔壁房间的一群太吵了 吵得我们睡不着 隔音有待加强 其它都挺好的 没什么问题 早上补眠之后起来还是挺舒服的 真心赞 下次来依旧会选择这家', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
