{'短评内容': '还可以，就是房间有味道', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '说说我的体验，因为要去凤城四路办事，所以在携程上选了一个，结果很不好。酒店的实际名称就叫康斯坦丁酒店，酒店应该是住宅房间分隔改造的，居然是群租房酒店 ，非常不正规，非常差，卫生间没门，没帘子，隔壁卫生间的声音一清二楚，还有一股下水道的味道，床单也不干净。和网站的图片差异较大，真不知道携程是怎么审查的，住一晚就换了另一家正规连锁酒店，价格还比这个便宜。建议大家不要选这个酒店,除了位置之外，其他的都与', '短评打分': 2}
{'短评内容': '卫生不是很好', '短评打分': 2}
{'短评内容': '还可以，没问题', '短评打分': 5}
{'短评内容': '房间还可以，唯一就是电视的网时好时坏的', '短评打分': 5}
{'短评内容': '环境很好，西下次还去', '短评打分': 5}
{'短评内容': '酒店卫生不好', '短评打分': 1}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '还可以吧，马桶好大。', '短评打分': 5}
{'短评内容': '酒店服务人员非常不专业，本人已经在携程上全款支付2天的房费，也出示了携程的订单号和身份证，就这还不能顺利办理入住，要什么第三方预订号，我怎么会知道携程和第三方还有什么约定。特别是前台姓郭的服务人员，服务态度差。找酒店领导申诉也无法通报。 想在离店延迟到下午2点，前台服务也直接拒绝！ 好不容易找到携程客服沟通入住了，进屋子灯还是坏的，也不亮。房间内也没有独立卫生间，网站上预订时可不是这样描述的。', '短评打分': 2}
{'短评内容': '一般，卫生间是共用的', '短评打分': 4}
{'短评内容': '窗外是街道 有些嘈杂 卫生间在房子外面 共用的 房间里还好 临时住 要求不高的还行', '短评打分': 4}
{'短评内容': '设施不是很好！', '短评打分': 3}
{'短评内容': '环境一般，性价比一般', '短评打分': 3}
{'短评内容': '前台接待服务不错。其他就一般了。不能刷卡。房间太冷。都不敢去洗澡。', '短评打分': 3}
{'短评内容': '服务太差，特别是前台的有个小姐！！！！', '短评打分': 3}
{'短评内容': '房间配置不错，环境挺好', '短评打分': 3}
