{'短评内容': '无线网络很差，空调不好。没暖气。', '短评打分': 4}
{'短评内容': '公交地铁商业房间设施非常OK 亲朋好友以后接待就选这儿了带上你的乖宝宝人家也不会嫌弃你的了，太人性化了。', '短评打分': 5}
{'短评内容': '位置绝佳，就在地铁站旁边。酒店式公寓，房间很大，有沙发茶几桌子等，适合商务出行。房间Wifi密码是房间号码重复两遍，如1201房间，Wifi名字就是1201，密码就是12011201。楼下和合谷有早餐。  但是不要冬天来！没有暖气！没有空调！贴了一张纸条说10月起停止制冷，但是其实制热也不能用！11月份半夜气温都零下了！大家入住前一定问清楚空调修好没有！', '短评打分': 4}
{'短评内容': '酒店周围环境尚可，但是本身真的是太差了！从外面看是挺大的公寓，但内部环境特别差！早晨六点开始装修，想睡懒觉根本不可能！酒店服务人员态度极差！告诉我装修问题找物业去！我就操他姥姥了！', '短评打分': 2}
{'短评内容': '真不怎么样', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '给朋友定的，感觉挺旧的，门口的地垫脏兮兮的，房间地板也有突起状况。', '短评打分': 4}
{'短评内容': '整体还不错，毕竟价格在哪里摆着，门锁很有创意，据说是流行的限时密码锁。电梯人多，环境比较乱。房间里面没有梳洗东西。', '短评打分': 3}
{'短评内容': '离地铁口很近，卫生干净', '短评打分': 5}
{'短评内容': '挺好的，空调声音稍微有点大。', '短评打分': 5}
{'短评内容': '地理位置好，接待商务客人合适，值得给朋友推荐', '短评打分': 5}
{'短评内容': '每次来都住这儿，挺不错的，值得推荐。', '短评打分': 5}
{'短评内容': '酒店挺好的，每次来都住这里，值得推荐。', '短评打分': 4}
{'短评内容': '整体感觉不错，服务热情，就是前台爱和上帝顶牛，硬件设施差', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店位置很好，仅靠地铁10号线，交通方便，房间卫生较好，酒店服务人员态度好。', '短评打分': 4}
{'短评内容': '酒店离地铁10号线勁松站走路5分钟，交通非常方便，房间设备有点陈旧，清洁一般，不提供饮用水，有热水，供暖气，基本生活能保证。', '短评打分': 4}
{'短评内容': '床太硬了  洗浴也不是很干净 不过房间透光性还好！', '短评打分': 1}
{'短评内容': '感觉像个家，哈哈，生活设施很齐全，就是房间和家具有些旧。', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 3}
{'短评内容': '很不错，除了服务员偶尔会不经同意直接闯进房间。房间很大，沙发床都很舒服。适合居家', '短评打分': 5}
{'短评内容': '离地铁非常近，交通方便，环境不错，房间宽敞舒适，购物也很方便。', '短评打分': 5}
{'短评内容': '＋富顿公寓的705房间格局很好，宽大舒适，希望下次可以再次入住……', '短评打分': 3}
