{'短评内容': '一般般，卫生有待提高', '短评打分': 5}
{'短评内容': '交通便利，房间整洁，服务员服务态度较好！', '短评打分': 5}
{'短评内容': '代朋友订的，说是满意', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '值这个价  早餐有待改善', '短评打分': 3}
{'短评内容': '整体值这个价格  就是早餐几天几乎一尘不变  有待改善', '短评打分': 3}
{'短评内容': '性价比超高的一家酒店。主要是出差，住这边方便。房间很大，设施齐全，酒店应该有些年头了，有些设备老旧但不影响。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '环境很好，干净，服务周到，三星，还含早', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境，设施都一般吧，不过服务很好，不过早餐不怎么好还打包带走的，谁会拿着路上吃啊晕', '短评打分': 4}
{'短评内容': '还不错啊。吃的蛮好。', '短评打分': 3}
{'短评内容': '很不错，有提供晚上点餐的服务。房间也很干净。', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '早餐比较简单，靠马路的房间比较吵，硬件还可以', '短评打分': 5}
{'短评内容': '还不错的，就是附近没啥超市之类的，买东西不方便，要走好一段路，打的也很少，不过相对那个地区来说还不错，就是没订到有窗房，住的无窗的，有些了压抑，总体还不错。', '短评打分': 5}
{'短评内容': '位置稍偏了设施还不错，就是潮了点', '短评打分': 5}
