{'短评内容': '位置环境都不错', '短评打分': 5}
{'短评内容': '很好很漂亮', '短评打分': 5}
{'短评内容': '房间设施较老，位置好！', '短评打分': 4}
{'短评内容': '整体不错，地毯略显陈旧！', '短评打分': 5}
{'短评内容': '个人觉得房间小，空调声音大，厕所设备陈旧，居然半夜还有人在过道吼，隔音效果差，前台服务有待提升，离四星级酒店的配套和服务还是有差距的。酒店的优势主要在于位置，下面有美食街，对面有购物商场，吃饭购物方便。', '短评打分': 3}
{'短评内容': '没去住哈哈没赶上', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店位置在市中心，就是有点吵，酒店挺老', '短评打分': 4}
{'短评内容': '挺好挺好挺好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '刚刚收到货，非常不错的商品，以后还会购买！', '短评打分': 5}
{'短评内容': '还不错，性价比高', '短评打分': 5}
{'短评内容': '房价大，空调给力，免费停车，前台态度差点', '短评打分': 5}
{'短评内容': '空调很给力，房间大，唯一不好就是前台服务差点', '短评打分': 5}
{'短评内容': '房间够大，空调很给力', '短评打分': 5}
{'短评内容': '前台服务好，', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '安逸', '短评打分': 5}
{'短评内容': '方便快捷、服务好！', '短评打分': 5}
{'短评内容': '还不错哦，还不错哦，还不错哦，还不错哦，还不错哦，还不错哦，还不错哦，还不错哦，还不错哦，还不错哦，还不错哦，还不错哦，还不错哦，还不错哦，为什么要这么多字。', '短评打分': 5}
{'短评内容': '一般，太闹了！环境差', '短评打分': 4}
{'短评内容': '房间一般，外面太闹了，设备有点旧！', '短评打分': 4}
{'短评内容': '旧了', '短评打分': 3}
{'短评内容': '还是很不错', '短评打分': 5}
{'短评内容': '一般般 价格有点高', '短评打分': 4}
{'短评内容': '比较老旧，提供的早藏种类稳定不变。希望早晨能够变换些菜。', '短评打分': 3}
{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '酒店环境和服务都不错 唯一让我感到遗憾的就是 客服服务 收拾房间的人 素质也太差了吧 把包放在房间里 出去玩了会儿 包的位置动了 包里的钱也没有了', '短评打分': 5}
{'短评内容': '很不错，就是价格贵了点\n 每次回万州都会选择这里的', '短评打分': 5}
{'短评内容': '很不错，就是价格贵了点\n 每次回万州都会选择这里的', '短评打分': 5}
{'短评内容': '还可以，早餐也好，房间不算很大，床舒服。ｚｚｚｘｘｘｘ', '短评打分': 5}
{'短评内容': '推荐的酒店不错，以后还会再入住，办事比较方便的地点。', '短评打分': 5}
{'短评内容': ' 已入住~环境可以  干净  配套有歌厅  足浴 茶室 咖啡馆 中西餐厅  ', '短评打分': 3}
{'短评内容': '酒店不错，江景好！\n周边太乱，太闹。', '短评打分': 3}
{'短评内容': '在万州没有比这个酒店更好的酒店了，还可以，下次还住此酒店。', '短评打分': 5}
{'短评内容': '行政楼层有电脑，但网速慢的吓人，设施有点老化了。电视机还是上个世纪的，别的还好。位于市中心最热闹区域。这个酒店晚上会把空调关掉，只吹风不制冷，小气的很，性价比太差，万州为什么好几年了也不开一家有点档次的大酒店啊？实在是没得选择啊。', '短评打分': 1}
{'短评内容': '性价比很低，四星的酒店硬件大概只有三星的标准，但是这是万州最好的宾馆了，没办法，只有住这里。', '短评打分': 5}
{'短评内容': '很不错的房间，很干净，绝对的准四星标准，就是餐厅小了点', '短评打分': 5}
{'短评内容': '酒店设施不错，就是房间临街，有点吵。', '短评打分': 3}
{'短评内容': '房间比较好但价格偏贵！', '短评打分': 3}
{'短评内容': '酒店目前應屬當地較為高檔次的酒店，客房景觀很好，乾淨。', '短评打分': 5}
{'短评内容': '地点方便，卫生很好，服务态度也好，餐饮质量不错，价位也合适。', '短评打分': 5}
{'短评内容': '卫生条件很好，位置处于市中心，出行很方便，就是在万州这个地方，价格高一点。', '短评打分': 5}
{'短评内容': '住房很好', '短评打分': 3}
{'短评内容': '还蛮不错的  在中心圈  就是吵了点  毕竟热闹嘛', '短评打分': 3}
{'短评内容': '住了3次  在市中心圈  出门就是步行街  很方便', '短评打分': 5}
{'短评内容': '+凯莱酒店不错,很卫生,热水很好,早餐还需提高。', '短评打分': 5}
{'短评内容': '入住', '短评打分': 5}
{'短评内容': '在万州是最好的酒店了，地理位置不错，服务还可以', '短评打分': 3}
{'短评内容': '凯莱酒店环境地段都很好，房间也很干净，但稍微小了点，及价格贵了些。其他一切都很好！', '短评打分': 5}
{'短评内容': ',还不错', '短评打分': 3}
{'短评内容': '这是在万州最后的酒店,下次来万州还会住这里', '短评打分': 5}
{'短评内容': '推荐本酒店的理由是没有其他更好的选择，在万州，凯莱大概是最好的酒店了吧？！', '短评打分': 5}
{'短评内容': '各方面都不错 只是结帐的时候交了个28.1不知道是什么费用 ', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '还可以，就是价格有点点不符', '短评打分': 5}
{'短评内容': '目前出差萬州應該算是比較好的選擇', '短评打分': 5}
{'短评内容': '性价比很高，房间还不错，不过是中央空调，而且温度设得很高，晚上睡觉还有点热。', '短评打分': 5}
{'短评内容': '1111', '短评打分': 5}
{'短评内容': '就是太吵了，下面好像有个夜总会', '短评打分': 5}
{'短评内容': '我住的是07号房，是临街的，有点吵，可能十几号之前都是，大家注意了，尽量不要临街的。否则还是万州最合适的选择了。', '短评打分': 5}
{'短评内容': '早餐不是很好。', '短评打分': 5}
{'短评内容': '不错，各方面都还不错', '短评打分': 3}
{'短评内容': '各方面都很不错，每次来万州都住这里', '短评打分': 5}
{'短评内容': '凯莱的品牌，各种软硬件设施一贯不错，但是价格偏高，适合商务入住，不适合个人出行！', '短评打分': 5}
{'短评内容': '环境和服务都很好,价格如果能低点就更好了', '短评打分': 3}
{'短评内容': '在当地来说还是不错的选择，地处当地的商业中心', '短评打分': 5}
{'短评内容': '各方面都还不错，希望能继续保持并发扬光大!', '短评打分': 3}
{'短评内容': '住的不错，听说是万州做好的酒店了', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 3}
