{'短评内容': '舒适', '短评打分': 5}
{'短评内容': '舒适', '短评打分': 5}
{'短评内容': '房价小贵', '短评打分': 4}
{'短评内容': '早餐一般，房间还不错', '短评打分': 5}
{'短评内容': '酒店位置方便好找，停车方便', '短评打分': 5}
{'短评内容': '不错，价格和签约价一样', '短评打分': 5}
{'短评内容': '不错的酒店，下次再来', '短评打分': 5}
{'短评内容': '这个酒店真心不错，很干净，舒适，价格也不高，就是空调没有暖风，冬天有点遭罪了。周边有超市和广场，比较不错，推荐入住', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '外国人的第一选择，位于大众附近，日本人欧洲人经常去，四星的价格，五星的品质，非常不错了，下次在这个区域还是入住这个酒店', '短评打分': 5}
{'短评内容': '不知道，代订的。过得去吧', '短评打分': 4}
{'短评内容': '酒店真的不错，要不也不能连住两晚，第一天住的别的，但还是这个好住了就不想换了，下次还住这里', '短评打分': 5}
{'短评内容': '感觉细节不到位', '短评打分': 5}
{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '酒店的各项服务都很好，唯一的确定就是床头没有电源，在床上不能给手机充电。大家都懂的，希望有所改进。', '短评打分': 5}
{'短评内容': '年轻的酒店！', '短评打分': 4}
{'短评内容': '房间挺好，喜欢这样的明亮，入住当天下着雨，落地玻璃的窗外是南海中央公园，这样的风格与风景有着一种叫做浪漫的情调。60块的早餐有点贵，但狮山附近没有别的选择。酒店泳池不是恒温的还带有冷气，还好遇上一位很能侃的外国客人，聊的很愉快。英式风格的酒店，还有免费的游戏机，桌球等游戏，挺不错，地点有点偏，但打的很方便。', '短评打分': 5}
{'短评内容': '酒店周边环境一般，但酒店性价比高，房间设施充足', '短评打分': 5}
{'短评内容': '房间舒服，安静，物有所值。服务热情周到。', '短评打分': 5}
{'短评内容': '环境很好 很安静 装修很时尚 性比较很高', '短评打分': 5}
{'短评内容': '时尚装修, 美观大方，经济实惠 但是就是有点偏，早上打车纠结了半个多小时最后还是供应商过来接的', '短评打分': 5}
{'短评内容': '地点有点偏 但你一定要去这附近的话 我推荐这酒店 不过附近吃得选择比较少 大堂服务还是可以的 好像没有24小时厨房 夜宵要出去找\n订的是套房 睡房大 洗手间也大 现代的装修', '短评打分': 5}
{'短评内容': '很潮，很时尚的酒店。喜达屋一贯风尚，细节良好，唯中式早餐品种乏味。', '短评打分': 5}
{'短评内容': '环境不错，简约、整洁。', '短评打分': 3}
{'短评内容': '这家酒店真超值，房间大、电视机46寸，很舒服。缺点有2个，第一就是早餐太贵了，没有性价比；第二，酒店位置比较偏，周边没有很好的基础设施，出去吃个早茶都没有。', '短评打分': 5}
{'短评内容': '酒店装修风格个人很喜欢，服务也很好，大堂还有水果提供，就是自助餐种类有点少，有机会还是会去住几天。', '短评打分': 5}
{'短评内容': '环境优美，酒店干净，硬件设施完备，有机会的话，还会入住', '短评打分': 5}
{'短评内容': '干净，舒适，房间很有特色，前台服务也很热情', '短评打分': 5}
{'短评内容': '708', '短评打分': 3}
{'短评内容': '很好，昨晚住了一晚，干净、卫生，设计都是很花心思，比较独到。但服务人员似乎少了点，我们是独自上楼，独自找房间，而且打不开门，还要问总台怎样可以开门。另外被子太大太重了，被套又硬，盖着被子又热，不盖又有点冷，空调已经25度了，这点希望能够改进一下。\n总体感觉还是不错的，这个价格值了。', '短评打分': 5}
{'短评内容': '很新的酒店，設備也不錯，只是有一點貴，下次還會再過來這住', '短评打分': 5}
{'短评内容': '酒店設施蠻新穎乾淨，住起來蠻舒適的住房部分性价比高，唯一美中不足的是早餐種類較少與80元的早餐價位相比性价比就不值了(估計只值40元/位)，因為早餐費用是額外計費的，位置較偏僻周邊沒有其他地方吃飯所以只能在酒店解決用餐問題，適合自驾車出遊方式入住，整體感覺還是非常不錯的，值得再次入住，但早餐得考慮自理才行。。', '短评打分': 5}
{'短评内容': '酒店很不錯，設備都很新。不過就是沒有可以消費的地方。以獅山的行情，早餐太貴了。\n下次來還會在來住這。', '短评打分': 5}
{'短评内容': '酒店很干净!不错!环境也不错!就是早餐贵了点..', '短评打分': 5}
