{'短评内容': '房子干净，服务好，不错', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '早晨不带的，需要买早餐券，位置是在路口，不好停车！停车需要在一个医院的院里，一个晚上十块，白天五块！', '短评打分': 4}
{'短评内容': '酒店位置不错！应该是银川市中心，往西500米是银川玉皇阁，图书馆，广场等，附近还有餐馆一条街，用餐方便，酒店服务员比较热情，不愧是快捷酒店的佼佼者！信赖汉庭快捷酒店！', '短评打分': 5}
{'短评内容': '没有停车场 ', '短评打分': 5}
{'短评内容': '还行，就是一个人住床有些大', '短评打分': 5}
{'短评内容': '很好，服务很好，价格优惠', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '总体感觉还是挺不错的。', '短评打分': 5}
{'短评内容': '服务好，关键好', '短评打分': 5}
{'短评内容': '很不错的酒店，下次还会入住，房间设备有点老旧但不影响使用，离我要去的地点非常近，网速也还不错。算是值得推荐的酒店。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '空间稍微有点小', '短评打分': 4}
{'短评内容': '因为第一次来银川也摸不清楚方向想着定家连锁酒店比较放心，晚上九点多到达自驾太累也不想折腾了，进房间吓一跳岂是一个破旧了的，房间还小的就两张床的和一个人走路的位置！第二天果断换', '短评打分': 2}
{'短评内容': '位置还好，但太陈旧，不会再住', '短评打分': 3}
{'短评内容': '酒店管理很好，凭房卡乘坐电梯，室内设计合理，很有人性化，有家的感觉，周边环境好，外出交通便利，室内两张床，一大一中，完全满足一家人需要，衣柜设计好，衣服及行李都能放。', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地段很方便，周边吃饭很不错。值得推荐', '短评打分': 3}
{'短评内容': '还不错，刚开始电视有点儿问题，很快就修好了，服务比一线城市稍差一点，但总体说来还比较满意，主要是交通便捷', '短评打分': 3}
{'短评内容': '位置不错，出租车自从5月份从5元升到7元后，不难打到了，去哪都很方便。但是，浴室有味道，房间隔音差，隔壁的声音都听得清楚。热水管道维修了两次，被逼在凌晨5点起床洗澡，而且水温经常不够热。', '短评打分': 1}
{'短评内容': '位置不错，出租车自从5月份从5元升到7元后，不难打到了，去哪都很方便。但是，浴室有味道，房间隔音差，隔壁的声音都听得清楚。热水管道维修了两次，被逼在凌晨5点起床洗澡，而且水温经常不够热。', '短评打分': 1}
{'短评内容': '位置不错，出租车自从5月份从5元升到7元后，不难打到了，去哪都很方便。但是，浴室有味道，房间隔音差，隔壁的声音都听得清楚。热水管道维修了两次，被逼在凌晨5点起床洗澡，而且水温经常不够热。', '短评打分': 1}
{'短评内容': '服务员的态度有点差 需要改进!安全措施不错，临街的比较吵，比较干净', '短评打分': 5}
{'短评内容': '环境好，服务态度也很好，强烈推荐，现场定的房间3分钟就可以住了，速度呀', '短评打分': 5}
{'短评内容': '酒店还凑合，就是出租车非常难打', '短评打分': 3}
{'短评内容': '位置不错，但是屋内房间有异味、洗澡水温不够、房间也不如其他地方汉庭房间大。', '短评打分': 1}
{'短评内容': '服务还好，就是早上太早到需要等到9点才能入住。', '短评打分': 5}
{'短评内容': '环境很不错，离市中心很近，交通也挺方便的', '短评打分': 5}
{'短评内容': '环境舒适，服务态度好，房间很干净。虽然靠路边，但是房间向内侧也不吵', '短评打分': 5}
{'短评内容': '好的', '短评打分': 3}
{'短评内容': '服务不错   有餐厅  餐费比在外面吃还便宜 ！！！！！！！！服务人员也很热情，不过就是听车场有点小 ', '短评打分': 5}
{'短评内容': '还可以，位置不错。住着也算舒服。。。。。。', '短评打分': 5}
{'短评内容': '通方便，干净卫生，服务态度较好，就是房间有点小。 \n', '短评打分': 5}
{'短评内容': '交通方便，干净卫生，服务态度较好，就是房间有点小。', '短评打分': 5}
{'短评内容': '卫生和位置都不错的，就是有的房间太小，我同时订了两间价钱一样的房，一个放小很多', '短评打分': 5}
{'短评内容': '很好，价格也合适。很干净、卫生。在市区，很方便', '短评打分': 5}
{'短评内容': '不错干净,就是房间小', '短评打分': 3}
