{'短评内容': '还不错，房间大，', '短评打分': 5}
{'短评内容': '还不错，房间挺大的', '短评打分': 5}
{'短评内容': '房间不是特别干净', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐能够吃饱，但唯一的青菜是小白菜，所有的根都是烂的', '短评打分': 4}
{'短评内容': '大床房的床超大，感觉有2.4宽，一个人住的，很爽，130块钱还带早餐，算很超值了，主要是还提供免费车位', '短评打分': 5}
{'短评内容': '一般很少评价，此次体验感觉实在差；1.很小的房间里干蒸房有个禁止使用的干蒸房:2.房间没桌子，不能办公，让前台提供一张桌子，要加30元；实在没办法就加20元升级到8楼房间；3.前台服务人员实在服务能力差，态度差；但打扫卫生得阿姨很好。4.住宿几天，电话到前台说明下午2点退房，前台要求一个小时加20元，就是要加40元，最终才同意1点退房；5.房间门锁坏了，门锁活动，不安全，也不好开，要求修一下，住了', '短评打分': 3}
{'短评内容': '挺不错的，环境服务都很好', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '不错，方便！', '短评打分': 5}
{'短评内容': '位置比较好，吃喝也方便，是每次来鄂州的首选，就是房间灰尘有点多', '短评打分': 4}
{'短评内容': '房间较小，室内光线较暗，照明设备不多', '短评打分': 3}
