{'短评内容': '再次入住', '短评打分': 5}
{'短评内容': '确实不错。', '短评打分': 5}
{'短评内容': '一般般吧，考试临时住的，还可！', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '帝都的房价而且在三环内这个价已经很便宜了，窗外风景还不错，能看到中央电视塔', '短评打分': 5}
{'短评内容': '。。。。。。。', '短评打分': 5}
{'短评内容': '极小，极为简陋，恍惚到了70年代，，，', '短评打分': 1}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '各方面条件一般般', '短评打分': 5}
{'短评内容': '酒店还不错，设施稍有点陈旧，不过这个价格还是很不错的了，外面吃饭的地方很多，很多卖小吃的，交通非常方便，两三百米就有地铁站。', '短评打分': 4}
{'短评内容': '电梯修好了，可惜退房3，房间还不错，价格便宜', '短评打分': 4}
{'短评内容': '位置很好，设施太简陋了。吃饭和超市都很方便。对得起这个价格吧', '短评打分': 4}
{'短评内容': '位置很好，设施太简陋了。吃饭和超市都很方便。对得起这个价格吧', '短评打分': 4}
{'短评内容': '位置很好，设施太简陋了。吃饭和超市都很方便。对得起这个价格吧', '短评打分': 4}
{'短评内容': '性价比高，核心地段实属在易', '短评打分': 3}
{'短评内容': '交通方便，较干净，价格低，都满意', '短评打分': 3}
{'短评内容': '临时住住还行 不过缺点也是显而易见的..........', '短评打分': 5}
{'短评内容': '1、地理位置还可以，近西三环、首体、动物园，离地铁站有一定的距离，打车好走\n2、房间装修还不错，床、桌显得比较新\n3、价格在这个地方算是性价比比较高的了', '短评打分': 5}
{'短评内容': '单人间很小，床单上也有很多没洗干净的污渍，隔音效果也不太好，但是设施还行，装修过的', '短评打分': 3}
{'短评内容': '房间比较简单，干净，被褥有些陈旧，由于是特价房位于中间，隔音效果极差。', '短评打分': 3}
{'短评内容': '隔音太差了，其他都还好…', '短评打分': 3}
{'短评内容': '这个宾馆比较难找，不太容易识别。但是 性价比还可以，比较干净卫生，设备也比较齐全。周边的夜市比较好。周边没有地铁，比较不方便。', '短评打分': 5}
{'短评内容': '只能说比较便宜，老板人挺好的。谈不上服务质量、条件什么什么，适合低标准的人去居住。。', '短评打分': 1}
{'短评内容': '外部隔音还可以，内部就不太好。其他还可以吧', '短评打分': 3}
{'短评内容': '隔音太差', '短评打分': 3}
{'短评内容': '挺好的，挺干净', '短评打分': 3}
{'短评内容': '太不人性化,开三人间不可以四个人住.必须要求几人间就住几个人,房内设施太老旧,有点破!!!', '短评打分': 1}
{'短评内容': '宾馆虽然靠近路边，但安装的是双层玻璃窗，外部噪音控制的很好，房间很紧凑，也比较干净。楼下有86路公交到国家图书馆很方面。需要改进的是房间门和地板的间隙较大，内部噪音控制的不好。', '短评打分': 5}
{'短评内容': '酒店内环境不好，价格偏高。不过还算安静。', '短评打分': 1}
{'短评内容': '差强人意，没有台灯，有点郁闷…', '短评打分': 3}
