{'短评内容': '位置比较方便，在天长找个合适的酒店还真不容易', '短评打分': 5}
{'短评内容': '帮朋友预定的，他觉得不太满意，和网上的信息不符，周围在施工，环境较差~', '短评打分': 1}
{'短评内容': '就是房间里太吵了，五楼KTV的声音不是一点点吵，其他性价比还算高。', '短评打分': 3}
{'短评内容': '出差入住的，房间很宽敞，但是一开门进去就一股很重的味，貌似很久没人入住过！', '短评打分': 1}
{'短评内容': '房间挺大的，就是位置有点偏，还是推荐一下了。', '短评打分': 5}
{'短评内容': '很好  就是KTV吵了点  \n很好  就是KTV吵了点  \n很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  ', '短评打分': 5}
{'短评内容': '很好  就是KTV吵了点  \n很好  就是KTV吵了点  \n很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  很好  就是KTV吵了点  ', '短评打分': 5}
{'短评内容': '很好  就是KTV吵了点  很好  就是KTV吵了点   很好  就是KTV吵了点  \n很好  就是KTV吵了点  \n很好  就是KTV吵了点  \n很好  就是KTV吵了点  \n很好  就是KTV吵了点  ', '短评打分': 5}
{'短评内容': '蛮好的，比较便利，公司出差都会选择这里啦。房间比价大，但是隔音效果不是很好。...................', '短评打分': 5}
{'短评内容': '房间灯有的不亮，打了客服，半天没来。\n镜子于是坏的，房间的门自己的卡都打不开，还是客服打开的。\n其他的还好，下次还会入住的。', '短评打分': 5}
{'短评内容': '基本还行，不过不能延迟两个小时退房，令我很郁闷，其他酒店大多就是可以的', '短评打分': 5}
{'短评内容': '别的还行，就是住宿环境差了点，隔壁就是会所，那音乐一直吵，房间隔音效果不行，9点上床到2点多才睡着。', '短评打分': 1}
{'短评内容': '00000000000000000000000000000000000', '短评打分': 5}
{'短评内容': '很好  公司出差都住这里  很好  公司出差都住这里  很好  公司出差都住这里', '短评打分': 5}
{'短评内容': '一如既往地很好，晚上有点吵，12点后就好了，性价比高', '短评打分': 5}
{'短评内容': '一如既往，性价比高，地理位置好，以后一直住这里。', '短评打分': 5}
{'短评内容': '一直住的这家，晚上稍微有点KTV的声音，不过性价比很高，地方也很好找。', '短评打分': 5}
{'短评内容': '很不错  比较大 就是偏僻了一点  很不错  比较大 就是偏僻了一点 很不错  比较大 就是偏僻了一点 ', '短评打分': 5}
{'短评内容': '很好  就是偏僻一点  很好  就是偏僻一点  很好  就是偏僻一点 很好  就是偏僻一点', '短评打分': 5}
{'短评内容': '房间很大，很干净，整洁卫生，唯一的缺点就是灯光太暗了。其他的没话说。价格合理。', '短评打分': 5}
{'短评内容': '房间整洁卫生，环境不错。性价比很好。值得推荐！', '短评打分': 5}
{'短评内容': '很好 就是偏僻了一点  很好 就是偏僻了一点  很好 就是偏僻了一点', '短评打分': 5}
{'短评内容': '出差都住这里    还是比较好的  就是偏僻了一点   出差都住这里    还是比较好的  就是偏僻了一点 ', '短评打分': 5}
{'短评内容': '住的豪华标间，很大，有点吵！但开发区的酒店更偏。打车还算方便。', '短评打分': 5}
{'短评内容': '总体觉得客房条件较好，性价比高；但周边的娱乐场所，到了夜晚声音较大。', '短评打分': 5}
{'短评内容': '很好，很好，很好，不错的酒店，很好，很好，很好，不错的酒店', '短评打分': 5}
{'短评内容': ' 已经住过几次，还可以吧，毕竟天长没什么好酒店', '短评打分': 3}
{'短评内容': '很超值。。。不过就是位置有点偏。。不过天长出差的话可以选择的酒店也就它了。。假日酒店更偏。。', '短评打分': 5}
{'短评内容': '酒店卫浴设施不错。就是隔音不好，晚上有点吵。', '短评打分': 3}
{'短评内容': '感觉还是可以的。干净。就是早餐品种太少了点。\n不过性价比是不错的。\n值得推荐。\n另外一点就是这里的出租车不太多。', '短评打分': 5}
{'短评内容': '房间很好，床很大，照明再亮点更好。', '短评打分': 3}
{'短评内容': '位置稍偏,床垫太差,设施一般，价格还算公道,晚上夜总会太吵', '短评打分': 5}
{'短评内容': '总体感觉还不错,就是床垫睡得不大舒服!', '短评打分': 3}
{'短评内容': '很好！就是位置有点偏了，很不好打车！呵呵', '短评打分': 5}
{'短评内容': '房间挺大的，地理位置也不错，出差是个不错的选择', '短评打分': 5}
{'短评内容': '很好!只是指示牌不清楚，不好找到房间。', '短评打分': 5}
{'短评内容': '位置很好找，房间也比较安静，唯一就是房间小，我住的大床A', '短评打分': 5}
{'短评内容': '酒店服务挺好，挺周到的，房间挺干净的，有电视、空调，能上网，而且网速也不错，住的挺舒适的。', '短评打分': 5}
{'短评内容': '前台服务挺好，态度很热情，办事效率挺快的，房间挺干净整洁，价格挺合适的，值得推荐。', '短评打分': 5}
{'短评内容': '酒店设计的挺现代化的，房间面积挺大，设施挺完善的，服务也很好，住的挺舒适的。', '短评打分': 5}
{'短评内容': '酒店有停车场，停车挺方便，服务卫生方面也很好，设施也不错，最主要价格公道。', '短评打分': 5}
{'短评内容': '酒店在开发区了，有点偏，但是交通还成，服务卫生也不错，价格也不贵，还是可以推荐的。', '短评打分': 5}
{'短评内容': '房间宽敞舒适，干净整洁，设施齐全，服务周到，价格实惠，住的很满意。', '短评打分': 5}
{'短评内容': '价格挺实惠的，房间挺宽敞，设施该有都有，感觉挺不错。', '短评打分': 5}
{'短评内容': '环境一般，但是晚上夜总会太吵', '短评打分': 5}
{'短评内容': '管理混乱，前台没人。在等着登记的十几分钟里，好几位客人投诉别人可以打开子的的房间，自己缺进不去。', '短评打分': 1}
