{'短评内容': '交通吃饭很方便', '短评打分': 3}
{'短评内容': '就服务还可以，挺快的，但卫生间冲水慢毛巾脏，空气也不好， 仅适合没有酒店时一住，位置还不错~', '短评打分': 1}
{'短评内容': '酒店很旧，卫生差，屋里的灯很昏暗，只有床头有灯，屋顶没有灯。服务态度一般。', '短评打分': 1}
{'短评内容': '秦都饭店环境还是挺干净的，就是没早餐，有点遗憾！', '短评打分': 3}
{'短评内容': '酒店太差了，自称准三星，就是一陕西马车店而已。西安市该撤换管理人员了，根本谈不上管理。\n1、屋子里灰尘处处皆是，喊服务员来清理，他们只负责你指出的地方。\n2、所谓宽带就是一无线热点，账号密码全部公开（这就有问题了，估计能用的话，周围居民也会把它挤垮了），根本不能用，要求也不予答复。\n3、房间设施陈旧，毛巾估计是2元货，而且估计已经使用了2年以上了。\n4、洗刷用品要才给，诱导消费他们的收费物品。\n5', '短评打分': 1}
{'短评内容': '隔音不太强。没有一次性的牙具和香皂 也许是为了低炭环保吧   地理位置很好 闹中取静 周边餐饮很好 西安饭庄 馄饨侯 总体来说不错', '短评打分': 3}
{'短评内容': '一般般打个75吧', '短评打分': 3}
{'短评内容': '房间不卫生，洁具是收费的，拿起拆开后才看到一行字，免费的向总台要，有误导消费嫌疑！', '短评打分': 3}
{'短评内容': '很好，非常好，超级好，环境很干净，很实惠', '短评打分': 5}
{'短评内容': '旅馆比较旧了，卫生物品也比较旧，可能是年终了，没什么服务人员。总体感觉一般。', '短评打分': 3}
{'短评内容': '价格不错，交通方便，环境还可以吧，周围吃饭购物都很方便', '短评打分': 5}
{'短评内容': '价格便宜，地点好，就是卫生条件差些，停车一天要花40元，可能这个价格只能值这样了！', '短评打分': 1}
{'短评内容': '地处位置繁华，但空间太小，生人不太好找，交通便利，卫生一般，服务不错，价格适中，经济实惠吧！要是有停车位就很好了！', '短评打分': 5}
{'短评内容': '酒店的地址还可以，交通算是方便，但酒店的条件实在是太差，设施陈旧，卫生也不好.隔音也差！网络是无限的，速度较慢。', '短评打分': 1}
{'短评内容': '地点还好，就是环境一般，有很多蚊子，本来定了两天，住了一天就赶紧换地方了', '短评打分': 1}
{'短评内容': '非常一般的酒店，锁门的时候还要向上提一下才锁上，房间蚊子超多，也没找到电蚊香一类的！半夜起来打了半天蚊子，床咯吱咯吱响，只要一翻身就响！上午想洗个澡放了半个小时水竟然没有热水，不知道为什么！其他就不说了，当时说是三星标准，没看出来！！！', '短评打分': 1}
{'短评内容': '很近，。总体不错 .交通方便，地铁，公交都有', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '酒店比较干净，地理位置比较好。交通、就餐都比较方便。', '短评打分': 5}
{'短评内容': '服务还行，就是房间就了些', '短评打分': 3}
{'短评内容': '特别糟糕，不能住，特别脏乱差。服务太不超级不好。', '短评打分': 1}
{'短评内容': '前台工作效率慢的出奇，并且服务态度也不是很好，其他的都是一般！', '短评打分': 1}
{'短评内容': '很好，不错', '短评打分': 3}
{'短评内容': '交通便利，距四号线新街口地铁站五分钟。缺点是人工服务跟不上。做为一家驻京办，也就这样了', '短评打分': 5}
{'短评内容': '酒店位置不错，距离德胜门公交枢纽很近。冬天没有暖气，这是一大缺憾，希望以后改进', '短评打分': 5}
{'短评内容': '位置不错~周围环境也还好~就是房间有点老~不过很安静~', '短评打分': 5}
{'短评内容': '同价位酒店配置比这家要好一点，这家酒店房间的很多插座不可用，且结账开票所用的电脑比较老，耽误时间。', '短评打分': 1}
{'短评内容': '酒店环境一般。就是位置好，价位有些偏高。', '短评打分': 1}
{'短评内容': '酒店还行，价位在低点就好了。', '短评打分': 5}
{'短评内容': '房间比较老，床也是老得基本都是配在一起的...卫生间是很大，但是浴室却小的可怜，弯腰都不自在...本人真的不胖... 国庆期间可能真的很忙，叫打扫下房间都只是把卫生间垃圾给倒了. 不过至少前台服务态度还是不错的...总之呢，同比价格的房还是住连锁酒店的好...', '短评打分': 1}
{'短评内容': '位置很好，不只地铁，外出乘公交车也很方便。不错！', '短评打分': 5}
{'短评内容': '西安市驻京办所在地。酒店在小胡同里，环境比较安静，但房间设施陈旧，不够舒适，服务也不敢恭维，如果不是周边酒店都没有房间，肯定会考虑换酒店。', '短评打分': 1}
{'短评内容': '还可以吧，比较安静，离后海有段距离，不过还好，正好散步', '短评打分': 5}
{'短评内容': '这个酒店设施服务都一般， 但是位置和性价比好.', '短评打分': 5}
{'短评内容': '预定的是大床房,来了说大床房的床是单人床,只有标间,价格比大床房贵!从198变成230还说是网站信息错误!住了标准间卫生太差!设施差', '短评打分': 5}
{'短评内容': '感觉比之前想的好就是床单和枕头有些脏了', '短评打分': 5}
{'短评内容': '凑合住吧', '短评打分': 5}
{'短评内容': '环境还可以吧,就是立减十元没有兑现.', '短评打分': 5}
{'短评内容': '已入住满', '短评打分': 5}
