{'短评内容': '酒店位置好找。', '短评打分': 5}
{'短评内容': '感觉不是很干净，设施设备很多都是坏的，电视信号不好！下水道堵塞！', '短评打分': 2}
{'短评内容': '价格合理，交通也比较方便', '短评打分': 5}
{'短评内容': '淋浴非常不错', '短评打分': 5}
{'短评内容': '超级差！开了两天房却不给确认，要每天报备，什么东西，头次遇到！无语！', '短评打分': 1}
{'短评内容': '挺实惠的 昨天晚上有人敲门 吓了一跳 不知道是不是治安问题', '短评打分': 5}
{'短评内容': '为什么要6个字才能提交？', '短评打分': 5}
{'短评内容': '信息trap你XP我', '短评打分': 5}
{'短评内容': '可以吧性价比很高', '短评打分': 5}
{'短评内容': '还可以还可以', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 4}
{'短评内容': '环境一般', '短评打分': 4}
{'短评内容': '地方很好找，', '短评打分': 5}
{'短评内容': '干净，方便，快捷。房间较小', '短评打分': 5}
{'短评内容': '酒店房间还可以，交通比较方便', '短评打分': 5}
{'短评内容': '酒店房间特别干净，整洁，下次还来', '短评打分': 5}
{'短评内容': '服务好，房租干净', '短评打分': 5}
{'短评内容': '推荐入住', '短评打分': 4}
{'短评内容': '地理位置有点偏僻，但是安静', '短评打分': 5}
{'短评内容': '帮同事预订，不错', '短评打分': 4}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '不错，离老婆家很近，比较方便，住的很舒服。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
