{'短评内容': '环境越来越差了', '短评打分': 3}
{'短评内容': '非常喜欢', '短评打分': 5}
{'短评内容': '一分钱一分货，哈哈', '短评打分': 1}
{'短评内容': '挺好的，虽然小了点，不过东西很全，性价比蛮高的，网速也很快，热水器热水也来的很快。周围吃的也多，离地铁站也很近，很满意的一次入住。', '短评打分': 5}
{'短评内容': '太差了，酒店味道很大，被单都带血的没洗干净。', '短评打分': 1}
{'短评内容': '物有所值！上海第二个家！', '短评打分': 5}
{'短评内容': '一般不太好', '短评打分': 3}
{'短评内容': '空间真的好小，只适合住一个人，房间空气还可以，店家挺好的，国庆也挺便宜的，上海一游住了2晚感觉还不错', '短评打分': 3}
{'短评内容': '酒店环境不错，就是老旧了些，经济实惠，服务很好，很热情，特别要点赞23入住当晚有个女服务员就算着急吃饭也很耐心地教我门锁的使用，谢谢！但是wifi方面不行，现在酒店没这个就服务跟不上了，希望可以跟进这个。但是有个问题：房费260元，为何发票只有228.8元？非常不理解！', '短评打分': 5}
{'短评内容': '酒店位置在远洋宾馆附近，房间不大，硬件设施一般，交通还算方便，价格适中，性价比较高，以后还会预定。', '短评打分': 4}
{'短评内容': '这不是一般的差，本来定了大床房结果小的没话讲后来加钱改成商务房????还是小，早知道还是住连锁了，这么差的酒店没话说了。', '短评打分': 1}
{'短评内容': '房间太小，涉事和卫生还可以，服务员态度不错', '短评打分': 3}
{'短评内容': '酒店地段较好，比较卫生', '短评打分': 4}
{'短评内容': '酒店地理位置不错，也干净卫生。', '短评打分': 4}
{'短评内容': '越来越差', '短评打分': 3}
