{'短评内容': '非常的好啊', '短评打分': 5}
{'短评内容': '吹风是坏的，床单睡着也特别粗糙', '短评打分': 4}
{'短评内容': '房间很大，', '短评打分': 4}
{'短评内容': '位置好，加床应该是不行的，我觉得很好，只是没有空调用的暖气，其他的都可以，还有各种茶叶啊什么的，挺不错的，性价比高', '短评打分': 5}
{'短评内容': '花洒是坏的，面盆水龙头是坏的，房间靠近马路好吵的，公寓房间一般比同等价格的酒店房间大些些，只是硬件太差舒适度不高的', '短评打分': 4}
{'短评内容': '快捷方便可用白条用户体验棒很喜欢京东的这个功能', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '精致，位置好', '短评打分': 5}
{'短评内容': '精致，位置好', '短评打分': 5}
{'短评内容': '还行吧！就是暖气不够热！', '短评打分': 4}
{'短评内容': '服务差，房间重复登记，半夜有人闯入！！！', '短评打分': 3}
{'短评内容': '房间很大，吃喝方便，家庭出游，房型设计不错.', '短评打分': 5}
{'短评内容': '地理位置很好 酒店在西宁来说还是相当不错的 比之前订的五星酒店条件还好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '厕所下水道不通，洗澡都是水', '短评打分': 4}
{'短评内容': '挺棒的，挺安静，房间很暖和，就是退房时间有点早，应该和其它酒店一样，两点退房', '短评打分': 5}
{'短评内容': '今年7月14日坐火车自由行去西宁旅游，前三晚入住在朋友订的西宁大十字南大街钱柜第一客栈，因为第四晚要在青海湖黑马河住一晚，钱柜房间紧张，退房后就不能继续入住钱柜，而这家酒店离钱柜第一客栈很近，大概10分钟路程，与朋友会合也比较方便，所以就订了这家酒店。酒店在南大街红十字北夏都国际10楼，虽然只有10楼一层，但环境很不错，楼下有餐厅，周边也有许多小吃店，离莫家街、马忠食街也很近，17号晚在携程网订的', '短评打分': 5}
{'短评内容': '房间不错！宽敞明亮，干净卫生。就是公共走廊及电梯卫生稍差些。适合家庭旅游居住或长期出差人士偶尔住下此类公寓有点家的感觉。', '短评打分': 3}
{'短评内容': '就是在住宅里面装修了一层楼，连大堂都没有，就像出租房，不算酒店', '短评打分': 3}
{'短评内容': '位置好，房间大，干净卫生还安静，没有任何干扰很温馨，房间内有无线，很方便。门头正在装修，标识不明显，需要改进。 ', '短评打分': 5}
{'短评内容': '位置好，房间大，干净卫生还安静，没有任何干扰很温馨。门头正在装修，标识不明显，停车不方便，需要改进。', '短评打分': 5}
{'短评内容': '酒店位置还不错！离西宁的市中心比较近。走路五分钟就到了。\n房间很大。设施很新。\n只不过酒店是私人经营的那种，不是正式的酒店管理的那种。\n所以大家在选择的时候要根据自己的喜好来做决定。\n如果是一家人旅游度假还可以。\n', '短评打分': 5}
{'短评内容': '出差西宁  住了三晚小套房   很温馨  地理位置也很好', '短评打分': 5}
{'短评内容': '酒店地理位置不错、交通方便，房间做的很有特色很温馨，干净整洁。服务人员态度都很好服务很周到，很有家的感觉。办公室负责的小妹也很漂亮！！！！哈哈', '短评打分': 5}
{'短评内容': '房间够大，非常温馨，大堂经理有一双漂亮的小眼睛，而且服务非常贴心，很喜欢。走之前提了一点小意见给他们领导，都很实事求是的进行了解释，非常好的酒店，价格也公道，下次去的时候大堂应该装修好了，那就更棒了！', '短评打分': 5}
