{'短评内容': '一般也只能是客气的了。', '短评打分': 3}
{'短评内容': '还行吧 整体上', '短评打分': 5}
{'短评内容': '哦还不错啊', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺棒的。干净，卫生也不错', '短评打分': 5}
{'短评内容': '很不错一直在这里住', '短评打分': 5}
{'短评内容': '特价的时候买了一堆，挺好的', '短评打分': 5}
{'短评内容': '很满意的住宿', '短评打分': 5}
{'短评内容': '其他还不错，就是塞卡片的有点多', '短评打分': 3}
{'短评内容': '干净整洁，不错的选择！', '短评打分': 5}
{'短评内容': '交通便利，挺好的，就是太吵了。', '短评打分': 5}
{'短评内容': '好评！', '短评打分': 5}
{'短评内容': '环境还算干净 周边环境较差', '短评打分': 4}
{'短评内容': '不错，下次还要去住', '短评打分': 5}
{'短评内容': '还不错的！', '短评打分': 5}
{'短评内容': '奥斯卡开始考试了刁磊旅行旅行旅行旅行', '短评打分': 5}
{'短评内容': '挺好不错，很方便。', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '除发现了小强、没有吹风机外，环境价格还比较满意', '短评打分': 5}
{'短评内容': '环境很好，卫生清洁，交通便利，服务也不错，已连续续住。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '环境很好，卫生清洁，交通便利，服务也不错，已连续续住。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '环境很好，卫生清洁，交通便利，服务也不错，已连续续住。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '环境很好，卫生清洁，交通便利，服务也不错，已连续续住。', '短评打分': 5}
{'短评内容': '前台身材高大的男工作人员应该是吃枪子儿了 说话很气人服务态度极差！\n并且现在如家的早餐不仅价格上涨而且早餐质量比以前降低！', '短评打分': 1}
{'短评内容': '酒店服务一般~地点不错  就是空调的噪声有点大 希望换新', '短评打分': 5}
{'短评内容': '房间比较宽敞，位置好，下次还来，总体感觉满意', '短评打分': 5}
{'短评内容': '环境很好,一直都住如家,很适合外出旅游时居住,价格也比较合理', '短评打分': 3}
{'短评内容': '服务员的态度很好，只是住的时候由于周边的道路施工有点小噪音，其他的都挺好 房间没有异味，挺卫生的  还会再来！', '短评打分': 5}
{'短评内容': '总体感觉还不错，就是搁音效果稍差，睡觉能听见隔壁洗澡水声', '短评打分': 3}
{'短评内容': '舒服方便 让人可以休息的很好的 让我心情愉快 希望大家多多入团呵呵', '短评打分': 5}
{'短评内容': '特别好  因为一些情况 第二天没走 店家还是以特价优惠的还是这个价格~   房间很大  很干净！  厕所有点小   真的很不错！', '短评打分': 5}
{'短评内容': '感觉很好，周围环境很安静。', '短评打分': 3}
{'短评内容': '环境舒适，设施完整，干净卫生，服务态度好', '短评打分': 5}
{'短评内容': '环境还可以，交通方便，服务也差不多，打扫卫生也算比较及时', '短评打分': 5}
{'短评内容': '真火大    我订的时候是141一晚，去了说是188一晚，还扯什么不会有这么便宜的房，坑爹呢这是！！！！！！！！！！      很恶劣！', '短评打分': 1}
{'短评内容': '挺不错  ，就是有点远  而且设施不错，服务也挺好就是附近比较冷清', '短评打分': 5}
{'短评内容': '酒店干净卫生。交通方便。下次到天津还到那住！！', '短评打分': 5}
{'短评内容': '房间条件还可以，快捷酒店标准，但是隔音。。。。。。晚上。。。。。。。', '短评打分': 5}
{'短评内容': '己入住，服务不错，我遗忘了信用卡，马上给迭到房间来了', '短评打分': 3}
{'短评内容': '我每次都在这里订，方便又有优惠，挺不好错', '短评打分': 3}
{'短评内容': '，比较实惠，到摩天轮比较近，打车15元以内', '短评打分': 3}
{'短评内容': '一般吧。服务不如如家其他的店好。毛巾浴巾都特别脏。', '短评打分': 1}
{'短评内容': '特惠房确实便宜，但房间实在太差了，暖气不知道为什么噪音特别大，流水声非常响。空调经常吹异味，相当难闻。', '短评打分': 5}
{'短评内容': '交通方便，房间有点小，卫生还可以，服务员态度一般。', '短评打分': 5}
{'短评内容': '房间不错，价格合理，要是退房时间能延长就更好了。', '短评打分': 3}
