{'短评内容': '出门200米就是泉城广场，趵突泉/大明湖/芙蓉街/曲水亭街基本都在步行范围之内，位置相当好，话说济南还真不算大哈。设施略老旧，服务态度好。', '短评打分': 4}
{'短评内容': '房间干净，周边环境好，离趵突泉公园近，泉城广场近，旅游、购物、用餐很方便。', '短评打分': 5}
{'短评内容': '不错 地理位置方便 房间也干净', '短评打分': 5}
{'短评内容': '很满意，很舒服，离景点，广场近，方便', '短评打分': 5}
{'短评内容': '订的家庭房，貌似是标间加了一个床，都木有床垫子。卫生环境都还好。', '短评打分': 4}
{'短评内容': '赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '房间小小的 挺好的', '短评打分': 5}
{'短评内容': '设施老旧，价格也不是很便宜，但地理位置优越', '短评打分': 5}
{'短评内容': '设施老旧，价格也不是很便宜，可能是地理位置优越造成的吧', '短评打分': 5}
{'短评内容': '价格事宜，交通方便，安静，适合出差，旅游，棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒', '短评打分': 5}
{'短评内容': '我觉得还不错', '短评打分': 5}
{'短评内容': '总体来说这个价位还可以，其他都好，就是墙壁该刷新了。', '短评打分': 5}
{'短评内容': '住的设备好差', '短评打分': 2}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '交通便利，体验基本符合预期…', '短评打分': 4}
{'短评内容': '有点年久失修了：马桶冲水不太好、灯头灯坏了也不换，其他都还可以，服务还不错，性价比高！', '短评打分': 4}
{'短评内容': '真心说一般般，停车真不方便', '短评打分': 4}
{'短评内容': '挺方便', '短评打分': 5}
{'短评内容': '设施简陋，价格合理，餐饮简单，服务好，适合商务出差', '短评打分': 4}
{'短评内容': '锦江之星就是这样～价格合理！', '短评打分': 4}
{'短评内容': '出差，住5楼标准间，供暖太差了。房间很冷。开空调又很干，每晚挨冻。', '短评打分': 3}
{'短评内容': '位置挺好的，市区中心地带，周边商场饮食都方便！', '短评打分': 4}
