{'短评内容': '酒店不错，住了好几次了', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': 'is very good HOTEL with kindly treatment in reception', '短评打分': 4}
{'短评内容': '订单处理不及时，耽误时间', '短评打分': 4}
{'短评内容': '출장. 깨끗하고 근처 시장이랑 먹거리도 있고 . 1층에는 카페베네 커피숍이있습니다 ', '短评打分': 4}
{'短评内容': 'thank for the opportunity that give me stay here ', '短评打分': 5}
{'短评内容': '不错的酒店，价格合适，下次还会住。 该酒店位置很好的，有方便找。周边的生活设施很齐全 ，出行也很方便的。会推荐给朋友。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '只能说一般', '短评打分': 3}
{'短评内容': '酒店老旧，服务跟不上，配置简单，服务员态度好。', '短评打分': 2}
{'短评内容': '还好吧，只是酒店或许太久了，里面的东西看上去有点不舒服，电视还是很老的那种，呵呵', '短评打分': 5}
{'短评内容': '地方方便。但是酒店设施逐渐老化了，住的人较杂，停车方便。', '短评打分': 5}
{'短评内容': '酒店位置很好，出行方便。', '短评打分': 3}
{'短评内容': '服务不错，叫早服务同屋电话挂得早，结果服务生跑来楼上敲门，坚持把我们叫醒，感动哈', '短评打分': 5}
{'短评内容': '还可以，环境还行，但是娱乐反面就没有了。早餐不好。', '短评打分': 5}
{'短评内容': '蛮不错的一家酒店\n只是床铺太小了，我住的豪华单人间。床底太硬。', '短评打分': 5}
{'短评内容': '服务好。屋子干静', '短评打分': 3}
{'短评内容': '卫生干净，服务好，早餐还比较丰富，我喜欢，下次还会入住此酒店', '短评打分': 5}
{'短评内容': '房间太小点，早餐不怎么好吃，网速还行，床有点硬，其他一般般。。', '短评打分': 1}
{'短评内容': '交通便捷，尤其是去梅湖体育馆和展览中心都很方便。周边还算热闹，就餐和购买水果的选择较多。前台服务一般，但房间设施尚可。退房时间可延后至下午两点，好！', '短评打分': 5}
{'短评内容': '房间很不错，有液晶电脑。酒店外停车也比较方便。早餐还可以加强一些。', '短评打分': 5}
{'短评内容': '房间设施旧了，地理位置还可以！', '短评打分': 3}
{'短评内容': '跟大家说这个酒店是我住过最没有礼貌的酒店.大家不要去住.', '短评打分': 1}
{'短评内容': '觉得这家酒店很不正规。\n价格变动幅度很大，完全就是前台服务员的一句话，他说便宜就能便宜。\n房间设施并不是很好，床单脏，上面还有烟头烫的洞，给人感觉破破的。\n第二天身上还痒\n我是10点退房的，没几个人退房，速度超慢，足足等了20分钟。', '短评打分': 1}
{'短评内容': '不错。。。。................。。。不错', '短评打分': 5}
{'短评内容': 'goodgoodgoodgoodgood', '短评打分': 5}
{'短评内容': '总台优惠价是188元，先前误打成288元。\n客房晚上特冷，尽管给了个红外线电取暖器，只能白天用但睡觉时不敢开，怕引起事故。太太感冒了。', '短评打分': 1}
