{'descr': '很不错很不错很不错很不错很不错很不错很不错', 'star': 5}
{'descr': '位置不错，但酒店卫生状况不太好，电梯开始就很脏，枕头上有明显油渍，更受不了的是水等到晚上11点还没来，后来换到4楼才有水。定的是家庭套房180，酒店的牌价也才187，建议如果想入住类似价格的酒店最好看过再订，这种价位的商务酒店重庆太多了。', 'star': 3}
{'descr': '房间很好', 'star': 3}
{'descr': '超值的一家酒店，交通业方便，就是土方有点慢，差点误了班机。', 'star': 5}
{'descr': '＋不建议入住，房间设施旧。好处是离杨家坪步行街近。', 'star': 3}
{'descr': '酒店的性价比可以。位置也不错。就是大堂不大气。', 'star': 5}
{'descr': '第一次住吉泰感觉物有所值，干净便宜舒适，不错！', 'star': 3}
{'descr': '还行就是水冷了点，卫生和服务都还不错，隔音效果不是很好', 'star': 5}
{'descr': '环境很不错，消费也不高，值得推荐，各位可以去试试', 'star': 5}
{'descr': '位置好，卫生也不错，就是隔音效果不好，挨着马路很吵！', 'star': 5}
{'descr': '不错的酒店。就是早餐有些太差了。房间也挺大的。下面还有个KTV，以为晚上会很吵，但是没有什么动静，原来十二点的时候KTV全关门了。哈哈。', 'star': 5}
{'descr': '设施不错，很新很干净，室内设计很温馨，很安静。挺满意的。下次还会继续来。', 'star': 5}
{'descr': '提前两天预订了豪华大床房，到了以后从上午一直等到晚上都没有豪华大床房，最后只好接受了酒店给安排的豪华双床房，可实际确实普通双床房，明显骗人，第二天终于换了一间豪华大床房，房间确实很不错，大家以后要入住该酒店记得一定要式楼的房间才是豪华的。', 'star': 1}
{'descr': '环境不错好坪', 'star': 3}
{'descr': '床比较大！是2张床连在一起的.就是今天结账的时候那2个男服务员态度不怎么好', 'star': 5}
{'descr': '房间不错', 'star': 3}
{'descr': '超值的房间，很大，装修新，感觉不错。 就是豪华大床房的超级大床是两张床拼到一起的。 ', 'star': 5}
{'descr': '还好', 'star': 3}
{'descr': '位置不错', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '酒店为新开业的，设备较新，房间大小适中，处于九龙坡杨家坪步行街黄金地段，吃、住、行方便，价位合理。不足在于新开业酒店的管理未跟上，结账我花了40分钟等候服务员查房，打扫卫生不及时。推荐……对得起价位\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '酒店为新开业的，设备较新，房间大小适中，处于九龙坡杨家坪步行街黄金地段，吃、住、行方便，价位合理。不足在于新开业酒店的管理未跟上，结账我花了40分钟等候服务员查房，打扫卫生不及时。推荐……对得起价位', 'star': 5}
{'descr': '酒店紧临步行街商圈，地理位置不错，交通便利。\n性价比较高，就是夏天被盖太厚，壁挂空调就显得有点弱了。', 'star': 5}
{'descr': '这家酒店性价比还是挺高的，就是有点不好，隔音效果不怎么样，不过这样的价格已经挺好的了，还有送早餐的，下次去还是会住这边的', 'star': 5}
{'descr': '房间大，干净，价格便宜，很便宜', 'star': 3}
