{'短评内容': '交通方便    环境不错', '短评打分': 4}
{'短评内容': '多次入住，客房设施还可以，价位也合理。早餐品种多样，特色点心不少，比经济型酒店好多了。酒店南面临江，北面临近民宅，环境较为安静，适合出差入住。好评！', '短评打分': 5}
{'短评内容': '出来玩，三四个朋友一起，挺合适的', '短评打分': 5}
{'短评内容': '早餐不错！门前就是新昌江！可以带小孩！离市中心近！停车场挺大！', '短评打分': 5}
{'短评内容': '酒店价位真心不贵，位置佳，在江边，离大佛寺景区很近，有单独地面停车场，房间宽敞，洗手间设施新，早餐还行', '短评打分': 5}
{'短评内容': '干净整洁，一次满意的入住体验', '短评打分': 5}
{'短评内容': '干净整洁，一次满意的入住体验。', '短评打分': 5}
{'短评内容': '设施比较陈旧，灯光也不明亮，淋浴不方便，到处是水，电吹风也是坏的，感觉好差', '短评打分': 4}
{'短评内容': '还可以，可以考虑入住，新昌较好的一家酒店，周边环境一般，吃饭不是很方便，大概要走400米，描述基本符合', '短评打分': 4}
{'短评内容': '马马虎虎', '短评打分': 4}
{'短评内容': '小河边很舒服', '短评打分': 5}
{'短评内容': '很喜欢', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '住的南楼，干净卫生，典型三星酒店，卫生洁具不将就，还配有一次性剃须刀，早上早餐品种也不少，粥就有6种不同选择，除了大堂看起来不大起眼，别的都很满意', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '价格适中，环境优！', '短评打分': 5}
{'短评内容': '太旧了！', '短评打分': 2}
{'短评内容': '酒店设施比较旧，特别是洗手间水龙头多是坏的', '短评打分': 1}
{'短评内容': '初看酒店外表实在不敢恭维，但内部是新装修的，不错。', '短评打分': 1}
{'短评内容': '比较 老的一家酒店晚上周边风景很好，但是早餐不如意，房间也看不到河景', '短评打分': 5}
{'短评内容': '酒店的设施与价格严重不符，早餐很差，没有再住的兴趣', '短评打分': 1}
{'短评内容': '酒店不错，锦江的风格我喜欢。就是杯子全是一次性的，不低碳！', '短评打分': 3}
{'短评内容': '还不错，价格适中，停车方便。总体还不错！', '短评打分': 5}
{'短评内容': '10多年前的装修,感觉设施太旧了.应该需要重新装修.', '短评打分': 1}
{'短评内容': '比较陈旧，不过前台服务态度不错，比较靠近中心地区，但周边环境比较朴实。', '短评打分': 5}
{'短评内容': '就该酒店的条件在新昌来说还算可以.但卫生间有点陈旧，空调暖气不足。', '短评打分': 3}
{'短评内容': '有油漆味…折磨人！', '短评打分': 3}
{'短评内容': '环境不错，酒店服务真的很好，住过的三星级酒店这家服务最好，就是早餐寒碜了一点', '短评打分': 5}
{'短评内容': '位置较为偏，出门叫出租不是很方便，其他方面都不错', '短评打分': 5}
{'短评内容': '房间挺干净，在新昌这个小地方，三星级的酒店，328的价格太高，性价比不高', '短评打分': 5}
{'短评内容': '房间的硬件设施还可以，很齐全，卫生条件也不错，打扫的很干净，没有卫生死角，住宿环境很好，蛮舒适的', '短评打分': 5}
{'短评内容': '总体感觉卫生情况很好，让人觉得很舒服，服务周到细心，硬件很齐全，都比较满意', '短评打分': 5}
{'短评内容': '酒店比较简陋，不过服务员比较热情。前台工作比较有效率。', '短评打分': 5}
{'短评内容': '离市中心很近，网速比较快，卫生设施稍显老旧，但是周围比较安静', '短评打分': 5}
{'短评内容': '房间总体比较干净，也比较舒适，离新昌大佛也比较近，性价比也不错！', '短评打分': 5}
{'短评内容': '小地方，这样的酒店还算可以', '短评打分': 5}
{'短评内容': '酒店的卫生可以，服务员也热情周到，比较细心，蛮喜欢的。', '短评打分': 5}
{'短评内容': '房间卫生很到位，住着舒服。', '短评打分': 5}
{'短评内容': '虽然是在河边但是房间里看不到河景，而且比较靠近一个非常乱的市场周边环境不是很好。', '短评打分': 5}
{'短评内容': '还好，就是交通方便', '短评打分': 5}
{'短评内容': '酒店就在河边，晚上灯光打了以后效果非常好，只是所有的房间都是在里面的，看不到河景，太可惜了。', '短评打分': 5}
