{'短评内容': '在家就是我活得分不清是非对方是不是！这', '短评打分': 5}
{'短评内容': '这么好！这么晚会在于自己怎么这么难么', '短评打分': 5}
{'短评内容': '在一起吧唧。你一直都是你最大限度的话，', '短评打分': 5}
{'短评内容': '适合商务出行', '短评打分': 5}
{'短评内容': '经常来住，很不错，位置安静，服务很好。经常来住，很不错，位置安静，服务很好。经常来住，很不错，位置安静，服务很好。经常来住，很不错，位置安静，服务很好。经常来住，很不错，位置安静，服务很好。经常来住，很不错，位置安静，服务很好。经常来住，很不错，位置安静，服务很好。', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还是不错，就是进出有点堵车', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '在！这么晚餐厅级官员说的都在', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '在家就是好！这么晚会了吗、这么大概就是了一！在你面前你可以', '短评打分': 5}
{'短评内容': '在家无聊无聊就玩大了！在这里举行、在这个时候还是波澜不惊。这样我是你', '短评打分': 5}
{'短评内容': '在家就是我活了一个人去掉它，我是你不、这么好好学习班', '短评打分': 5}
{'短评内容': '在家就是我活了一个人去掉它，你的人是谁了！这', '短评打分': 5}
{'短评内容': '你？这么晚会了吗！在你身边的人是谁了！一定', '短评打分': 5}
{'短评内容': '非常不错的酒店，生日当天还免费送给味道很不错的蛋糕。经比较，京东价格是最低的，以后订酒店都在京东订。', '短评打分': 5}
{'短评内容': '丽笙世嘉越来越不上档次了，哎。服务问题，硬件问题，都不如旁边的喜来登了。', '短评打分': 5}
{'短评内容': '太老了，除是江景房外，没有可赞的地方', '短评打分': 4}
{'短评内容': '好好好好好好好好', '短评打分': 5}
{'短评内容': '真特么的是个**&hellip;&hellip;一个破水壶飞利浦的网上卖100多被我弄破了，赔了980，电视也坏了，32寸的飞利浦电视顶多就1600，赔了4000。少一分就要杀人的样子，还特么的五星级，我还是VIP会员。说到VIP会员，千万别办，说是送的免费房三个，但是酒店前台理都不理你，除非是你提前几天定，我特么得又不是来旅游的，我肯定是想住就住，但是不行，VIP只是在酒店空闲时才会有房间，花2888办个VIP卡真心不值得，反倒在酒店吃什么东西要打折抵扣都被鄙视，还是钱拿到自己手里踏实，老子想怎么住就怎么住，在jd上定房比VIP便宜的多！！！酒店的解释就是jd是第三方有钱，早就把房买断了所以便宜，那你电话推销个卵的VIP卡？纯粹骗钱，真心**！离丽笙旁边两里路的喜来登就比丽笙强一万倍，风景服务那都是一流的！**丽笙！住完这几个免费房这辈子都不会再去丽笙了！到今天为止一个免费房都没住上，每次定就说没房了，您别着急，这一年保证您住完，老子也不可能天天惦记着去住你这个受气的VIP房啊？真是不办VIP还好，办了处处受歧视！**酒店毫无服务，早点倒闭！', '短评打分': 1}
{'短评内容': '这！在你？这样。你就！一、一直到。你是一个人一起来不及看见我！这么！这么晚餐厅！这么晚餐厅', '短评打分': 5}
{'短评内容': '环境很好，京东预订很方便，！！！！', '短评打分': 5}
{'短评内容': '你是我的生活里没有你我都不能做法大全？你的人', '短评打分': 4}
{'短评内容': '在家就是我活得分清晨光荣格局和平与会。你是一家公司法人单位在招聘信息请点击', '短评打分': 4}
{'短评内容': '酒店服务还不错  按照需求安排了江景房', '短评打分': 5}
{'短评内容': '很好xiacihaiyaoquzhu', '短评打分': 5}
{'短评内容': '酒店不错还可以免费擦鞋', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '??', '短评打分': 5}
{'短评内容': '为了看江景特别订了商务房 入住已是晚上9点过 正对解放碑高楼层没有了 晚上吃完饭对岸楼房的灯都已关完 没怎么欣赏到夜景 酒店位置较偏 又是元旦假期 车不好叫 南山夜景也没看成 步行到南滨路吃的火锅 节日出行就是脑壳痛', '短评打分': 5}
{'短评内容': '房间位置不错，风景很好', '短评打分': 5}
{'短评内容': '环境超好', '短评打分': 5}
{'短评内容': '定错了', '短评打分': 5}
{'短评内容': '帮朋友订的&hellip;', '短评打分': 5}
{'短评内容': '不错！！！住的挺舒服的！！！酒店环境好，服务也好！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间非常不错，明亮宽敞，卫生也非常干净，41楼拉开窗帘就可以看见江景，酒店设施比较齐全，床上用品也很舒服，下次有机会再到重庆还是住丽笙！', '短评打分': 5}
{'短评内容': '这个酒店超级好', '短评打分': 5}
{'短评内容': '每回到重庆必住的酒店', '短评打分': 5}
{'短评内容': '环境好  隔音好  景色好  可惜临时有事   就住了几个小时', '短评打分': 5}
{'短评内容': '十分满意！！！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '服务热情周到，免费升房，景观好', '短评打分': 4}
{'短评内容': '各种设施和卫生符合5星标准，浴缸很大，而且酒店本身比较新！洗手间灯光不错，不过用来化妆就不够了，有些酒店洗手间的化妆放大镜是带灯的，我觉得很不错，丽笙可以借鉴！江景很美，我们一行3个房间，其中两个可以看侧面江景，还有一个尾号16的房间就完全正对对面大楼，只能看到一点江景了，有点遗憾！早餐也符合5星标准，不过早餐小面和烧卖味道还需加强，没有民间做的好吃，蘑菇三丁包个人非常喜欢！！总体很舒适完美！', '短评打分': 5}
{'短评内容': '下次去还选这里', '短评打分': 5}
{'短评内容': '还不错，江景漂亮', '短评打分': 5}
{'短评内容': '安排的无烟区，挺干净的。', '短评打分': 5}
{'短评内容': '酒店硬件设施不错,卫生间很大,休息的时候没有什么噪音,就是出门打车不是很方便,酒店门口没有出租车的车位,门童也没有眼力价,根本没有主动服务的意识,酒店培训需要加强', '短评打分': 5}
{'短评内容': '新开的酒店 设施非常新 入住的豪华房 房间全是落地玻璃  江景1揽无疑', '短评打分': 5}
{'短评内容': '1.地方很不好找，的士司机不知道这个酒店，只能说长江国际的写字楼，才会认识。出去打车也比较困难，车子不多，要等。\n2.新装修酒店，味道还挺重的。\n3.服务也很一般，和之前住过的JW万豪根本没法比。', '短评打分': 1}
{'短评内容': '硬件很不错，新酒店，入住率不高，很安静。', '短评打分': 5}
{'短评内容': '环境可以,能看南滨路夜景,清静,服务好', '短评打分': 3}
{'短评内容': '很新的酒店，床，枕头、被都很舒服很舒服！硬件没有问题，服务确有不少问题，房间打扫居然还有上位住客留下的不好的痕迹。床头钟上灰尘，几天不擦。用品补给有也很不到位。这样是达不到五星的，新酒店游荡的管理人员不少，但看不出他们在干什么，有点怪怪的。出租车不好打，而且停车场封闭的出租进来很方便，车道管理也太不方便。希望能尽快改善，服务到了五星我还是会住的。现在看优惠后性价比不高。价格太高了，不知道取消优惠还', '短评打分': 5}
