{'短评内容': '蛮不错的，之前也住过', '短评打分': 5}
{'短评内容': '在南陵是不错的酒店，早餐丰富，品种多。房间干净。设施一般，但房间内有净化水设备，对于喜好喝茶的人比较方便。', '短评打分': 5}
{'短评内容': '请大家不要住这个酒店，服务太差了！网上订好了到前台去说没房，让我取消订单加钱才能入住，什么玩意！', '短评打分': 1}
{'短评内容': '还不错，位置很好。楼内有健身房，不过是独立的，得自己办卡才能去。', '短评打分': 5}
{'短评内容': '还不错，位置也很好。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错', '短评打分': 5}
{'短评内容': '一如既往的好&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '总体还不错，床很大、房间很大，但是沙发等家具感觉有点旧了，空调用起来不是很灵敏', '短评打分': 4}
{'短评内容': '在当地算不错的酒店 ', '短评打分': 4}
{'短评内容': '性性价比还可以，挺干净，热水量也大，地段不算偏，外面也不吵。但空调比较响，好笑的是房间里只有一个矮橱，长大衣怎么挂？房间初看还行，但细节上有不少问题，墙面裂开和因潮湿变色，卫生间的一些设施都摇晃，床垫也有些塌陷，早餐品种也比较少。最不满意的是那个直饮加热器，反复加热的水，不喜欢。', '短评打分': 4}
{'短评内容': '环境优美，服务态度好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间设施有点老旧，不过还是可以的', '短评打分': 5}
{'短评内容': '酒店位置还不错，挺好找的，周围环境也好，房间设施也比较完善，餐厅味道不错。不足的是窗户的隔音效果差，对面广场上跳广场舞的时候声音非常吵，电视不行，不但屏幕小画质也差，无线网信号差，一分钟能断三次。', '短评打分': 4}
{'短评内容': '挺好的，每次都住这里。很熟悉了。', '短评打分': 3}
{'短评内容': '还可以！', '短评打分': 4}
{'短评内容': '酒店标准挺高的，房间也比较大，位置很好，环境也不错，服务很周到，早餐也很好吃，就是周边买东西还不太方便', '短评打分': 4}
{'短评内容': '酒店标准挺高的，房间也是比较大，周边地处政府办公区，步行可以到比较繁华的街道，算是南陵比较繁华的地段，价格也确实不低。', '短评打分': 5}
{'短评内容': '酒店不错，房间很大，很宽敞，价廉物美。就是早餐有点简单了。', '短评打分': 5}
{'短评内容': '一个很不错的酒店,非常值得去住,价格不高,就是对早餐时间有点意见,8:30就结束了,这也有点太早了,谁能一大早就起来?', '短评打分': 5}
{'短评内容': '环境很好，服务一般，早餐一般', '短评打分': 3}
{'短评内容': '总体条件还凑合，房间设施一般，在南陵县城也就这样了。', '短评打分': 5}
{'短评内容': '酒店的各方面都挺好，停车场的位置也很好，停车非常方便。', '短评打分': 5}
{'短评内容': '没有第一次入住的感觉好了。保险箱没有了，浴袍没有了，落地台灯也不见了。贴心的是送了小碟水果。住的是顶楼，晚上都听到重物落在房顶的声音。酒店里的东西不贵，甚至比快捷宾馆的东西还要便宜。', '短评打分': 5}
{'短评内容': '环境和服务均很好，物有所值。', '短评打分': 3}
{'短评内容': '总体还可以。前台的服务小姐水平和态度都与这个酒店的水平差很多，别总是一幅懵懂村姑的表现吧？没有冰箱。客房打扫和服务人员态度很赞', '短评打分': 3}
{'短评内容': '每次去都住这家酒店。平时的价格性价比高。到了年底需要提早半个月预定。', '短评打分': 5}
{'短评内容': '酒店的设施很不错，性价比也高，服务也好，但是楼下的KTV隔音效果很不好，真不知道这么好的酒店为什么不做好点的KTV隔音效果，睡觉轻的朋友还是考虑下吧 \n', '短评打分': 5}
{'短评内容': '酒店的设施很不错，性价比也高，服务也好，但是楼下的KTV隔音效果很不好，真不知道这么好的酒店为什么不做好点的KTV隔音效果，睡觉轻的朋友还是考虑下吧', '短评打分': 5}
{'短评内容': '价格还不错 位置也很好 离县中心很近 比较干净 设施也很齐全', '短评打分': 5}
{'短评内容': '价格还不错 位置也很好 离县中心很近 缺点是空调不大好使', '短评打分': 5}
{'短评内容': '酒店环境还成，房间住着也是挺舒服的，位置还行，价格服务都不错。', '短评打分': 5}
{'短评内容': '性价比非常高.客房舒适度非常高，整体来讲很不错.', '短评打分': 5}
{'短评内容': 'B房太吵了。楼下就是KTV而且没有按国家的营业时间结束。严重影响休息了。其他房间性价比高', '短评打分': 5}
{'短评内容': '酒店硬件很好。4楼是KTV晚上有点吵。总的来说200左右的房价住该酒店性价比很高了。', '短评打分': 5}
{'短评内容': '酒店比较新，设备还可以,但是味道还是有一些，不过一家4星级酒店无冰箱、无保险箱还是有些不爽！早餐9点就没了，晕啊，还没起来！\r\n酒店比较悲剧的是隔音太差，隔壁开开关的声音都听的到，更别说马路上的车子声音了，虽然我住11楼！\r\n总的说2百多块的还凑合吧,随便住住！', '短评打分': 5}
{'短评内容': '酒店总的不错，毕竟是挂牌4星，性价比也很好。但有一个问题得如实说一下，那就是B标房靠近酒店的迪厅，噪音影响休息，虽然噪音不是很大，但总能让人听到。房间的隔音有的问题，连马路上的汽车都能传到房间里来。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店各方面的情况都很好，唯一需要建议改进KTV的隔音密闭性。', '短评打分': 5}
