{'短评内容': '一般般有点吵的空调', '短评打分': 3}
{'短评内容': '还可以  挺满意还可以  挺满意还可以  挺满意还可以  挺满意还可以  挺满意还可以  挺满意还可以  挺满意', '短评打分': 5}
{'短评内容': '挺不错的，装修风格比较时尚', '短评打分': 5}
{'短评内容': '酒店很干净，床垫很柔软。房间里的有食品和饮料，挺不错的。最重要的是前台的美女和餐厅的阿姨的服务态度非常的好,也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。值得推荐的好酒店。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台只知道推荐办卡，空调老掉牙，噪音巨大，发票不给开，以后放弃', '短评打分': 3}
{'短评内容': '宽敞干净', '短评打分': 5}
{'短评内容': '住的很舒服', '短评打分': 5}
{'短评内容': '衛生很好！', '短评打分': 5}
{'短评内容': '可洗衣，非常方便！房間乾淨，前檯會一直推薦辦理會員，價格很便宜，附近沒什麼東西吃，一走個15-20分才會有shopping mall', '短评打分': 5}
{'短评内容': '床品不错，很好，睡得很舒服。', '短评打分': 3}
{'短评内容': '商务酒店，基本住宿，简单住一下很合适。', '短评打分': 5}
{'短评内容': '很大，不错，房间没有味道，干净，有早餐，', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间很大，交通也挺便利的。', '短评打分': 3}
