{'短评内容': '服务好，卫生干净', '短评打分': 5}
{'短评内容': '酒店位子很方便，套间虽然少，但也很舒适', '短评打分': 5}
{'短评内容': '有免费停车场', '短评打分': 5}
{'短评内容': '有免费停车场', '短评打分': 5}
{'短评内容': '简洁明净，服务一流，方便可靠', '短评打分': 5}
{'短评内容': '很好！服务很好！', '短评打分': 5}
{'短评内容': '酒店位置很好，两公里范围内，有电影院，也有广西特色饭店，可以在大众点评上查看导航过去，附近也有商业区，吃饭很方便。出门建议带上雨具。', '短评打分': 5}
{'短评内容': '东西不错！！！速度也很快！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '京东旅行真差，没房了还不能下单支付，还浪费我支付白条优惠券，习惯性好评算了', '短评打分': 5}
{'短评内容': '酒店现在基本退房时间都能延迟到下午两点，这家既不让延迟，在12点半退房，就晚了半个小时。还硬要收我加钟费。没见过钱似得，很不满意。这是我住了这么久酒店第一次超半小时退房被要钱的', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '环境很安静，睡得很舒服，有车的话停车很方便，房间稍微小了点，设备有点旧了，总的来说，还是不错的！！！', '短评打分': 4}
{'短评内容': '位置很好，靠近红街，住的楼是那种小洋楼的，周围有树虽然临街但是晚上睡很安静。房间小了些，洗手间只能一个人勉强进去用，两个人根本没法进，其他都和便捷一样', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '性价比超高的酒店，有停车位，服务和环境卫生都不错，早餐也是超出期望！很棒哦！', '短评打分': 5}
{'短评内容': '周围吃饭的地方也很多，比较满意。', '短评打分': 5}
{'短评内容': '地段不错，有停车场', '短评打分': 5}
{'短评内容': '周边环境也还不错 宾馆东西齐全 也很干净 晚上不吵很安静 下次还会光顾', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 4}
{'短评内容': '房间小，比较干净，早餐不好', '短评打分': 4}
{'短评内容': '这个店装修不久，非常干净。唯一缺点就是离火车站较远。', '短评打分': 3}
{'短评内容': '7月25号住了一夜，感觉很舒适，特别是洗手间令人非常满意，床比较软，女儿很喜欢，说睡得很好，但是侄子觉得太软了不舒服。早餐很不错。', '短评打分': 5}
{'短评内容': '来到房间看到里面的浴室感觉还是很不错的，就是有一个惊喜，因为开始前台给排的房间是一层，进房间没一会就从床底下冒出一只大蜈蚣，这还是挺吓人的，还好脚快踩死了，接着就让他们服务人员换房，结果服务员居然告诉我们因为用了他们的浴巾和毛巾换房后可能要加收清洁费，无语到，最后应该是经理来看了房间内的蜈蚣老实的给我们换到三层的房间，没加收任何费用，除了这个惊喜外，其他都还不错，房间里的被子感觉还是很软很舒服的，', '短评打分': 5}
{'短评内容': '7月25日住了一晚后，觉得很满意，7月27日从阳朔回来继续选择在这里住。这里离市中心不远，进出城都方便，很满意，下次来桂林还选择住这里。', '短评打分': 5}
{'短评内容': '酒店位于桂林城区的主干道上，很容易就能找到，酒店房间比较干净，还有免费的停车场、免费的自助早餐、免费的自助洗衣服务。挺好的。', '短评打分': 5}
{'短评内容': '酒店服务不错,早餐也还可以,总之不错,还会来住.', '短评打分': 5}
{'短评内容': '环境好。隔音不错。看欧洲杯，爽。服务也周到。', '短评打分': 5}
{'短评内容': '环境很好很满意', '短评打分': 3}
{'短评内容': '很干净，我订普通大床房有一些小，商务大床可能会大一些吗？', '短评打分': 3}
{'短评内容': '不错，干净整洁，有个内院，性价比高，下次还住这里', '短评打分': 5}
{'短评内容': '酒店太偏，不方便', '短评打分': 3}
{'短评内容': ' 还行，就是房间太小，没有衣柜。', '短评打分': 3}
{'短评内容': '总体上还是不错的，不足之处有，1、有衣架无处挂，2、有洗衣粉！没提供盆，或者消毒用品去洗池子，要不然也不放心把衣物放进去洗！墙面和墙角有因渗水而出现潮湿，木头则是变黑，望加强修葺。优点：每天会补足免费赠送的矿泉水不错，有拖鞋,洗澡时不用赤脚了！电吹风固定在墙上的，很方便！补充下，自助早点品种很少。', '短评打分': 5}
{'短评内容': '总体还不错，干净卫生，服务也还可以，值得推荐。', '短评打分': 5}
{'短评内容': '酒店不错值得推荐', '短评打分': 3}
{'短评内容': '房间很舒适，不错', '短评打分': 3}
{'短评内容': '我到过很多城市，也住过很多星级酒店，桂林城市便捷酒店整体给我的感觉还是很好的，干净，整洁，性价比高，住宿的房间还很干净，，170元还有双早，很有竞争力，我推荐给我的所有朋友，希望他们有机会到桂林住到城市便捷酒店去，值', '短评打分': 5}
