{'短评内容': '房间有点小，电梯还要转，其他的还好，感觉一般般吧。', '短评打分': 3}
{'短评内容': '订酒店很方便，非常方便。', '短评打分': 5}
{'短评内容': '还好还好环境真的不错，就是要转楼麻烦', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '定的标间没有了，免费升级为电脑房。房间很新，位置也很好，到正阳路和火车站都只有2站路，走路大概15分钟之内能到。就是电脑房不带窗户比较遗憾，希望能在房间描述中说明。总体来说和200元左右的如家是一个档次，当然性价比更高。', '短评打分': 5}
{'短评内容': '定的标间没有了，免费升级为电脑房。房间很新，位置也很好，到正阳路和火车站都只有2站路，走路大概15分钟之内能到。就是电脑房不带窗户比较遗憾，希望能在房间描述中说明。总体来说和200元左右的如家是一个档次，当然性价比更高。', '短评打分': 5}
{'短评内容': '房间面积比较大,也挺干净,地利位置不错,周边有步行街,离象山景区也很近,特别是周边餐饮比较多,步行街上不少,酒店楼下也有,特别推荐楼下的一家东北菜馆,店小味正,菜价不高,儿子还天天要吃隔壁的米粉,味也挺正.酒店还是比较适合去旅游的小家庭.', '短评打分': 5}
{'短评内容': '干净 。快捷 。地理位置好。设施较新，价格在旅游城市中属于中等。不错！', '短评打分': 5}
{'短评内容': '这次入住的归家酒店很不错，之前订的是6间普通标间，到了后普标不够，给免费升级了4个电脑房。房间布置很好，家人朋友们都满意。', '短评打分': 3}
{'短评内容': '服务不错，酒店设备也挺新，最喜欢的是酒店的装修，很给力。住着挺舒服的，我住了足足一星期，就是170多的情侣温馨房居然没有电脑，这点不是很喜欢。还有就是房卡有时刷不了。当时住的是在北楼不是很方便，但夏天房间很清凉，不开空调都可以。总之，如果价格更优惠点就好了。', '短评打分': 5}
{'短评内容': '住的是168的房间，装饰不错，有点欧美的风格。而且房间设备很好，什么都具备了。唯一不好的是，卫生间容易积水，嘿嘿 下次再去。', '短评打分': 5}
