{'短评内容': '临时住的，就是一般小宾馆的样子，没什么东西', '短评打分': 3}
{'短评内容': '老板服务态度好，适合出差居住，价格挺合适的。', '短评打分': 5}
{'短评内容': '脏，乱，差！这种酒店在网上叫价100元真是坑人！穿着衣服睡了一晚上！', '短评打分': 1}
{'短评内容': '价格和环境比起不便宜，大热天空调都没有，有加钱给个空调房，纯属坐地起价，那心情你们懂，还酒店，小旅馆一个', '短评打分': 2}
{'短评内容': '卫生间还漏水', '短评打分': 2}
{'短评内容': '一般，位置较好！！！！！', '短评打分': 3}
{'短评内容': '酒店总的来说还不错，就是卫生间的一个水龙头有一点坏，希望老板及时更换。', '短评打分': 3}
{'短评内容': '比较符合价位。', '短评打分': 4}
{'短评内容': '这个价格还是可以的、卫生间没有独立的。', '短评打分': 3}
{'短评内容': '第二天刚走，晚上携程就发短信提醒竟然说没有查核到我的入住信息让我不能返现？？？我想知道这是为什么。多亏要了发票，不然，我又没法证明确实入住！！！！！！！！！！应该没有欠你们钱吧！！！！！！！    ', '短评打分': 2}
{'短评内容': '第二天刚走，晚上携程就发短信提醒竟然说没有查核到我的入住信息让我不能返现？？？我想知道这是为什么。多亏要了发票，不然，我又没法证明确实入住！！！！！！！！！！应该没有欠你们钱吧！！！！！！！  ', '短评打分': 2}
