{'短评内容': '非常号', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 4}
{'短评内容': '还不错，位置好', '短评打分': 4}
{'短评内容': '很不错，干净整洁。', '短评打分': 5}
{'短评内容': '环境优美，房间挺大，价格便宜。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '经常住，还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务好，环境好', '短评打分': 5}
{'短评内容': '酒店不错。前台订房80，携程订房91，还不能取消。坑爹啊。', '短评打分': 5}
{'短评内容': '服务很好，接机准时，早餐也很人性化，强烈推荐', '短评打分': 5}
{'短评内容': '价格实惠，环境不错，服务也不错，地理位置也很好，很满意', '短评打分': 5}
{'短评内容': '挺好的，每次去版纳基本都会选择住这里。离市区也不远。', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '环境好 高大上 服务态度好', '短评打分': 3}
