{'descr': '一般般', 'star': 3}
{'descr': '酒店位置不错，特方便', 'star': 5}
{'descr': '无窗，不通风，卫生间气味大，有热水但水流小，插座少要自带插线板，房间面积小。好处就是地理位置优越，离公交地铁近，吃饭也方便。总之，一分钱一分货，勉强凑合两晚倒也可以。', 'star': 4}
{'descr': '一般般的小旅馆，没啥好说的，晚上还有蚊子骚扰，而且最糟糕的是没有热水洗澡，空调还是坏的，说是刚装修，单还是究究的', 'star': 3}
{'descr': '干净、卫生，挺好的宾馆，下次还住宿在盛华威酒店！', 'star': 5}
{'descr': '酒店位置和环境都很不错，周边设施也很健全，各种价位的饮食也都有，适合公差请客和私人聚餐，店内卫生非常不错，虽然没有窗，但是室内两个空调，并不憋闷，唯一有些遗憾的沐浴露／洗发水的味道有些难闻，不是很喜欢，不过相比较之下性价比还是非常高，而且携程的补贴也可以省很多', 'star': 5}
{'descr': '不错。不错。不错。', 'star': 5}
{'descr': '啦啦啦啦啦', 'star': 5}
{'descr': '卫生间没有暖气，房间小，暖器没有温度冰凉，客服说锅炉在修！但订房间时候没有说！空调吹着房间不暖和，因为空调太小了！能省则省！服了！', 'star': 4}
{'descr': '我觉得还是不要住好一些，不是一个差字了得，房间的被子都是潮气的，而且洗手间是堵的！服务员是爱咋咋地啊！', 'star': 3}
{'descr': '下次要住带窗户的 ！！', 'star': 4}
{'descr': '便宜  环境挺好    和女朋友每周都来', 'star': 5}
{'descr': '不错  性价比比较高', 'star': 5}
{'descr': '条件差', 'star': 2}
{'descr': '差   下次再也不去了', 'star': 1}
{'descr': '房间太差', 'star': 2}
{'descr': '不错的快捷酒店。', 'star': 4}
{'descr': '位置不错，但门口停车收费，小单间但隔音不好，晚上有人走过听的很清楚，睡眠不好的朋友不建议住这儿。', 'star': 4}
{'descr': '性价比高，酒店就是有点小，洗手间的灯坏了，却没有人修。', 'star': 5}
{'descr': '酒店去王府井、故宫没有直达公交。卫生间实在是太小了，不过热水不小，算是弥补一些缺陷吧。卫生条件一般，服务不太热情，去北京想省钱还是可以住这个酒店的。酒店不能刷卡，只能付现金，不是很方便。', 'star': 5}
{'descr': '这家酒店真的挺不错的，价格挺好的，还会再来住的', 'star': 5}
{'descr': '\n帮朋友订的，朋友很喜欢,交通也很方便，倒一趟公交就到地铁线了', 'star': 5}
{'descr': '酒店很不错，价格优惠，服务很好。下单就可以订到房间，很满意能在旅游旺季提前订到房，很方便。', 'star': 3}
{'descr': '房间比较小，而且不提供洗漱用具，不过也比较便宜，比较干净，还不错', 'star': 5}
{'descr': '地方比较小，还是比较干净的', 'star': 3}
{'descr': '价格挺实惠的，位置还算好找，挨着松榆里公交站，公交车挺多。。。大床房A是无窗的，也就是窗户冲着的是楼道，而不是外面，所以一般就关着，还要拉着窗帘，所以空气不是很流通，打开排风扇和空调会好一点。。。房间不大，比7天的要小，屋子里面没有杯子，会员可以去前台取。只有毛巾没有浴巾，没有沐浴露和洗发水，有收费的旅行套装，10块钱一套，包括牙刷梳子香皂洗发露沐浴露之类的。。。电视台不是很多，35个。。。不过总', 'star': 5}
{'descr': '酒店连洗漱口杯都不提供，太失败！', 'star': 3}
{'descr': '酒店洗手间味道太重了，叫了半天也没人来理，酒店没有电梯，也不提供浴巾，交通不方便，要先座公车然后才能座地铁。', 'star': 1}
{'descr': '太小了，卫生间小的离谱，卫生感觉很一般，毛巾很旧，看着不怎么敢用', 'star': 3}
{'descr': '房间比较小 隔音不好 但是还干净\n\n有一点让我特别难以理解，前台的那个gg是肿么了。。。对谁都是一副不耐烦看不惯别人欠了it钱的模样，问点什么恨不得要吃人哇 好pia。ft！\n\n不过前台的姑娘挺可爱滴~', 'star': 5}
{'descr': '环境差点，硬件不太好卫生做的一般，桌子上还有灰尘了，卫生间好小呀，女生嘛肯定要洗洗漱漱的，所以觉得有点施展不开', 'star': 3}
{'descr': '交通比较方便，房间不算大但是床很大，无窗的房间其实有个小气窗对着三楼的走廊，卫生间的淋浴空间稍小，热水来的很快，没有洗漱用品但有浴巾、一次性拖鞋、电热水壶。总体来说不错，性价比高。', 'star': 5}
{'descr': '比较干净，但服务人员应提前介绍此酒店为环保酒店，不提供洗漱用具。让顾客知道。', 'star': 5}
{'descr': '条件实在差什么都不配置', 'star': 3}
{'descr': '服务态度好，房间虽小，但很整洁，交通也很方便，我很满意，下次有机会还会光临的。', 'star': 5}
{'descr': '很干净，环境很清新，年轻人一定会喜欢的，大家可以上网查查，比较有年轻的气息……', 'star': 5}
{'descr': '酒店内部装修很有特色，很卡通。不提供卫生洁具，需自备。', 'star': 5}
{'descr': '整体风格适合年轻人！酒店很干净，虽然洗漱间面积不大，但热水很不错！不提供一次性用品，指沐浴液牙刷之类，但是向服务台要也给你。房间有一次性拖鞋。就是我住的那间空调在床头，不开空调热，开了朝脑袋吹又不太爽。。不过价位算是很不错的了。', 'star': 5}
