{'短评内容': '经常入住，环境优雅', '短评打分': 5}
{'短评内容': '没吃早餐，不知道能不能加床，外面有施工的，早上比较吵，房间里面有点味道，一次性拖鞋是收费的，穿的话在浴室很滑', '短评打分': 3}
{'短评内容': '真的不错，三人间，适合家庭旅游住宿。', '短评打分': 5}
{'短评内容': '非常满意交通方便卫生条件不错', '短评打分': 5}
{'短评内容': '好好干', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '淋浴不好用，光调试水温就花了很长时间。没有电熨斗，前台接待可能是新来的，有点答非所问。其余还可以。', '短评打分': 5}
{'短评内容': '小城镇，如果旅游能不住就避开啦', '短评打分': 2}
{'短评内容': '不错很舒服', '短评打分': 5}
{'短评内容': '好，不错', '短评打分': 5}
{'短评内容': '位置偏  周围没吃饭的 快捷酒店的硬件水平 卫生比较差 床单被子看起来有些脏  严重怀疑是不是根本不换 隔音差 晚上好吵 楼道里味道臭', '短评打分': 3}
{'短评内容': '很好，一次满意的网上预定', '短评打分': 3}
{'短评内容': '可以吧～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 3}
{'短评内容': '还可以，价钱也还可以接受。', '短评打分': 3}
{'短评内容': '酒店一般，可以感受一下。ok', '短评打分': 3}
{'短评内容': '刚到酒店，房间里边干净卫生，条件不错！', '短评打分': 3}
