{'短评内容': '房间小点卫生还行和老板交流不多', '短评打分': 3}
{'短评内容': '离海边不远，房子住着也很舒服，在这里玩很惬意，家常菜不贵，菜量略小，海鲜做的很好吃，很有味道，早餐也是吃的饱饱的，比外面卖的好多了，整体好评', '短评打分': 5}
{'短评内容': '渔家店主很热情，离海很近。', '短评打分': 4}
{'短评内容': '超级好啊！大通铺三个大人两个小孩绰绰有余。店家一家人都超级朴实啊！做的菜的味道也是超级好啊啊！离海边也近。以后去日照还来这家。海鲜也超级新鲜。附近有海鲜市场。对面有停车场。总之、赞赞赞。性价比超级高', '短评打分': 5}
{'短评内容': '挺不错的，饭菜很好吃', '短评打分': 3}
{'短评内容': '卫生比较干净，经济实惠，值得推荐', '短评打分': 3}
{'短评内容': '房间太小了，一间房只适合两个人住。店家做饭的水平真心不怎么样。奉劝去玩的朋友还是选择外边吃吧。街边很热闹，买什么的都有。到海边要走10分钟吧。', '短评打分': 3}
{'短评内容': '店老板还挺热情的，******店里还比较干净，就是吃的东西很贵，老板不停的给你说，外边的店很宰人，其实他们家东西就很贵，早饭一人10元，就一个鸡蛋，一个小馒头，咸菜和稀饭，海鲜更是贵的要死！ 定房间还是在大网站上定，千万不要为了图便宜，在这个破网站上，纯属骗人的，店家和网站是一伙的！！！！', '短评打分': 3}
{'短评内容': '挺好，很满意的。特意选择了周日晚入住，要不然到处都满，没有地方啊', '短评打分': 3}
{'短评内容': '上次去的时候住过几天  干净卫生   老板一家人很好   善良热情   还帮我们加工带回来的海鲜   明天再去   老板要给优惠哦', '短评打分': 0}
{'短评内容': '老板人很好，典型的山东人，服务热情周到，在渔家住的很开心，房间环境干净卫生，有网络、有空调、有电视、有独立卫浴，价格还这么实惠，很值得推荐。老板娘做的菜味道很棒呀，吃了好多海鲜，都是老板娘当天去买的活海鲜，口感非常好，下次来日照还住在丰收渔家', '短评打分': 5}
{'短评内容': '正宗的日照当地人开的旅馆，海鲜很新鲜，老板不错，走之前才收我们的房费。离火车站比较远，但是坐公交还比较方便，10分钟就可以走到车展，35、36到王家皂转车才能去火车站，离森林公园很近。。', '短评打分': 5}
{'短评内容': '老板很不错很和气，房间也很干净，可以自己买海鲜委托老板帮忙代工。\n身上被咬了个大包，不知道是在海里还是在哪里', '短评打分': 5}
