{'短评内容': '位置不错，方便', '短评打分': 4}
{'短评内容': '房间冷，空调吹冷风', '短评打分': 4}
{'短评内容': '卫生干净整洁，地理位置优越', '短评打分': 5}
{'短评内容': '环境不错，服务不错，出行方便', '短评打分': 5}
{'短评内容': '酒店在老城区，周边环境一般，交通比较方便。离甲秀楼很近，步行即可。早餐还不错，可在14:00前退房。', '短评打分': 4}
{'短评内容': '垃圾酒店垃圾酒店,晚上吵，房间小', '短评打分': 1}
{'短评内容': '300+套房性价比超高，房间重新装修。', '短评打分': 5}
{'短评内容': '房间比较大', '短评打分': 5}
{'短评内容': '对于男同胞来说，很不错了', '短评打分': 5}
{'短评内容': '太老了 设备简陋 窗户老化', '短评打分': 3}
{'短评内容': '欧式风格的酒店，交通便利，周边餐饮很多', '短评打分': 5}
{'短评内容': '一如既往的住这!', '短评打分': 5}
{'短评内容': '酒店环境很好，很舒适，很满意', '短评打分': 5}
{'短评内容': '客房部服务太差了，里面物品有问题，退房时竟然说我使用过的，还理直气壮，真无语了……以后再也不会光顾了此家酒店了，住酒店到现在发生最无奈黑锅了.....', '短评打分': 2}
{'短评内容': '12月居然没热水，差评', '短评打分': 1}
{'短评内容': '环境挺好的    一直都忘记点评了   是值得住的地方', '短评打分': 5}
{'短评内容': '交通还算方便吧，晚上到的，就住一晚。', '短评打分': 4}
{'短评内容': '一直选择,房间较大。', '短评打分': 3}
{'短评内容': '酒店还不错,房间很大。', '短评打分': 3}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '服务真实不敢恭维，找不到去酒店的路，打电话去酒店问，说都说不清楚，居然叫我去查114。预订的房间原来是含双早的，入住时被告知餐厅装修没有早餐，房价也不能减，什么服务态度啊！同行有一位澳门的朋友，结果前台说不能入住，原因也不解释，说就是不能入住，最后多掏一张大陆的身份证登记就没话说了！以后不会再来。。。', '短评打分': 1}
{'短评内容': '交通很方便，基本就在市中心。旁边有一个很大的商场亨特国际，购物比较方便。晚上可以到甲秀楼看看贵阳的夜景，走路去几分钟。最近酒店在装修，预定带双早的，结果酒店不提供，也没给什么优惠，这点不好。空调也没有，提供了电风扇。', '短评打分': 5}
{'短评内容': '市区中心，离甲秀楼很近，定的豪标，酒店房间，一张大床，一张较小，适合三口之家。可惜来的时候酒店空调有问题，让送的电风扇，态度很好，速度很快。爽爽的贵阳，没空调也不热，呵呵。不错。', '短评打分': 5}
{'短评内容': '酒店一般，房间倒是大，但并没达到所说的按四星标准建造，房间浴巾看起来不好，还只配了一张', '短评打分': 1}
{'短评内容': '厕所光线比较光，设施简单。', '短评打分': 3}
{'短评内容': '单间很小，标准间很大。四星级的酒店居然不能上网，卫生间的门被水浸过一样。还有，前台服务员的态度不好。还好，位置算不错。', '短评打分': 1}
{'短评内容': '位置很好找，就是隔壁在修房子早上八点多开始吵。房间很大硬件很一般有些年限了。总体来看288有点高了。不过贵阳的消费都高。', '短评打分': 3}
{'短评内容': '这家酒店设施配置相对有些陈旧了。但是房间很宽敞，位置也方便。', '短评打分': 5}
{'短评内容': '酒店位置相当好，地处比较繁华地段步行几分钟就到市中心了。', '短评打分': 5}
{'短评内容': '酒店的价格比较有优势，房间也很卫生，死角打扫的也比较干净。', '短评打分': 5}
{'短评内容': '很方便的酒店 我一下子就找到了 酒店环境也不错 服务到位', '短评打分': 3}
{'短评内容': '总的还可以 价格有点高', '短评打分': 5}
{'短评内容': '酒店外观看起来很漂亮，房间也收拾的干净。', '短评打分': 5}
{'短评内容': '房间布置合理，有独立卫生间，液晶电视，设施齐全，比较满意。', '短评打分': 5}
{'短评内容': '靠近飞机场，坐飞机很方便，这家酒店性价比蛮高的，其实价格可以在略微高一些，可能是因为酒店的位置在拐角处不太好找，设施也蛮完善的，服务也很周到，住着很舒服。交通很方便。', '短评打分': 5}
{'短评内容': '去机场非常方便。但出租车要收双倍的钱，本来打表只有24圆 高速收费6圆。但出租车要收50圆才去。', '短评打分': 5}
{'短评内容': '感觉酒店不好，上次安排的房间安全性不够，设施比较差，洗手间漏水，别的还可以', '短评打分': 3}
{'短评内容': '说是新开业的酒店，可是房间里的设施都很旧，而且房间也小，就是位置还不错，交通方便点。', '短评打分': 1}
