{'descr': '拉紧的一逼', 'star': 1}
{'descr': '挺不错的，一个人住的话什么都有，就是wifi时断时续的，这一点要注意', 'star': 4}
{'descr': '位置好，方便快捷。房间小点儿', 'star': 4}
{'descr': '开始只订了两晚，如果不舒适，再换别的酒店。但是住了两天感觉很好，所以又继续续住了几天。', 'star': 5}
{'descr': '此行的目的，就是要品尝南京特色美食，故选择了无早餐的洒店。各项服务都很好。出门交通很方便。地处闹市区，但酒店的管理很好，无住宿卡，无法进入客房区域，安全性很好。', 'star': 5}
{'descr': '比较经济实惠', 'star': 5}
{'descr': '地址好找，管理好，但房间小了点', 'star': 5}
{'descr': '床上用品有点脏，没睡过，但上面居然有头发', 'star': 3}
{'descr': '很好，一如既往，京东很快！！会继续购买！！', 'star': 5}
{'descr': '很好，一如既往，京东很快！！会继续购买！！', 'star': 5}
{'descr': '哈哈哈哈好好', 'star': 5}
{'descr': '还可以。                              就是插头有点少了。        ', 'star': 5}
{'descr': '房间比较小，不过地段不错', 'star': 5}
{'descr': '还不错，房间小，不过也对得起价格', 'star': 5}
{'descr': '性价比较高', 'star': 4}
{'descr': '离地铁站很近，交通挺方便，单人间的设施还算可以', 'star': 4}
{'descr': '房间虽然比较小，但是丝毫不影响入住的任何质量，服务也很好。', 'star': 4}
{'descr': '整体不错', 'star': 5}
{'descr': '不是住客不让上楼，内部环境很紧凑，就在地铁站边', 'star': 4}
{'descr': '可以', 'star': 4}
{'descr': '麻雀虽小五脏俱全，特别适合一个人外出居住，关键在这个地段价格特别合适', 'star': 5}
{'descr': '酒店位置很好，离地铁非常近，卫生情况也还好。但是房间太小了，特别是211,311房间，就是楼层的夹层，憋屈、压抑。卫生间就是用磨砂玻璃隔出来的一小块空间，私密性很差。', 'star': 3}
{'descr': '主要是交通方便，一个人出差很适合。', 'star': 5}
{'descr': '交通很便利，临时歇休值得考虑。正在粉刷走廊，估计条件会变得更好', 'star': 5}
{'descr': '房间还是比较干净，虽然配套的用品不齐全，也可以理解。但是酒店没有给家的感觉，冷冰冰的，不热情。问前台的服务员一些东西，真的是一问三不知，和我这个外地人一样，有个戴眼镜的服务员还可以。周边的交通很方便。', 'star': 1}
{'descr': '最实惠的酒店，比7天，莫泰，如家什么的等等等等都好多了，非常喜欢，也很干净', 'star': 5}
{'descr': '离地铁口太近了，出了张府园2号口，走30米即到。步行去新街口也很近，10分钟的样子吧。不过房间很小，也几乎没有什么配套设施，连牙具都不提供，早知我就自带了。旁边有一家水果超市，买了杏和香蕉。不远的地方还有一家小超市，比较方便。', 'star': 5}
{'descr': '交通方便是这家快捷酒店的最大优势！房间虽然小，但是卫浴、电视、该有的也都有了~出去玩，又不是整天住在酒店里，小一点也无所谓了，据说是锦江之星旗下的百元酒店，呵呵，的确很好，卫生条件也很好~~~', 'star': 5}
{'descr': '不错，服务态度很好。交通便利，物有所值', 'star': 3}
{'descr': '单人间很干净 虽然小了点但是各种设施都齐全 布局很合理 而且应该是刚刚装修过 房间墙壁各种设施都很新又干净 总之很满意啦\n位置也特别好 出来走几步就是地铁站 南京几个景点做地铁都很方便了~\n下次来南京还会考虑住这里的~', 'star': 5}
{'descr': 'Convenient place, near to Metro line 2. The room is acceptable, quite clean. But the wire network is not working, and there is WIFI connection in the lobby only.', 'star': 5}
{'descr': '房间巨小，下床一步就是厕所。。。市中心也不安全，手机被偷', 'star': 3}
{'descr': '地理位置非常方便，就在张府园地铁口附近，但是房间是真小啊，不过适合旅游，就睡一觉嘛。', 'star': 5}
{'descr': '房间确实太小 价格位置都还好', 'star': 3}
{'descr': '性价比还是比较高的，虽然房间挤了点。已经是第三次住这酒店了。', 'star': 5}
{'descr': '竟然在装修  不过还好  晚上没有影响休息', 'star': 3}
{'descr': '位置不错，离新街口很近，靠近地铁，出去挺方便', 'star': 5}
{'descr': '酒店房间虽然很小    但是很干净哦   麻雀虽小五脏俱全呢     为了避免夏日蚊虫叮咬     还特地配备了电蚊香器     床铺很软   我们两个住的   高低铺   两个睡下铺一点也不拥挤     下次来还会居住的   价钱合理 位置又好  步行至新街口的商场  七八分钟就好了   出门就有公交和地铁  交通很是方便呢', 'star': 5}
{'descr': '价格便宜、交通很方便、设施很全 就是小点，还不错', 'star': 5}
{'descr': '隔音不好，没有数字电视，还是解放路那家比较好，而且比这里便宜十块钱，带数字电视，隔音好', 'star': 3}
{'descr': '虽然很小  但是很干净 整洁。很不错的一家连锁店  自己带洗漱用品就可以', 'star': 5}
{'descr': '酒店小而整洁，离地铁站不到50米，出行十分方便。', 'star': 5}
{'descr': '这次住的是双人房，比想象中的要大些。\n酒店小而整洁，离地铁站不到50米，出行非常方便。', 'star': 5}
{'descr': '地理位置不错，挺方便的，下次还去。。。。。。。', 'star': 5}
{'descr': '地理位置靠近新街口，出行很方便；卫生环境还可以，就是房间小了点。不过在这样的位置，这个价格还能说得过去。', 'star': 5}
{'descr': '离地铁站很近，离公交站也很近。去著名的景点交通很方便。感觉较旧，卫生一般。总体不错。', 'star': 5}
{'descr': '小酒店很有意思，虽然小，还不错，位置好，地铁站门口', 'star': 5}
{'descr': '房间是小了点，但很整洁，位置很不错，很实惠，南京话真好玩，姑娘貌似很有感觉，南北中和，哈哈哈', 'star': 5}
{'descr': '总的来说还不错，确实小了点~', 'star': 3}
{'descr': ' 房间有点小，但很舒服，干净整洁，性价比很高！', 'star': 3}
{'descr': '房间很小的，就是快捷吧。卫生间的门坏了，勉勉强强，对得住这个价吧，不能要求太高。碍着大马路，挺吵的，睡眠质量不高的朋友就不要选择了。', 'star': 1}
{'descr': '酒店位置极好，性价比高，就是房间略小，空气不大好，适合年轻人', 'star': 5}
{'descr': '非常方便，就是电视的位置不太合理，住的是上下铺，下铺看电视太费力了……', 'star': 3}
{'descr': '靠近地铁站很方便啊~~就是房间实在是太小啦~~不过布局还不错~也蛮干净！', 'star': 5}
{'descr': ' 卫生还可以，空调还是不行，时冷时热…毛巾沾水后有异味…双人间就只有一块浴巾', 'star': 3}
{'descr': '交通还方便，我定的上下铺，睡着还舒服，挺干净，拖鞋和洗漱用品需在自动售货机买。它这是在地铁张府园站，在路东。', 'star': 5}
{'descr': '这家店的位置很好，离新街口和夫子庙就一站，张府园地铁站2号口出来往回走用不了两分钟，定的高低铺房，三个人睡没问题。房间是真的很小，七八平容纳一个高低床，一间浴室，一张小桌，一个小凳，剩下的就是个过道。淋浴不错，热水水量足，很冲，没有牙具和拖鞋提供，这个有说明的。房间还算干净，每天有清洁，住这类经济型酒店要求也不能太高。这次唯一不满意的是房间的网络用不了，问前台说提供宽带服务，换了根网线还是不行，住', 'star': 5}
{'descr': '酒店很干净呀，住的很舒心，也很安静。唯一的问题就是晚上有人塞小卡片进来，对于刷卡才能进电梯的酒店来说，管理不行啊。', 'star': 5}
{'descr': '环境不错，虽然房间不大，但是很适合旅行的朋友，而且离地铁站很近', 'star': 5}
{'descr': '被子太厚，前台说晚上换不到薄的，空调只得开到19度。脸上又被冷风吹得头疼，换了一头才睡着。建议空调往里装一点，不然吹一夜会着凉发烧。', 'star': 3}
{'descr': '被子太厚，前台说晚上换不到薄的，空调只得开到19度。脸上又被冷风吹得头疼，换了一头才睡着。建议空调往里装一点，不然吹一夜会着凉发烧。', 'star': 3}
{'descr': '交通很方便，就在地铁口。酒店环境还可以，性价比很高，房间内热水很烫。单人房间很小，靠大路边，比较吵。总的来说很不错。', 'star': 5}
{'descr': '交通很方便，就在地铁口。酒店环境还可以，性价比很高，房间内热水很烫。单人房间很小，靠大路边，比较吵。总的来说很不错。', 'star': 5}
