{'短评内容': '挺小的，不过够住了，方便', '短评打分': 5}
{'短评内容': '空调没有反应，卫生间异味大，电视全是雪花', '短评打分': 2}
{'短评内容': '呃呃可以', '短评打分': 4}
{'短评内容': '没有停车场。只能停在路边', '短评打分': 4}
{'短评内容': '设施太简陋，好久了。', '短评打分': 3}
{'短评内容': '啥也不说了，这么便宜的标准间，估计在哪也不好找。而且布丁还是连锁品牌，整体不错～', '短评打分': 4}
{'短评内容': '房间太小设施差', '短评打分': 3}
{'短评内容': '房间卫生还可以  就是洗漱用品都得买  一般酒店不都是有的吗？   总体来说还可以  毕竟价钱在这儿', '短评打分': 3}
{'短评内容': '价格实惠，性价比高', '短评打分': 5}
{'短评内容': '价格合理，经济实惠', '短评打分': 5}
{'短评内容': '便宜，便宜，便宜…', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '太小，开会没有房间才住的', '短评打分': 3}
{'短评内容': '不能退订', '短评打分': 1}
{'短评内容': '除了洗澡水比较好以外，真找不出什么优点，无暖气，空调噪音大，房间陈旧墙皮剥落，蟑螂太多。。', '短评打分': 2}
