{'短评内容': '房间有点小。。', '短评打分': 5}
{'短评内容': '来这边参加国考，住这家，楼下ktv吵到四点，一整晚没睡', '短评打分': 3}
{'短评内容': '其他都好 只是旁边的ＫＴＶ太吵 周六晚上一直唱到凌晨三点多', '短评打分': 5}
{'短评内容': '房间卫生干净，温馨', '短评打分': 5}
{'短评内容': '该酒店工作人员热情阳光工作也比较规范，卫生 ， 经济， 就是房间的空气差一点', '短评打分': 4}
{'短评内容': '环境不错的', '短评打分': 5}
{'短评内容': '一直住这个酒店，舒服，干净，价格也还不错', '短评打分': 5}
{'短评内容': '边上是ktv，晚上到3点才睡着，如家连隔音也不做好，一星是给服务的，服务还不错', '短评打分': 1}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '挺好的 就是KTV有点吵', '短评打分': 5}
{'短评内容': '不错，推荐乐赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '窗户旁边居然是走廊，都不敢开窗，空气不好，很压抑。', '短评打分': 4}
{'短评内容': '酒店性价比较高，卫生和设施不错，就是房间隔音效果较差，再加上酒店旁有个娱乐场所，不够安静。', '短评打分': 3}
{'短评内容': '环境不错，价格实惠', '短评打分': 5}
{'短评内容': '118的价格，性价比很高，确实不错。', '短评打分': 4}
{'短评内容': '还行，位置不是太好找，服务不错。枕头很难用。早餐还可以。', '短评打分': 3}
{'短评内容': '房间很干净  服务热情  周边交通方便  到机场和高铁都方便  很不错！', '短评打分': 5}
{'短评内容': '我们住在5楼，而2楼后来才知道原来是K歌的场所，晚上那个吵啊吼啊真要命，像要地震一样，酒店方后来也解释了一直跟2楼在协商但无果；房间一走进全是烟味，建议各位要选择无烟房，床单被套感觉不是很干净，房间有电脑电视热水器，周边交通倒方便，餐馆也有好几家。早餐是自助餐，好像是15元/位，小孩免费。', '短评打分': 2}
{'短评内容': '房间还不错，就是没抽纸，就厕所有卷子', '短评打分': 4}
{'短评内容': '很不错，也划算。很不错，也划算。', '短评打分': 5}
{'短评内容': '挺干净的，也比较安静，就是没吃到过早餐', '短评打分': 5}
{'短评内容': '一般般舒适的睡床，柔软的棉品被褥，简约现代的家具，营养可口的自助早餐，全天热水淋浴，空调、电视、电话和24小时无限免费宽带上网等设施一应俱全。', '短评打分': 5}
{'短评内容': 'hao 国内长途电话 国际长途电话 遮光窗帘 24小时热水 免费瓶装水 电热水壶 免费文具用品 针线包 拖鞋 110V电压插座 有线/卫星电视接收 雨伞 液晶电视机。', '短评打分': 5}
{'短评内容': '入住如家有家一般的感觉', '短评打分': 3}
{'短评内容': '对于旅游来说，周围游览景点很多，出行其他地方也很方便。', '短评打分': 5}
{'短评内容': '不错，如家挺好的，就是刚好白天装修比较吵', '短评打分': 5}
{'短评内容': '很不错，而且周围交通方便，主要还是比较适合周围大学生哈', '短评打分': 3}
{'短评内容': '布置很温馨，位置很方便，就是房间有点小~总体还不错，性价比高', '短评打分': 5}
{'短评内容': '如家还不错，下次会再来。', '短评打分': 3}
{'短评内容': '很好，性价比超高的。。。。。。。。。，。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '入住恰逢酒店装修，真的太吵了，装修期间不建议入住，房间舒适度算不错，早餐不怎么样。前台告知装修或持续2-3个月。', '短评打分': 5}
{'短评内容': '地理位置很好，周围交通很方便，附近商店也很多，是住集美很好的选择，推荐', '短评打分': 5}
{'短评内容': '标准的如家酒店。环境安静，适合入睡。到各个地方也比较方便。唯一不满意的是不经意在被罩上发现未洗干净的血迹。厕所有烟味。', '短评打分': 5}
{'短评内容': '第一次住 位置不太好找 服务OK 但是早餐的吃的比较简单\n', '短评打分': 5}
{'短评内容': '如家还是一如既往的好，性价比很高，下次来还会入住', '短评打分': 5}
{'短评内容': '服务总的来说不错，我一开始订错了房间类型，前台给改过来了，房间也还干净，但是只有早餐，中午和晚上没有，有点不方便。', '短评打分': 5}
{'短评内容': '价格还算便宜，房间也挺卫生的，但是没有衣柜，另外，房间的电话是要付费的', '短评打分': 5}
{'短评内容': '在石鼓路那，环境不错，隔壁是24小时营业的厦门特色小吃店，沙茶面不错，房间蛮好，就是马桶堵了搞得一塌糊涂。。。 服务很好，总的来说 很好。', '短评打分': 5}
{'短评内容': '卫生及设施都可以，房间较小，但较房价性价比不错了，交通较方便，但打的到机场比较困难，大多需要谈价格，不打表，我打了辆的，有点堵车，打表33元', '短评打分': 5}
{'短评内容': '  住宿设施还不错！干净，整洁，设施较新！\n   在大厅，能看到标有酒店附近公交线路的指示牌，挺好！\n   但要是能再增加一些指示信息就更好了！比如去鼓浪屿，最佳的乘车路线等等。\n   ', '短评打分': 5}
{'短评内容': '总体来说很不错！里面环境很好！交通也还行！', '短评打分': 5}
{'短评内容': '总体还不错，下次还来住，就是没供应早餐。', '短评打分': 5}
{'短评内容': '环境不错，服务也挺好的。', '短评打分': 3}
{'短评内容': '酒店新开张，一切都是新的，如家的标准，挺好的酒店，门口有直达厦门北站的公交车，属于集美区的中心，外面挺热闹的。', '短评打分': 5}
{'短评内容': '  如家态度很好～就是房间确实是小了点，而且网上预定价和门市价一样…有点郁闷到了', '短评打分': 3}
{'短评内容': 'good!', '短评打分': 3}
{'短评内容': '环境不错,很干净，就是位置比较偏', '短评打分': 3}
