{'短评内容': '周边环境很好很安静，房间也干净', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间干净又宽敞呢', '短评打分': 5}
{'短评内容': '房间升级，服务好。', '短评打分': 5}
{'短评内容': '测试？', '短评打分': 5}
{'短评内容': '地理位置和环境都不错，特价房面朝马路较吵。卫生间全透明设计喝房间设计感觉不合理，床透离卫生间太近', '短评打分': 5}
{'短评内容': '下次还住这个酒店', '短评打分': 5}
{'短评内容': '环境很好，服务态度不错', '短评打分': 5}
{'短评内容': '环境很好，服务很好，就是谈季有点小贵啊。', '短评打分': 4}
{'短评内容': '特温馨有家一般的感觉，服务特别体贴周到，建议亲们来武夷山游玩到，九龙湾度假酒店入住。', '短评打分': 5}
{'短评内容': '环境很好，出门就是公交车站，就是晚饭不是很方便，要去三姑环岛或者步行街那里才有的吃…房间阳台的风景非常漂亮…', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店环境很不错，接车服务很好，房间里还送了酸奶，水果，服务很贴心！', '短评打分': 5}
{'短评内容': '干净，配套服务好，！！！！！！！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间的设施很满意，环境也很好，价格也是在可以接受的范围内。第一个晚上可以说是很满意的。但是酒店人员的工作效率就不敢恭维了..   早上我们明明说要续房，而且说了两次了。到了下午酒店人员却打电话告诉我们房间现在要给别的客人了，叫我们去别的酒店。原因说因为我们只定了一晚.. 我想说那你之前怎么屁都不放一个!!  竟然还有理由责怪我们消费者。  总得来说是值得住的，但是强烈建议大家进酒店要详细的问清楚情', '短评打分': 1}
{'短评内容': '这间酒店所处的环境实在是无敌，崇阳溪旁，好山好水，傍晚在河岸散散步、在渔人码头喝瓶啤酒，真的太安逸了。我们住的是山水双床房，别墅型，带个亲水木阳台，颇有休闲感；酒店的服务也不错，早餐品种尚丰富，每天送上水果，需要什么物件马上会送到，走时还用别克车给送到机场。不足之处：房间面积小了点，设施也不是很完备，卫生间设计比较差；中央空调的温度设定有问题，不能自动停机，冷得不得了，只能手动关机，维修师傅过来看', '短评打分': 5}
{'短评内容': '说是五星酒店，但房间的设置最多三星半。。。不过酒店工作人员很热心，酒店内环境不错～我们住的是豪华山水房，房间不大，有些局促，卫生间淋浴房还漏水。。。早餐品种很少，九点半结束的早餐近9点去很多东西都没了。。。连鸡蛋都没了。。。', '短评打分': 1}
{'短评内容': '说是五星酒店，但房间的设置最多三星半。。。不过酒店工作人员很热心，酒店内环境不错～我们住的是豪华山水房，像极了干部疗养中心= =房间不大，有些局促，卫生间淋浴房还漏水。。。早餐品种很少，九点半结束的早餐近9点去很多东西都没了。。。连鸡蛋都没了。。。', '短评打分': 1}
{'短评内容': '环境非常好，但别墅客房设置不怎么合理，我们的五居别墅，一楼有两个标准房，但只能用大厅的公共卫生间，而且卫生间没有抽风，非常小，二楼的房间都有套房，但卫生间全是玻璃透明的，遮光布都没有，不方便公司同事一起住。', '短评打分': 5}
{'短评内容': '刚入住，环境不错', '短评打分': 3}
{'短评内容': '此酒店不错，环境优雅，房间卫生，酒店服务生服务很好', '短评打分': 5}
{'短评内容': '酒店环境很好，空气清新，夜晚也很安静，定的是山水景观房免费升级到套房，房间设施很好，酒店有电瓶车送客人到每幢别墅，服务态度也很好，有接机送机服务，如果有机会再来武夷山还会住这里！', '短评打分': 5}
{'短评内容': '，酒店环境优静，服务质量好。价格稍高!', '短评打分': 3}
{'短评内容': '服务很好，环境一流。但288元的房间在半地下，感到很失望。应该介绍清楚，就更好了。', '短评打分': 3}
{'短评内容': '酒店離渡假區有點距離,但很安靜,環境優美.', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店环境很好，服务很优秀，但此住房面积较小，与套房相比，感觉性价比一般。但很喜欢室外的环境和泳池。', '短评打分': 5}
{'短评内容': '酒店太差，被欺骗了 。订了一间河畔双床房（别墅）， 外饰好看，一进房间，一股发梅的气味扑鼻而来，（说有梅气酒店拿来的却是蚊香），地面破旧不堪，房内蜘蛛网较多，卫生间比较脏，淋雨的布看着很脏，设施完全的落后，床也不够舒服（床垫品质太差），没有凉衣架（提醒后才提供，经济型酒店都不如），要求换房又没有。本想住两晚的（还想感受一下游泳池的），由到酒店比较晚了，只硬住了一夜，第二天一早立即退房，转住格林豪泰', '短评打分': 1}
{'短评内容': '非常优秀的一家度假酒店。地理位置很好，酒店环境优美，房间空间很大，设施相对舒适，服务热情礼貌，最爱室外泳池，难忘武夷度假。', '短评打分': 5}
{'短评内容': '环境不错，但分体空调漏水，不过给我调换了', '短评打分': 5}
{'短评内容': '整体环境不错，细节上让人不敢恭维！接机接的找不着人~酒店让自己打车（下着雨），说是30元就到酒店，结果20元，等到酒店的第一句话是：接机的人在机场啊，您没找着！晕~·~~房间之间离的很近，开门关门对隔壁影响很大，屋内卫生间比较脏，淋雨的布看着很脏~~~说是五星级，让我真的没感觉到！！！', '短评打分': 1}
{'短评内容': '环境好！非常的安静，下次去还会 考虑入住', '短评打分': 5}
{'短评内容': '环境一流，内部园林设计较好，酒店后面有一条河，在河边散散步，也不错！', '短评打分': 5}
{'短评内容': '武夷山天游峰山脚下茗茶轩小杯奶茶45元一杯！见过黑的没见过这么黑的！', '短评打分': 3}
{'短评内容': '酒店外面修路严重影响了正常的出行，外部环境还可以，早餐的品种要再丰富些就好了，早餐的种类和大城市的三星级酒店差不多，另外房间不太隔音。总之中上吧。', '短评打分': 5}
{'短评内容': '靠近景区北入口，环境优雅，酒店服务到位（具体包括服务台旅游线路安排，叫车；客房送餐券及水果等）。\n*五一期间酒店门口修路，影响到去机场的公交及出租车', '短评打分': 5}
{'短评内容': '很干净，很不错，还会再来~~~~~~~~~~', '短评打分': 5}
{'短评内容': '装修别致新颖，我住的双人房间还有个小厨房。。。功能设计上有点不足，其他的都很不错，下次带老婆在这里住个十天半个月的 ', '短评打分': 5}
{'短评内容': '酒店的环境绝对一流的，房间没有前面的公寓大。', '短评打分': 5}
{'短评内容': '环境优雅,别墅型客房,饭后可散步到溪边.会再住', '短评打分': 5}
{'短评内容': '酒店太差，被欺骗了', '短评打分': 5}
{'短评内容': '游泳池很洁净美丽，池边的雪白的躺椅却很脏。\r\n一边矗立守卫的雪狼们最让我感到欣喜可爱。\r\n其他是没得说了。太好了。超级喜欢这个别墅式的酒店。', '短评打分': 5}
{'短评内容': '还有一点就是床垫品质太差，与100元小店有得一拼。。建议酒店重视床品，体现星级标准。。', '短评打分': 3}
{'短评内容': '酒店只有自己住了才有最真实的感觉。。喜欢三点：硬件设施优良，酒店园区设计环境一流，游泳池令人惬意。。感谢酒店的导游孙小姐辛苦。。不足就是服务，完全谈不上五星。。门口堆脏衣服。。晚上没晚餐黑灯开车出去找饭吃。。最不满意的是前台一个长得丑陋的107号郑姓服务员一副爱理不理的尊荣，与她交流感受了计划年代才有的生冷硬。。待人很别扭。。当时直接想转住悦华。。最后是一个带眼镜的经理样说话和气挽留我们住下了。。', '短评打分': 5}
{'短评内容': '别墅宾馆，环境很好。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '酒店的周围环境比较不错，都是别墅区，很干净环境还不错，早餐比较简单，标准不高。位置还好出行交通也很方便，性价比还不错可以推荐入住。', '短评打分': 5}
{'短评内容': '环境很好，吃饭和交通不是很方便。', '短评打分': 3}
{'短评内容': '很好~干净~周到', '短评打分': 5}
{'短评内容': '  房间比较大 周围环境不错 比较安静 就是里面设施不怎么样 床很硬 而且很响翻个身就响 淋浴的也不好时冷时热 不好调控 服务不错', '短评打分': 5}
{'短评内容': '不错的酒店,环境优美,服务很好,就是设施还有点跟不上,值得一住.', '短评打分': 5}
{'短评内容': '交通不太方便。餐厅太小。', '短评打分': 1}
{'短评内容': '从机场出来打车需要20元，也可以选择公交6路到九龙湾需要2元，但是吃饭不是很方便，但是可以选择出门继续乘坐公交6路前往景区去吃饭。房间和环境比较不错，很安静。', '短评打分': 5}
{'短评内容': '不在购物街和别的酒店扎堆就显得与众不同。环境清幽，房间内、外饰很好，适合家庭、情侣入住。自驾或公交前往风景区很方便。早餐还不错，服务态度很好。', '短评打分': 5}
{'短评内容': '个人旅游的时候去的，环境好的没话说，别墅型酒店。就是地理位置比较尴尬。周围出行不算太方便。。。。。。如果酒店能提供去街镇中心的车就好了', '短评打分': 5}
{'短评内容': '酒店的环境很优雅的，服务卫生以及设施都很好的，位置不错的，性价比很好的酒店的，值得推荐的入住', '短评打分': 5}
{'短评内容': '处于市区与景区中间，位置太差，周边没什么配套，吃饭娱乐是个大问题。其他都还好。', '短评打分': 5}
{'短评内容': '位置很偏，环境也不好，总而言之是五星级的价格，二星级的标准', '短评打分': 1}
{'短评内容': '服务生太少', '短评打分': 3}
