{'短评内容': '经济实惠，方便快捷', '短评打分': 5}
{'短评内容': '房间非常小，设计非常差，马桶对着人的', '短评打分': 3}
{'短评内容': '性价比超高', '短评打分': 4}
{'短评内容': '性价比超高', '短评打分': 4}
{'短评内容': '性价比超高', '短评打分': 4}
{'短评内容': '一次住了三天，六间房，在京东预订酒店挺方便', '短评打分': 5}
{'短评内容': '环境非常一般，就是旅店的标准，没有在浦东那家好，前台服务非常好！价格还可以，能接受', '短评打分': 5}
{'短评内容': '还不错，还行，一份钱一分货', '短评打分': 5}
{'短评内容': '已经住了十多天了，周边配套设施很完善，吃的喝的都有，楼下就是肯德基，非常方便。', '短评打分': 5}
{'短评内容': '提前打电话说晚到了，依旧不保留，来了多要价，住的还特别差劲', '短评打分': 2}
{'短评内容': '我真的无语 本来都还行 附近什么吃的或者交通都还方便，可是!从昨晚回来晚 门结果一回来看到坏了 门修修修那么久 大哥大姐啊 凌晨一点如果这么久先给我们换房间你们再修好不好啊 本想这么晚麻烦你们还不好意思 可是 你们这修的时间难道不会考虑好在等的顾客心情吗？ 还有!我们续住你们不更新热水怎么办  我们洗澡没热水也太搞笑了吧，为什么的话你们给我们一个理由好不好。什么破酒店 限制热水量之后还忘记更新热水', '短评打分': 2}
{'短评内容': '还可以吧。', '短评打分': 5}
{'短评内容': '明明是连锁的，服务却有所不同～', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间挺干净，就是马桶因为房间小给设计在外面了', '短评打分': 5}
{'短评内容': '室内没有电话，接热水要到楼道里去接', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '太小太垃圾，谁去谁后悔，没浴巾，没有卫生间，座便器在床边，没有电话，没有电吹风，没有梳子反正就是各种没有！很恶心。', '短评打分': 3}
{'短评内容': '＋被子有点潮，晚上还有蚊子啊！搞死了。', '短评打分': 3}
{'短评内容': '小店不错，定位是低收入人群，但对于大众旅游或出行的人来说，很实惠，价钱100元左右。空间虽然小了点，但是整体环境还是不错的，有免费网线可用。', '短评打分': 5}
