{'短评内容': '住不得住不得，黑店一个。真的受不了', '短评打分': 1}
{'短评内容': '哇，真tm垃圾，明明网上117，结账的时候非要我157的算，还说什么我没有给，差点耽误我了我去广州的车，受不了', '短评打分': 1}
{'短评内容': '新装修，态度很好，价格实惠，在市中区能住到这个价位的很不错了', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '酒店在一条很小的巷子里，不好找。网上预付后到了酒店，老板却说从未和携程签过网上预付的协议！让我取消订单然后前台付，问题是携程上该酒店订单还是不可取消的。。。彻底无语。。。请不要再挂在网上坑人了，谢谢！', '短评打分': 4}
{'短评内容': '房间潮湿 差评', '短评打分': 3}
{'短评内容': '靠近景点，出行方便。', '短评打分': 5}
{'短评内容': '酒店位置离甲秀楼附近，但出来的巷子有很多垃圾，很不舒服。店主和携程没有协调好，态度不好。还好携程网及时解决了问题。', '短评打分': 3}
{'短评内容': '要15个字形容你的时候我要去年同期增长百分之七十以上学历', '短评打分': 1}
{'短评内容': '在省会城市这样的价格很不错了。老板人很热情，还亲自到路口迎接。地段也不错，附近的博物馆，筑城广场，钻石广场，甲秀楼，箭道街，吃住行玩都方便。好评！', '短评打分': 5}
{'短评内容': '各项标准都只能算合格，住得不是很开心。相对后面住的来说性价比稍低', '短评打分': 3}
{'短评内容': '酒店环境可以，步行甲秀楼10分钟内，本次订价钱便宜的，房间很小，有窗开在内走廊。房间无通风。卫生间无抽风。再也不敢入住。', '短评打分': 2}
{'短评内容': '房间很干净，周围交通便利，服务态度不错', '短评打分': 3}
{'短评内容': '价格便宜，设备陈旧，交通生活方便。', '短评打分': 3}
{'短评内容': '甲秀商务宾馆离市中心很近，离贵阳的地标甲秀楼也不行可至。但第一次来还是找了好一会儿的。员工的服务态度总体不错。', '短评打分': 5}
{'短评内容': '性价比较高，服务可以，但设施应完善，，，比如我住的房间连茶叶都没\n', '短评打分': 5}
{'短评内容': '还不错，房间比较简单但是该有的全有，交通比较方便，推荐', '短评打分': 5}
{'短评内容': '设施陈旧，隔音效果差，蚊虫满天。这都算是宾馆？', '短评打分': 1}
{'短评内容': '舒适便宜，但空间小，没有上网', '短评打分': 5}
