{'短评内容': '不错，希望东哥重视酒店这一块儿，多搞活动吧，不然没人气啊', '短评打分': 5}
{'短评内容': '连住两天，非常舒服，安静，而且房间里的东西很人性化，锦江系列，真好!', '短评打分': 5}
{'短评内容': '订好的房间，到了给我说没有那种房间了叫我加钱', '短评打分': 3}
{'短评内容': '位置好，有停车场', '短评打分': 5}
{'短评内容': '早餐超级好，房间也很舒服，强烈推荐！', '短评打分': 5}
{'短评内容': '酒店有停车场，早餐也不错', '短评打分': 5}
{'短评内容': '从重庆经贵州省、云南省到西昌，十几天里，这个酒店的早餐是最好的，前台工作人员的服务态度非常热情，下次有机会到西昌还来住这个店', '短评打分': 5}
{'短评内容': '和网上介绍相符。好评！', '短评打分': 5}
{'短评内容': '个好vjbgjnbggf', '短评打分': 5}
{'短评内容': '老品牌酒店，安静卫生，价格合理，设施有点陈旧。', '短评打分': 4}
{'短评内容': '条件一般，不会再住宿。', '短评打分': 4}
{'短评内容': '条件一般，不会再住宿。', '短评打分': 4}
{'短评内容': '房间还是不错的，对得起这个价格，好评！', '短评打分': 4}
{'短评内容': '性价比非常好', '短评打分': 5}
{'短评内容': '可以可以，方便', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间很大，环境很好。', '短评打分': 3}
{'短评内容': '好！到西昌一般都住这里，多年如此。', '短评打分': 3}
{'短评内容': '不错 相对其他酒店，算便宜 位置也可以，\n', '短评打分': 5}
