{'短评内容': '评价啥子。啥子都没说的.我的白条自己赶紧给我恢复', '短评打分': 5}
{'短评内容': '要把我整疯', '短评打分': 5}
{'短评内容': '被着L心、写下了Y言《是要把我整疯》', '短评打分': 5}
{'短评内容': '离人才市场很近，这点很方便。卫生间设置不是特别理想，水容易溅到床边。房间有个灯坏了，灯光太暗，建议及时修理。如果有个穿衣镜，就更棒了。隔音效果不是特别好！', '短评打分': 5}
{'短评内容': '还是不错的哟', '短评打分': 5}
{'短评内容': '不错哟，住过几次了～挺干净的～也比较温馨～房间虽小，但是价格便宜～到人才市场去招聘也很方便，过街就到了～', '短评打分': 5}
{'短评内容': '还不错哟～酒店的风格不错，感觉温馨，也挺干净的～酒店在人才市场对面，招聘很方便～但是没有停车场，附近停车还挺贵的～', '短评打分': 5}
{'短评内容': '这是续住的，感觉还可以，总体来说还是可以的，没有早餐，房间小不能加床，酒店位置还可以，附近有停车场，很方便...', '短评打分': 5}
{'短评内容': '在京东定酒店也很方便，不用非得去携程去哪之类的了，一站搞定体验很好', '短评打分': 5}
{'短评内容': '还好了', '短评打分': 5}
{'短评内容': '这次是和朋友一起来的，住着很舒服，地板，床单非常干净，服务态度一如既往的好', '短评打分': 5}
{'短评内容': '适合短途歇息', '短评打分': 4}
{'短评内容': '差。房间小。设施不齐', '短评打分': 1}
{'短评内容': '便宜 一分钱一分货', '短评打分': 5}
{'短评内容': '房间大小合适，干净舒适，很划算，服务积极周到，每次入住都会提醒取消毒杯', '短评打分': 5}
{'短评内容': '前台服务很好，很热情，周边吃的也比较多很近，房价很干净', '短评打分': 5}
{'短评内容': '一进布丁酒店，就感觉很温馨，很有特色，3楼还有一个温馨指示的纸条，再也不用担心会找不到路了，服务热情，房间也很干净', '短评打分': 5}
{'短评内容': '酒店环境干净，装饰清新，设施齐全，前台服务好，下次还选这家', '短评打分': 5}
{'短评内容': '性价比高，价格实惠，房间干净整洁，前台办事效率高，下次还来住', '短评打分': 5}
{'短评内容': '房间太小了，而且洗澡的时候的水蒸气全部出不去，房间里面全是烟，太无语了', '短评打分': 4}
