{'descr': '一点也不好，冷，厕所味，住过最垃圾的。再也不去了', 'star': 1}
{'descr': '交通比较方便', 'star': 3}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '各项设施都挺好，没有暖气不舒服，网速绝对一流，卫生不错，服务员态度很好', 'star': 5}
{'descr': '这个价位能找到这么宽敞干净的房子很不错了。在普通宾馆中感觉七天更好。另外，房间没有矿泉水，可以自带。卫生间的台阶容易绊倒，须注意。', 'star': 5}
{'descr': '环境还可以', 'star': 5}
{'descr': '住的最差的一次，还不如青旅', 'star': 4}
{'descr': '还不错的，就是空调声音有点大了！', 'star': 5}
{'descr': '挺不错的，安静，卫生，而且服务态度挺好的，里面的毛巾等都是塑封包装的，应该比那些直接暴露在外面的要卫生很多。', 'star': 5}
{'descr': '服务态度很好', 'star': 5}
{'descr': '一般 房间里有虫子', 'star': 3}
{'descr': '价格略高，设施和其他快捷比起来太简单了，前台服务不太好', 'star': 2}
{'descr': '环境优雅，设施齐全，比较安静，适合工薪阶层', 'star': 4}
{'descr': '还不错，中规中矩的酒店，空调有点冷，冻坏了', 'star': 5}
{'descr': '连锁酒店就是都一样的设备，但这家店的卫生一般。', 'star': 3}
{'descr': '环境一般，没有一次性洗漱用品，空调声响太大，不太满意h', 'star': 3}
