{'短评内容': '我是代人预定的，挺朋友说酒店还不错哦。', '短评打分': 4}
{'短评内容': '还不错，性价比高', '短评打分': 5}
{'短评内容': '很不错，方便快捷!', '短评打分': 4}
{'短评内容': '房间够大，很宽敞，卫生很干净，床也很舒服，淋浴水很大，200块左右的房费如能带上免费早餐就完美了。', '短评打分': 5}
{'短评内容': '挺干净的，空间大，前台也挺效率的，小哥给的会员价。结账也别方便。就是窗户外声音有点大。电梯感觉不够用。。', '短评打分': 5}
{'短评内容': '还可以还可以还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间很大很舒适 也很好找 下了公交站走两步就看到了 走到万象城大概20分钟左右 打的去的南站 但是！门缝里居然插了那种小卡片 不正规 应加强管理。', '短评打分': 5}
{'短评内容': '挺不错的………………………………………………………………………………………………………………………………', '短评打分': 4}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '环境不错，性价比较高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '国庆长假同学聚会入住在此，距离合肥政务新区，交通方便，消费便捷', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '新酒店，下面的西餐厅服务不错、停车场也够大！美中不足早餐不够丰富、不过248的价格也算是可以的了，推荐！', '短评打分': 5}
