{'短评内容': '可能房间老旧 有一股味道', '短评打分': 5}
{'短评内容': '酒店环境还不错', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '设施陈旧，卫生一般，但交通方便。', '短评打分': 3}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': 'qqq', '短评打分': 5}
{'短评内容': '还行吧，马马虎虎', '短评打分': 1}
{'短评内容': '就是去机场的话方便一点', '短评打分': 4}
{'短评内容': '还好', '短评打分': 2}
{'短评内容': '火车站十多块就到白金酒店，周边环境很好，应该是中心商务区，公交，地铁很方便，和朋友们一起过来看园博会，很开心……', '短评打分': 5}
{'短评内容': '舒适型酒店，交通便利，价格合理。', '短评打分': 5}
{'短评内容': '酒店属于舒适性，交通很方便，公交站，地铁站都很近。酒店餐厅部老板很热情，用餐有本地特色。楼下有超市，周边还有很多小吃店，不错哦！', '短评打分': 5}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '出去就上机场高速，想赶飞机的话，没问题。其他没什么值得推荐的', '短评打分': 5}
{'短评内容': '地段方便,设施应增加座椅,价格可接受', '短评打分': 3}
{'短评内容': '不错，回头再来.位置好，服务一般。就餐贵点，参加考试的可以考虑。', '短评打分': 5}
{'短评内容': '还不错。\n空调效果很好。\n就是早餐那些吃的不怎么好。', '短评打分': 5}
{'短评内容': '离机场很近，房间环境一般，装修味很重，不过还好。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，上高速、去机场很方便。酒店比较新，但是酒店房间内有异味，早餐在五楼，餐券上没有标注，服务一般！', '短评打分': 1}
{'短评内容': '总体还行，去机场方便，房间的设施也不错，就是房间偏小，没有电吹风，早餐很丰富，因为一楼在装修，所以有些凌乱，不过可以理解，最不满意的地方就是前台太差劲，爱搭不理的，问半天，她连眼皮都懒得抬一下，办理入住和退房手续要花很长时间，总之，前台是贵酒店最大的败笔。', '短评打分': 5}
{'短评内容': ' 酒店卫生环境尚可 交通也便利 停车也方便 总的来说还行', '短评打分': 3}
{'短评内容': '经济、实惠，尤其是到机场丝毫不用担心堵车问题。', '短评打分': 5}
{'短评内容': '客房稍微有点小 来的时候一楼大厅在装修 而且不送餐 只能去餐厅吃。还挺干净', '短评打分': 5}
{'短评内容': '卫生还可以。位置不错。价格不算太贵。服务不算好，态度不好，有房也不出售。', '短评打分': 5}
{'短评内容': '酒店房间还行。自助早餐品种太少，我在一堆花卷馒头里发现了俩包子，那个高兴啊，跟中奖似的。', '短评打分': 3}
{'短评内容': '酒店不错，挺满意的。服务员也挺客气。下回需要还会是那', '短评打分': 3}
{'短评内容': '干净，安静，纯净！酒店开的时间不长，在机场高速入口，交通很方便。', '短评打分': 5}
{'短评内容': '，酒店一般，服务员素质不高！', '短评打分': 3}
{'短评内容': '酒店条件尚可，建议提供票务服务。', '短评打分': 3}
{'短评内容': '酒店设施不错,交通方便,但周遍环境差,很吵.服务人员素质不高.', '短评打分': 1}
