{'短评内容': '酒店位置好，出门就是江边  散步挺好的前台服务员小李小唐小谭服务热情', '短评打分': 5}
{'短评内容': '前台李雪梅同学，认真负责，热情开朗。每次出差都会住这家，很安静，停车方便。', '短评打分': 5}
{'短评内容': '酒店干净卫生，地理位置方便，安静舒适。前台服务员很热情，特别表扬前台李雪梅。唐艳。下次入住会首选。', '短评打分': 5}
{'短评内容': '一、3星级估计也达不到；二、性价比略低', '短评打分': 3}
{'短评内容': '还不错，就是感觉不到3星', '短评打分': 3}
{'短评内容': '相当不错啊，就是早餐，真心要改进，和这样的酒店不相配', '短评打分': 5}
{'短评内容': '酒店位置相当好，就在江边上，滨江公园对面，右临大润发超市，紧邻云集路小吃街，旅游、购物、餐饮方便之极。\n不足之处：酒店供应的拖鞋太次了。', '短评打分': 4}
{'短评内容': '房间太小，性价比不高。。', '短评打分': 5}
{'短评内容': '环境还不错，江边地段便利', '短评打分': 5}
{'短评内容': '性价比不错的', '短评打分': 5}
{'短评内容': '方便、性价比高', '短评打分': 5}
{'短评内容': '床真的太硬，设施陈旧，房间不隔音，卧室墙纸受潮发霉，卫生间顶部也漏水发霉。服务态度很好，周边有超市，夜市，小吃街，江边，很便利。', '短评打分': 5}
{'短评内容': '长江边的酒店，离美食街近，推荐！', '短评打分': 5}
{'短评内容': '交通方便，离会议地点近，步行就到了，同时提供早餐，住宿环境还是比较不错，工作人员服务态度很好，下次会再次预定', '短评打分': 5}
{'短评内容': '交通方便，离会议地点近，步行就到了，同时提供早餐，住宿环境还是比较不错，工作人员服务态度很好，下次会再次预定', '短评打分': 5}
{'短评内容': '总体环境不错', '短评打分': 5}
{'短评内容': '临江不错不错不错不错不错不错不错不错不错不错', '短评打分': 4}
{'短评内容': '还可以，可以远了', '短评打分': 4}
{'短评内容': '位置很好，下次再住', '短评打分': 5}
{'短评内容': '房间有些小，早餐冷，希望改进', '短评打分': 3}
