{'短评内容': '很好，满意，室内干净', '短评打分': 5}
{'短评内容': '周边环境好、交通方便', '短评打分': 4}
{'短评内容': '酒店位置属黄金地带服务也不错，就是应了那句开发商的话，寸土寸金啊！周边小吃也多，看外滩的美景也近！天时地利人和！', '短评打分': 5}
{'短评内容': '参加马拉松，没有问其他，住了一宿', '短评打分': 5}
{'短评内容': '位置佳，出行方便', '短评打分': 4}
{'短评内容': '房间有些老久了，位置确实不错，出门就是南京路步行街，总体满意！', '短评打分': 5}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '除了位置比较好之外，其它都别要求太高了。。。', '短评打分': 3}
{'短评内容': '交通很便利，南京东路站地铁。房间卫生和设施不行，淋浴碰头坏，沐浴露用完，电视机无法使用，空调声音很大。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '床很棒', '短评打分': 5}
{'短评内容': '交通便利 以后还去 吃饭购物方便', '短评打分': 3}
{'短评内容': '挺好的，只是没有窗户', '短评打分': 5}
{'短评内容': '位置方便，但是环境不太好，设施陈旧，价位还可以', '短评打分': 4}
{'短评内容': '楼顶有噪音，店家服务态度还可以，第二天换到二楼。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
