{'descr': '条件还好，毕竟价格在那，性价比还是挺高的', 'star': 4}
{'descr': '一般吧 凑活', 'star': 3}
{'descr': '差', 'star': 1}
{'descr': '我也不知道怎么说。就是很神奇。多少年没遇到过这种酒店了。钥匙还是真的钥匙，我以为是门卡，想多了！可能是展会吧！有点贵！性价比不高', 'star': 3}
{'descr': '就是有点旧，该有的都有。经济旅行很不错。', 'star': 4}
{'descr': '墙壁严重发霉 床单破的  装修年数久远', 'star': 3}
{'descr': '环境还可以，挺好的', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '这个价位，这个地理位置，划算的', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '还好，主要离会展中心比较近', 'star': 4}
{'descr': '是我出行以来住过的最最艹蛋的地方', 'star': 1}
{'descr': '地方有点偏，晚上不好找', 'star': 3}
{'descr': '简直就是农村的小旅店', 'star': 2}
{'descr': '还行', 'star': 4}
{'descr': '环境一般，价格还算便宜，希望硬件和服务再加强一些。', 'star': 5}
{'descr': '环境不好，下次肯定不去了', 'star': 3}
{'descr': '价格便宜，只是卫生条件差一点，但价格稍稍便宜一些。', 'star': 5}
{'descr': '间洁,卫生,安静,就是没有导向的路标,没有去过是有点难找,0512---15371477942--------------专业生产吸塑包装,昆山富源翔吸塑包装材料有限公司-----地址苏州昆山千灯古镇季广路188号.', 'star': 5}
{'descr': '间洁,卫生,安静,就是没有导向的路标,没有去过是有点难找,0512---15371477942--------------专业生产吸塑包装,昆山富源翔吸塑包装材料有限公司-----地址苏州昆山千灯古镇季广路188号.', 'star': 5}
{'descr': '差.房间小。卫生也不怎么样.要不是我住一晚....我不会住这的。', 'star': 1}
{'descr': '差.房间小。卫生也不怎么样.要不是我住一晚....我不会住这的。', 'star': 1}
{'descr': '还不错，价格很便宜！', 'star': 3}
{'descr': '还不错，价格很便宜！', 'star': 3}
{'descr': '房屋价格还算公道，只是空调不行，不太制热，还有旅馆比较难找，位置比较偏。', 'star': 3}
{'descr': '房屋价格还算公道，只是空调不行，不太制热，还有旅馆比较难找，位置比较偏。', 'star': 3}
{'descr': '这家酒店似新装修，环境较差。乍一看还比较整洁。房间内部设施陈旧，部分损坏。旅馆不负责任，将装修师傅做工穿过的拖鞋放在房间让客人穿。', 'star': 1}
{'descr': '这家酒店似新装修，环境较差。乍一看还比较整洁。房间内部设施陈旧，部分损坏。旅馆不负责任，将装修师傅做工穿过的拖鞋放在房间让客人穿。', 'star': 1}
