{'短评内容': '很差，下单后过了一会儿才支付，刚一支付就来信息说因酒店信息或价格更新，房间预订失败，退款。', '短评打分': 2}
{'短评内容': '就是离清华比较近，不是很干净', '短评打分': 4}
{'短评内容': '干净、安全。', '短评打分': 5}
{'短评内容': '很一般，简单', '短评打分': 5}
{'短评内容': '很干净，很清爽，隔音不好，没有抽纸', '短评打分': 5}
{'短评内容': '离主公路有一两百米，一个院子里，安静，适合睡眠质量不好的我。最满意的是房间内插头多，能同时满足多个设备充电。', '短评打分': 5}
{'短评内容': '酒店环境不错酒店环境不错酒店环境不错酒店环境不错酒店环境不错酒店环境不错酒店环境不错酒店环境不错酒店环境不错酒店环境不错酒店环境不错酒店环境不错', '短评打分': 5}
{'短评内容': '环境一般，客服不错', '短评打分': 5}
{'短评内容': '环境一般，早餐比如家的差远了', '短评打分': 5}
{'短评内容': '第一次用，还行', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '真的不错！', '短评打分': 5}
{'短评内容': '好评，有洗漱用品', '短评打分': 5}
{'短评内容': '交通便利～', '短评打分': 5}
{'短评内容': '不错～交通挺方便', '短评打分': 5}
{'短评内容': '在小区里，挺安静的，好评', '短评打分': 5}
{'短评内容': '好评，挺不错的', '短评打分': 5}
{'短评内容': '好评，和想象的一样，好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很好的一次入住体验，有牛奶，有牙具，服务很周到', '短评打分': 5}
{'短评内容': '室内干净 出行方便。服务热情。', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '还不错！就是下水道的味道大！', '短评打分': 4}
{'短评内容': '地点太差 其他还好', '短评打分': 4}
{'短评内容': '很安静，交通不是很方便。', '短评打分': 5}
