{'短评内容': '安静', '短评打分': 5}
{'短评内容': '酒店里晚上很吵，形象睡眠！', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '出门就是坐车点跟售票处特别方便', '短评打分': 5}
{'短评内容': '服务到位，环境不错没异味', '短评打分': 5}
{'短评内容': '还可以，交通便利购物方便', '短评打分': 5}
{'短评内容': 'Wifi差的不行啊', '短评打分': 4}
{'短评内容': '很好的，地理位置优越', '短评打分': 4}
{'短评内容': '有的房间中间总是有个柱子，床铺不是特别舒服。地理位置优越，这点很好。服务态度好。房间有的格局不是很理想', '短评打分': 4}
{'短评内容': '据说还不错', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '总体来说还不错', '短评打分': 4}
{'短评内容': '干净整洁，房间大，下次还住', '短评打分': 4}
{'短评内容': '酒店干净卫生房间相当大还带有电脑，就是隔音不太好。', '短评打分': 4}
{'短评内容': '酒店很不错 干净 卫生条件很不错 下次过来还住 性价比超高', '短评打分': 5}
{'短评内容': '酒店单人间非常大，感觉很舒服，附近超市什么的也很方便，下次过来还会继续住~', '短评打分': 5}
{'短评内容': '酒店设施陈旧，有老鼠。洗澡的喷头水量小，不值158', '短评打分': 1}
{'短评内容': '除了地毯有点脏外其它还可以', '短评打分': 3}
{'短评内容': '地毯的确很脏，房间隔音效果不好，早上很吵，喜欢睡懒觉的还是考虑一下，价格偏高，有电脑，这点比较好。', '短评打分': 1}
{'短评内容': '房间很大,很有奢华感。', '短评打分': 3}
{'短评内容': '就如其他客人点评的一样，地毯不是很干净。\n但是房间真心大呀~而且各个设备也算齐全，卫生设施也不错。\n对于这个价位而言算是性价比很高了', '短评打分': 5}
{'短评内容': '去的早些，还没有空房间，9点多入住了。第二天早上起得早，还没有热水。不太满意。', '短评打分': 1}
{'短评内容': '不错的小酒店，有电脑，很方便，性价比不错', '短评打分': 5}
{'短评内容': '环境一般，房间很大，但卫生做的不太好，地毯很脏，隔音效果不好，楼道里走路声都可以听到，早晨质量也不高，总体性价比不高', '短评打分': 1}
{'短评内容': '房间很大，稍微有点简陋，早餐也很一般，性价比不高', '短评打分': 1}
{'短评内容': ' 一般，淋浴头是坏的，在网上订的安排的房间就要临电梯吗，很吵', '短评打分': 3}
{'短评内容': '还不错，比较干净，晚上还送牛奶了。就是价格略贵，比郑州市贵70元。', '短评打分': 5}
{'短评内容': '房间挺大，装修粗糙！下午两点多入住！竟然隔壁房间装修！切割墙壁的声音非常刺耳？最后没办法要求换房！总台说没房了！在我要求退房的要求下又有房了！', '短评打分': 1}
{'短评内容': '商 务 酒 店 ， 适 合 出 差 人 士 入 住 。', '短评打分': 5}
