{'短评内容': '花洒基本没水 洗澡冷死了 门卡取电接触不良', '短评打分': 3}
{'短评内容': '还不错，环境优雅。', '短评打分': 5}
{'短评内容': '酒店就在金刀峡景区门囗，停车方便，房间设施齐全舒适，唯一不足就是周围几乎没有什么餐馆，吃饭不太方便', '短评打分': 4}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '至景区方便', '短评打分': 5}
{'短评内容': '房间设施陈旧，性价比不高。', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '酒店有早餐随便吃，但个人不提供晚餐', '短评打分': 5}
{'短评内容': '酒店就在景区门口很大，住宿分两个楼早餐简单面条竟然竟然一锅煮好', '短评打分': 3}
{'短评内容': '酒店可以服务可以哦，清洁一般般，就是不是很安静', '短评打分': 4}
{'短评内容': '房间不大，床也小，我们带个娃儿还是拼床睡的。比较干净。', '短评打分': 3}
{'短评内容': '房间环境还不错。服务态度也不错。', '短评打分': 5}
