{'短评内容': '外出考试，住的还可以', '短评打分': 4}
{'短评内容': '免费升级至商务大床 赞', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '不可以加床', '短评打分': 5}
{'短评内容': '带小朋友入住也不错。', '短评打分': 5}
{'短评内容': '还不错，挺好的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '环境卫生都不错，价格也合理，', '短评打分': 5}
{'短评内容': '还不错吧，商务住宿', '短评打分': 4}
{'短评内容': '地理位置比较好找，房间可以，就是装修不好，不隔音，超级吵，还有很多小广告，比较乱。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间不大，但是比较干净，位置也还说的过去。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '整体还不错，适合出差居住', '短评打分': 5}
{'短评内容': '酒店周边吃的很多，房间干净，热水足，但是酒店有莫名的色情小卡片塞进房间让人感觉不安全，酒店不是需要房卡才能上电梯吗？', '短评打分': 4}
{'短评内容': '强烈推荐大家可以去住，酒店很新，各种设施很完备，都是新购置的，大厅很凉快，电梯也需要刷卡才能上去，进酒店房门地上没发现小卡片，酒店管理很严格，唯一不足就是酒店不可以叫出租车', '短评打分': 5}
{'短评内容': '帮同事预定的，同事很满意,很不错呀，离公司什么的也很近', '短评打分': 5}
