{'短评内容': '非常好的酒店，早餐特丰盛', '短评打分': 5}
{'短评内容': '前台的效率慢到怀疑人生。卫生间总感觉有什么味道', '短评打分': 3}
{'短评内容': '酒店位置相对有点偏，我们是自己开车，有地下停车场，有中西餐厅，附近几乎没有可吃饭的地方，需要跑到万达去，贴身管家王振丽服务态度很好，好评。', '短评打分': 5}
{'短评内容': '服务比较到位，服务员很热情，贴身管家小云晚上还贴心的送来了热饮', '短评打分': 5}
{'短评内容': '酒店环境很好，服务人员非常热情，有水果，还有热牛奶。管家服务非常到位。', '短评打分': 5}
{'短评内容': '酒店感觉挺好的，有贴身管家服务挺细致，管家Ann送来的饮品挺好，也谢谢管家carl对我的用心接待，介绍江阴的景点。', '短评打分': 5}
{'短评内容': '管家小符送的小米南瓜粥感觉很温暖。', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '不错不错。酒店当地最好了。离万达也近。房间可以。', '短评打分': 5}
{'短评内容': '不错不错。酒店当地最好了。离万达也近。房间可以。', '短评打分': 5}
{'短评内容': '免费升级了江景房，服务很贴心，晚上还送了红豆汤作为夜宵，整体感觉不错。', '短评打分': 4}
{'短评内容': '东西很不错，感觉很满意。', '短评打分': 5}
{'短评内容': '地方有点偏，附近都没啥好吃的，好在酒店自己的自助也还行，环境不错，每楼还有管家，在睡觉前还送了杯热牛奶，就是窗户有点脏，这种环境还是多洗洗吧', '短评打分': 5}
{'短评内容': '不错的。。。。。。。。', '短评打分': 5}
{'短评内容': '温馨', '短评打分': 5}
{'短评内容': '泳池有油烟味', '短评打分': 4}
{'短评内容': '江阴最好的酒店了吧。应该还算新酒店的； 位置尚可，卫生优，设备新，餐饮丰富，办理入住/退房手续比较快。 地下停车略不方便。', '短评打分': 5}
{'短评内容': '酒店整体不错，在江阴算顶级的，房间很宽敞，服务也很好，还有水果和饮料送。', '短评打分': 5}
{'短评内容': '很不错 江阴好', '短评打分': 5}
{'短评内容': '服务很好，每次管家都会在电梯口等候，还会送上小礼品，这次还给我升级来的果盘^.^', '短评打分': 5}
{'短评内容': '酒店环境很好，服务及配套都不错，特别是爱心管家赵娜特别热心，还有睡前玫瑰花茶送，很不错！以后过来还会入住的！', '短评打分': 5}
{'短评内容': '服务态度好，贴身管家赵娜服务特别贴心，不错！', '短评打分': 5}
{'短评内容': '非常好的酒店，特别是管家服务，会在电梯口欢迎你，领你进房间，开夜床也会送上小礼物，晚上睡前更会有冰糖雪梨、牛奶等送上，非常贴心。唯一需要改进的就是早餐。', '短评打分': 5}
{'短评内容': '好评  ', '短评打分': 5}
{'短评内容': '前台专业。', '短评打分': 5}
{'短评内容': '江阴数一数二的酒店！特别有管家服务，睡前还送来冰糖雪梨和牛奶，?? 推荐入住', '短评打分': 5}
{'短评内容': '到江阴游玩，自己开车的话，这个位置是相当的好！四周宽敞不堵，到景点都不远。第二次来了，真的很不错！    酒店的泳池和健身房不错，酒店前的广场也很大，适合轮滑，骑车玩，孩子们喜欢。', '短评打分': 5}
