{'短评内容': '很不错的客栈', '短评打分': 5}
{'短评内容': '很不错的客栈', '短评打分': 5}
{'短评内容': '不错的三人间', '短评打分': 5}
{'短评内容': '1.老板给单间升级的标间，给力。2.房间很安静，就是注意关窗，晚上有蚊子。3.房内床下有烟头，希望老板以后注意哟~4.自行车20/人次，但是老板该维护一下你的车拉~', '短评打分': 4}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '位置好，老板热情', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 5}
{'短评内容': '还行，能住。', '短评打分': 5}
{'短评内容': '不错！位置好！安静！', '短评打分': 4}
{'短评内容': '酒店环境舒适，设施齐全，服务态度好，住的很舒心！', '短评打分': 5}
{'短评内容': '好评。比我想象中好很多。干净卫生，服务很好，附近吃的很多。离邛海也很近。', '短评打分': 5}
{'短评内容': '经济实惠型，不错！', '短评打分': 4}
{'短评内容': '来得匆忙，走得也早，没来得及拍照。但是设施还是齐全，价格也合适。如果不是很挑剔的可以来看看，离美食街很近很近。', '短评打分': 4}
{'短评内容': '楼梯太陡，上下楼很累，很不方便，有老人与小孩的最好不要选这家！', '短评打分': 3}
{'短评内容': '客栈位置不错，就在老海亭，离景点很近。房间宽敞明亮，干净，不错。', '短评打分': 3}
{'短评内容': '离湖边10分钟车程，在四川边境这，配套还有待改善，路坏了一段，旅店比较干净，有个阳台比较舒服', '短评打分': 3}
{'短评内容': '貌似直接去住的价格还比网上订便宜一点诶～其实只要不是旺季去，都比较好找住宿，周边感觉有几家还蛮好的样子，不过肯定比这家贵啦～其实行者客栈还是蛮好，干干净净的', '短评打分': 3}
