{'短评内容': '不怎么样，房间很小，价位不低', '短评打分': 4}
{'短评内容': '哥大都会打火机好地方g7活法烦他一哈方法干刚刚发个好方法好几个的差距个很过分刮胡刀发货交话费过户嘎嘎嘎', '短评打分': 5}
{'短评内容': '这个旅馆基本是按照青年旅社来布置的，有很多多人宿舍，我订的小单间，当时没房，给我换了一个六人间（上下床的那种），倒是干净整洁，没有室内卫生间，也没有电视等，上厕所和洗浴都要去外边公共区域，但对于我这种要求不高的人来说，也足够了，只要干净就好。酒店的位置离大世界和外滩都比较近，离地铁8号线大世界站也很近，交通非常方便。 老外非常多，几乎一半以上是老外入住。', '短评打分': 5}
{'短评内容': '位置特别特别好，工作人员非常热情周到，卫生也非常好，五星级推荐，住了很多次，每次来上海都住这里，十分满意。', '短评打分': 5}
{'短评内容': '只能说在上海这个价位这个地段挺好的…说设施就太破旧了，和宿舍一样～水不热，大床房，貌似是单人房，只有1米2的样子…服务前台态度还挺好的，房间算是干净的', '短评打分': 3}
{'短评内容': '不错的！！！', '短评打分': 5}
{'短评内容': '一去果然有很多老外，就是没有好好的在天台上玩一下，客栈的装修很有年轻人的气息，就是房间的隔音太不好啦！走廊里走路的声音听的都很清楚！', '短评打分': 4}
{'短评内容': '以后有机会还会住这', '短评打分': 5}
{'短评内容': '第二次住了，酒店不错 位置也很好', '短评打分': 5}
{'短评内容': 'Very good hotel for this money. Foreigners can rent it', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '赞！', '短评打分': 5}
{'短评内容': '地點不錯，很近景點不用坐車。價錢平但房間不大有點迫迫。', '短评打分': 4}
{'短评内容': '地點不錯很近景點，不用坐車。另價平但房間不大，有點迫迫。', '短评打分': 4}
{'短评内容': '环境还不错，挺干净的。', '短评打分': 5}
{'短评内容': '出发前一天晚上才急忙找旅店 刚好看到这家 就立马下单了 大世界地铁站1号出口出来走不到一分钟就到了 然后离人民广场站也只要10分钟左右路程位置非常好～ 旅店附近有很多餐厅(卖羊肉火锅的特多) 有便利商店 也有早餐店(在这吃到糍子～)  旅店门口有中国客栈的感觉 服务员态度很好 我住的是八人房 家具很新很干净 而且有独立卫浴 而且干湿分离 然后我的床位在暖气前面 衣服晾一个晚上就乾了～不过厕所的门锁', '短评打分': 4}
{'短评内容': '地段很好，周边很多火锅小吃，楼下很复古，楼上很高雅，还遇到很多外国友人！', '短评打分': 5}
{'短评内容': '酒店挺好的，2人间比较大，干净，住了比较多的老外年轻人，很多地方都有英文提示。附近很多饭店，步行到人民广场、南京路、外滩、豫园等地不远。特别是附近的灌汤包特别好吃，不要错过。', '短评打分': 5}
{'短评内容': '酒店挺好的，2人间比较大，干净，住了比较多的老外年轻人，很多地方都有英文提示。附近很多饭店，步行到人民广场、南京路、外滩、豫园等地不远。特别是附近的灌汤包特别好吃，不要错过。', '短评打分': 5}
{'短评内容': '很好啊！很干净！', '短评打分': 3}
{'短评内容': '第二次住了，以前是背包的驴友，现在是出来度周末。当初就是看中小吃街的方便（楼下饺子很赞）。这次还到旁边的音乐厅听了场不错的夏季音乐会，很开心', '短评打分': 5}
{'短评内容': '地段好，房间好，情调好，吃饭、闲逛等都很方便。', '短评打分': 5}
{'短评内容': '整体条件还不错，价格实惠，洗衣服也方便。唯一不足就是隔音效果很差。是国际青年旅社，有露天酒吧，喜欢文化交流的朋友选择这里没错滴！', '短评打分': 3}
{'短评内容': '很舒服，双人间相对来讲算空敝的，在上海同类的酒店空间相对都不大。房间较干净，有供客人免费喝的饮用水。各楼梯走廊上做的剪报不错。很有特色，前台服务态度算我在上海见过的最好的。', '短评打分': 5}
{'短评内容': '离地铁站很近，楼下就是小吃一条街。前台服务态度很好，但是房间的硬件有点跟不上，略显不足吧。最后说一点，我住的屋门不容易关紧，需要用很大的力气，否则就吱吱作响，希望尽早维修下。', '短评打分': 5}
{'短评内容': '交通便利，楼下就是小吃一条街。房间设施一般，电视小，马桶的位置不太合理。服务态度好，很到位，也算弥补了不少硬件上的缺陷。还有，我住的那间门不好关，要使劲推，否则会吱吱的响。', '短评打分': 5}
{'短评内容': '交通比较方便，前台接待也不错。只是掀开被子，床上还有薯片渣渣。第二天看到保洁打扫卫生只换了毛巾，较少换床单。在新客人入住的时候更换新床单这是起码的标准吧？节约成本可以理解，但凡事应该有起码的底限不是吗？', '短评打分': 5}
{'短评内容': '交通便利。吃喝购物都很方便。很热闹。很多好吃的。客栈蛮有特色的。唯一房间有点小。网速无线网不怎么快。服务什么都挺好的。住了五天。下次来还住。喜欢这边附近的美甲美容店。很有特色。下次来还要住这里。特方便。离外滩还有豫园很近。走过去就行。', '短评打分': 3}
{'短评内容': '很好，里面住的都是外国人，外国人都很有礼貌，男的超帅，女的像芭比娃娃...', '短评打分': 5}
