{'短评内容': '卫生，服务还都行吧，整体感觉一般般。毕竟他们做的不是高档服务。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '房间大，干净卫生，早餐丰富，WIFI信号好！', '短评打分': 5}
{'短评内容': '这个酒店都订过好几次啦，价格相对于广州这样的地方已经很优惠了，都是帮同事订的，他们都制定预定这个酒店，开起来环境应该还可呀。', '短评打分': 5}
{'短评内容': '这个酒店都订过好几次啦，价格相对于广州这样的地方已经很优惠了，都是帮同事订的，他们都制定预定这个酒店，开起来环境应该还可呀。', '短评打分': 5}
{'短评内容': '一直都在住，不错', '短评打分': 5}
{'短评内容': '很规范的快捷酒店', '短评打分': 5}
{'短评内容': '很好，不错，挺好的，很实惠', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店干净整洁，服务态度好，非常热情！', '短评打分': 5}
{'短评内容': '很不错很便宜', '短评打分': 5}
{'短评内容': '价位虚高！！', '短评打分': 5}
{'短评内容': '还好吧，可以', '短评打分': 5}
{'短评内容': '一次不错的入住', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '整体感觉不错', '短评打分': 4}
{'短评内容': '酒店客房干净整洁，住着很舒服。客房房间设计简洁大方，洗浴热水全天供应，总台服务不错，唯一就是开门地上到处是卡片服务电话信息。', '短评打分': 5}
{'短评内容': '在会展中心那边没有房间时，会考虑住这里，因为那边更为方便，但是这里价格便宜点，吃饭什么的也很方便，五分', '短评打分': 5}
{'短评内容': '一般，环境其实没有汉庭好', '短评打分': 3}
{'短评内容': '每次来多是这', '短评打分': 5}
{'短评内容': '还不错哟。 方便。', '短评打分': 5}
{'短评内容': '刚好中原博览中心有参加展会，好像一有展会这边价格会比平时贵一些。其他还好，就是出行不方便，门口打车比较难', '短评打分': 4}
{'短评内容': '居住比较多的酒店，安全。', '短评打分': 5}
