{'短评内容': '早餐挺丰富，前台态度很高。主要这里环境不错，下次还会继续住。', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '环境还不错，去的时候已经很晚了，前台很漂亮，很有礼貌，周边都是酒店，暖气很足，早餐就是正常的早餐，说实话，不咋地早餐', '短评打分': 5}
{'短评内容': '好。 ', '短评打分': 5}
{'短评内容': '不错  服务也好', '短评打分': 5}
{'短评内容': '交通便利，就在汽车站旁边，汽车站有直达沙坡头景区、银川和沙坡头机场的公共交通，距离市区购物中心和火车站也只有3公里左右。房间干净，热水不错，据说配备的市一个80L的热水器，水量充沛。安装有中国移动的电视信号，好多电影可选，早餐是快捷酒店水平，设施稍微陈旧，不过这是三四线城市酒店的通常状况，总体不错！', '短评打分': 4}
{'短评内容': '挺不错的，早餐也还可以，人员服务热情，出差都住这里。', '短评打分': 4}
{'短评内容': '客服态度很好，最后因为行程问题退了，下次有机会会住的', '短评打分': 5}
{'短评内容': '替朋友预定的，听说总体不错，房间大气，硬件也好，早餐一般需要去提高，周边环境不错，交通方便，有机会还来。', '短评打分': 4}
{'短评内容': '房间不大，设施比较旧，谁让我赶着旅游旺季去呢', '短评打分': 4}
{'短评内容': '房间不大，设施比较旧，谁让我赶着旅游旺季去呢', '短评打分': 4}
{'短评内容': '房间不大，设施比较旧，谁让我赶着旅游旺季去呢', '短评打分': 4}
{'短评内容': '朋友入住过的酒店，内部环境不错，整洁干净，和朋友带孩子去的，标间床住一个大人一个孩子没问题，床品舒适，就是酒店稍远，不过中卫不大，出租车便宜快捷', '短评打分': 4}
{'短评内容': '一如既往的好，只是返现经常变化，真是伤不起', '短评打分': 5}
{'短评内容': '酒店不错 可是说返现 也没返的', '短评打分': 5}
{'短评内容': '酒店不错 可是说返现也没有反', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
