{'短评内容': '还行，就是网络不好', '短评打分': 5}
{'短评内容': '环境优美，干净。喜欢', '短评打分': 5}
{'短评内容': '第三次入住，没有让人失望，除了住的是挨着道边，车声音有点吵，其他还是可以的。赠送的温泉券儿，但是没时间去泡。去瑞丽还是会选择住这里。', '短评打分': 5}
{'短评内容': '整体感觉尚可', '短评打分': 4}
{'短评内容': '酒店高档，湖景客房漂亮舒适，酒店环境优美，环步一圈要40多分钟，酒店背后隔江就是缅甸，景色不错，温泉很高档，泡着很舒服。', '短评打分': 5}
{'短评内容': '酒店环境优美……不错哦……', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '不错的选择，酒店环境安静，花园温泉酒店。', '短评打分': 5}
{'短评内容': '不错的选择，环境好安静，花园酒店，', '短评打分': 5}
{'短评内容': '酒店什么都好，设施设备都很新❤️。前台服务真心不敢恭维。叫她续个房间嘴里还在唠叨显麻烦。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '在瑞丽算是最豪华的酒店了，推荐', '短评打分': 5}
{'短评内容': '酒店环境挺好的，就是周边环境有点嘈杂', '短评打分': 5}
{'短评内容': '性价比不错，值得推荐', '短评打分': 4}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '这次入住客人是到瑞丽出差，对于环境要求比较高，经当地政府介绍入住的该酒店，确实环境不错，大堂气派，房间设施也好，还有温泉，值得推荐', '短评打分': 5}
{'短评内容': '该酒店是瑞丽最好的酒店，大堂很气派，房间的环境也很不错，还有温泉提供。酒店的服务也可以跟得上国际标准，比较遗憾的是不能用国际卡。', '短评打分': 5}
{'短评内容': '非常好，木屋v13出来就是温泉，大部分泡温泉的人都不知道这边还有几个泡池，晚上和私家温泉一样。', '短评打分': 5}
{'短评内容': '还不错，尤其餐厅服务员更赞！', '短评打分': 5}
{'短评内容': '性价比超高的酒店，服务好，环境好，还含温泉票，真的非常值！', '短评打分': 5}
{'短评内容': '瑞丽景成地海温泉度假中心酒店纯属**，住三天逼着我换三间房，态度恶劣，什么五星啊?考!', '短评打分': 5}
{'短评内容': '饭店都挺好 但温泉的价格比其他地方高出不少', '短评打分': 5}
