{'短评内容': '早餐品种不多，还行', '短评打分': 5}
{'短评内容': '酒店位置很好，旁边有家阿华海鲜当地人都去吃，比较便宜。小吃街也在附近。酒店门口就是停车场，酒店的早餐没什么吃的，不过10元也是值得的。', '短评打分': 5}
{'短评内容': '速8酒店中比较好的，位置好，交通方便，早餐还可以。不过不要动又破又旧的茶叶包，那是要收费的，而且很贵，别上当。', '短评打分': 5}
{'短评内容': '酒店有停车场，不过位子不多，周围步行十分钟左右，太康路上吃的挺多的', '短评打分': 4}
{'短评内容': '房间还行，就是空调有烟味', '短评打分': 5}
{'短评内容': '长期使用，值得信赖，好评', '短评打分': 5}
{'短评内容': '长期使用，值得信赖，好评', '短评打分': 5}
{'短评内容': '干净。便捷。特别适合带孩子出行。因为酒店很干净。酒店所在位置交通便利，楼下有些小吃。主要胜在性价比，下次来还会住这里', '短评打分': 5}
{'短评内容': '酒店交通便利。霞浦也不大，出门逛逛去哪里都很近。清晨自驾到海边滩涂拍日出，傍晚到另一个地方拍日落，很赞。', '短评打分': 5}
{'短评内容': '首度入住，感觉不错。交通方便，设施齐备，服务态度好，随叫随到，有问题即时解决。住的是标双房，还有早餐，性价比高，决定再住晚。', '短评打分': 4}
{'短评内容': '交通方便卫生干净服务态度很好，就是停车位太少了', '短评打分': 5}
{'短评内容': '酒店设施不错，很舒适，房间挺大。早餐还挺好。', '短评打分': 5}
{'短评内容': '安静，房间也比较干净，卫生，还有含早餐。', '短评打分': 4}
{'短评内容': '比较不错的选择', '短评打分': 4}
{'短评内容': '不错的酒店，环境好！', '短评打分': 5}
{'短评内容': '如果能提供相机，手机等电子产品的充电器就更好了', '短评打分': 4}
{'短评内容': '听朋友说很好 性价比很高 周边就是吃海鲜的地方', '短评打分': 5}
