{'短评内容': '帮公司预订', '短评打分': 5}
{'短评内容': '早餐种类少 酒店还行。                                         ', '短评打分': 5}
{'短评内容': '挺好。                                                ', '短评打分': 5}
{'短评内容': '位置不错。                                               ', '短评打分': 5}
{'短评内容': '不错 又一次选择这个酒店 服务态度不错。                                ', '短评打分': 5}
{'短评内容': '早餐很丰盛，不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 5}
{'短评内容': '还不错吧，这个价格来说算是不错的选择了', '短评打分': 5}
{'短评内容': '和此卖家交流，自觉七经八脉为之一畅，我在**买了这么多年，所谓看过&quot;女干&quot;商无数，但与卖家您交流，我只想说，老板你实在是太好了。 你的高尚情操太让人感动了。本人对此卖家之仰慕如滔滔江水连绵不绝，海枯石烂，天崩地裂，永不变心。交易成功后，我的心情竟是久久不能平静。自古英雄出少年，卖家年纪轻轻，就有经天纬地之才，定国安邦之智，而今，天佑我大中华，沧海桑田5000年，神州平地一声雷，飞沙走石，大雾迷天，朦胧中，只见顶天立地一金甲天神立于天地间，花见花开，人见人爱，这人英雄手持双斧，二目如电，一斧下去，混沌初开，二斧下去，女娲造人，三斧下去，小生倾倒。得此大英雄，实乃国之幸也，民之福，人之初也，怎不叫人喜极而泣 .......看着交易成功，我竟产生出一种无以名之的悲痛感&mdash;&mdash;啊，这么好的卖家，如果将来我再也遇不到了，那我该怎么办？直到我毫不犹豫地把卖家的店收藏了，我内心的那种激动才逐渐平静下来。', '短评打分': 5}
{'短评内容': '现在订机票酒店都来京东了，价格实惠又方便还能打白条，回来再慢慢报销也不急太好了。之前一直是在某程订的呢。', '短评打分': 5}
{'短评内容': '这个套房还不错，一厅两房，一张1.8米和一张1.5米的床，大床房还有浴缸，只是小床房没有窗户，不能通风有些许异味。用京东优惠券后算下来就400元一晚，算是挺优惠的。', '短评打分': 4}
{'短评内容': '京东订酒店更实惠！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '呵呵呵呵呵呵呵呵呵呵呵', '短评打分': 5}
{'短评内容': '收了钱不给入住，还不给退钱，什么天理，你说不是本人就不是本人吗？好，既然说不是本人，你不让人住就应该马上退钱吧，为什么不退！', '短评打分': 1}
{'短评内容': '离机场不远，很高大上的酒店，房间够大，很干净，落地窗让这个房间很明亮。前台办理入住和退房都快，开发票也很有效率，不会像有的酒店需要等半天。会考虑再次入住。', '短评打分': 5}
{'短评内容': '房间还算不错，早餐一般，房间隔音较差，在房间里能更清楚听到走到的声音。', '短评打分': 4}
{'短评内容': '不错哦', '短评打分': 4}
{'短评内容': '酒店不错，早餐非常棒。出差过来基本都住这里了。', '短评打分': 5}
{'短评内容': '环境不错，房间干净，服务态度较好，价格适中，值得入住。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '因为以前在这个酒店住过，出行什么都还算方便，所以这次也替公司一位同事预订。同事回来反映性价比不错！', '短评打分': 5}
{'短评内容': '上回广州出差入住这个酒店，周边设施比较齐全，出行很方便值得推荐', '短评打分': 5}
{'短评内容': '新酒店，感觉不错。地理位置也好。叫车都很方便', '短评打分': 5}
{'短评内容': '环境很好，真的不错，就是不好打车。但也是没有办法的。', '短评打分': 5}
{'短评内容': '床大比较舒服 地理位置方便 门口就是广场 广场旁就是卜蜂莲花超市及麦当劳必胜客等多家快捷餐厅 附近还有风情饮食街 各地美食齐全 就是酒店没有大堂 也没房间价格的挂牌 不知道是什么原因 服务员也比较迟钝 ', '短评打分': 5}
{'短评内容': '一直以来对红谷酒店的评价都很赞，可是这次不得不给个差评，这次入住和以往一样对酒店硬件各方面都很满意，可是退房走了后才发现遗漏了一个抱枕公仔在酒店房间，本以为凭着以往红谷的印象，拿回这个公仔只是时间问题而已，可是打回酒店客服电话，回答却是并未在房间内找到公仔，我很肯定退房时确实是遗漏了这个公仔在房间没拿，没想到居然找不回来了。。。。虽然一个抱枕公仔不算什么，可就是这么一个不值什么的公仔也拿不回来，如', '短评打分': 1}
{'短评内容': '酒店住房很宽敞,设施比较新,房间也很安静,早餐很丰富,还有小笼点心!', '短评打分': 5}
{'短评内容': '客房很大，早餐没以前丰盛了！前台的效率有待提升！', '短评打分': 5}
{'短评内容': '干凈衛生,挺好的酒店。算滿意。性價比較高。推荐入住', '短评打分': 5}
{'短评内容': '门面小，大堂小，不够大气，上电梯出来对着走火楼梯，还以为出错门了。前台服务态度一般。设施新，液晶大电视，看得舒服。房间大，干净，用品齐全，早餐还可以，有中式的蒸笼，吃饱是没问题的。不知是不是冲凉房的门没关紧，水会漏到外面来的。总的来说，满意。', '短评打分': 5}
{'短评内容': 'good````````````````````````````````````````', '短评打分': 5}
{'短评内容': '酒店设施较新，花都在同价位上的酒店算还可以，在花都广场边上，晚上没事可以去广场逛逛', '短评打分': 5}
{'短评内容': '新的装修总体还可以，靠近花都区政府，早餐也不错', '短评打分': 5}
{'短评内容': '周边环境挺好，就在区府斜对面，房间还行，早餐不错', '短评打分': 5}
{'短评内容': '地點方便、價位適中、早餐不錯對得起這價格。', '短评打分': 5}
{'短评内容': '房间不错，对得起房间，前台服务态度不错，就是效率不高。', '短评打分': 5}
{'短评内容': '酒店性价比高，房间大！就是靠马路的房间隔音还是不理想！宽带速度不行！', '短评打分': 5}
{'短评内容': '地點位置方便，附近有老X咖啡或易X蓮花吃飯方便。房間乾淨、整體不錯。', '短评打分': 5}
{'短评内容': '酒店位置就在广场边, 散步闲逛都方便, 周围有湘菜,粤菜,东北菜,日菜等餐厅\n搭的士到高铁北站 或汽车站 15元都能搞定.\n住的是行政套房,  双床双卫双电视一客厅, 外加个小厨房, 流理台上头有电磁炉,排油烟机,洗碗水槽 , 就像汽车旅馆那样 . 有冰箱但开不了.\n房里可以无线上网, 也配了台电脑, 就整体的清洁, 安静, 舒适度来看都满意.\n装修则有些陈旧, 磁砖开裂, 门檔脱落, 浴室的排水', '短评打分': 5}
{'短评内容': '还是不错的，地点也很好，交通也很方便。早餐也不还行。', '短评打分': 5}
{'短评内容': '家人住後很滿意，房間乾淨、價格內附早餐；整體來說，比旁邊的X美酒店好，強烈推薦!!', '短评打分': 5}
{'短评内容': '来花都出差选择这个酒店真是个对极了，交通方便，环境不错，房间很新很干净，很满意！！只是床硬了点，也不知道早餐如何，总的说来性价比高！推荐。', '短评打分': 5}
