{'短评内容': '还可以吧！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还不错，过去的老宾馆改的，房间宽敞度还可以，设施有点旧，服务态度很好，房间比较清静，卫生间够大，还可以啊！', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 4}
{'短评内容': '服务态度差，周边破破烂烂的跟垃圾场一样，热水壶质量很劣质，莫名其妙烧坏了赔了五十块，半球牌的热水壶敢收五十块！还用了那么旧的，说不定是拿某些住客来销毁即将寿终正寝的电器', '短评打分': 1}
{'短评内容': '前台的服务不是一般的差，服务态度太差！！', '短评打分': 3}
{'短评内容': '挺好的，给朋友定的，实惠', '短评打分': 5}
{'短评内容': '不错的灰常喜欢。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间潮湿，房间竟然没有窗户！但是面积挺大，价格确实便宜', '短评打分': 3}
{'短评内容': '房间环境一般，屋子比较潮湿，但是价格便宜，房间面积挺大', '短评打分': 3}
{'短评内容': '房间非常好，全翻新，交通不太方便。', '短评打分': 3}
{'短评内容': '房间还可以，有点潮湿，总体不错，但是我是26号离店的，订单为什么显示25离店，我的返现少了50块', '短评打分': 3}
{'短评内容': '设施陈旧，勉强能住。但是周边环境太差，拆迁区，和轰炸过一样，又脏又乱。', '短评打分': 3}
{'短评内容': '宾馆房间不错，不过服务真不敢恭维，住了两天，第二天竟然不给换毛巾，服务员的意思是如果常住的话中间是不给换毛巾的！位置比较偏，外面吃饭的地方挺多。', '短评打分': 3}
{'短评内容': ' 配置还算可以,就是地点有些偏', '短评打分': 3}
