{'descr': '周边数七天便宜', 'star': 5}
{'descr': '服务不错。早餐不错。住宿地点方便。交通也方便。暖气也可以。房间用点方便。很干净。上下电梯需要刷卡。很好。很好。', 'star': 5}
{'descr': '没有客房服务，不提供基本的毛巾，房间内隔音效果太差，供暖设备不仅没有热风，反而吹出来的都是凉风，一个晚上都没有休息好。', 'star': 2}
{'descr': '被单没换，都是脏脏的，被套也是脏脏的， 桌子上面一层黑黑的，卫生不行。', 'star': 2}
{'descr': '被单没换，都是脏脏的，被套也是脏脏的， 桌子上面一层黑黑的，卫生不行。', 'star': 1}
{'descr': '看起来清新舒爽型的，还是住着比较舒服。外边环境不错。书桌下面有个空气净化器吧，这两天空气新鲜，没怎么用。', 'star': 5}
{'descr': '很不错啊啊啊啊啊啊啊啊啊啊啊', 'star': 5}
{'descr': 'hhgggggg', 'star': 1}
{'descr': '好吧好吧好吧好吧好吧好吧好吧好吧', 'star': 5}
{'descr': '好吧好吧好吧好吧好吧好吧好吧好吧', 'star': 5}
{'descr': '酒店服务不周到，早上九点多就开始打电话告知退房时间，后来十点多还继续打电话骚扰，明明是十二点之前退房这都是知道的，还催催的不让人休息', 'star': 1}
{'descr': '半天都不打扫卫生，服务太差', 'star': 1}
{'descr': '很不错啊哈哈啊哈哈啊哈哈啊哈哈啊哈哈啊哈哈啊哈哈', 'star': 5}
{'descr': '京东酒店真烂，全都是第三方订的，出了问题也不管，把责任都退出去了', 'star': 4}
{'descr': '还不错啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', 'star': 4}
{'descr': '还不错啊啊啊啊啊啊，啊啊啊啊啊啊，', 'star': 5}
{'descr': '京东真垃圾  京东真垃圾  京东真垃圾  京东真垃圾', 'star': 5}
{'descr': '挺好的，满意', 'star': 5}
{'descr': '入住很开心', 'star': 5}
{'descr': '卫生较好，清静', 'star': 5}
{'descr': '环境幽静，房间略差一些，作为商务出差周转还是不错的', 'star': 4}
{'descr': '环境很嗨，我很喜欢', 'star': 5}
{'descr': '其他都感觉可以，就是网速慢，空调时断时续。', 'star': 5}
{'descr': '离出差的地方超级近，但是卫生有待改善啊。', 'star': 4}
{'descr': '不错', 'star': 4}
{'descr': '房间隔音效果太差', 'star': 2}
{'descr': '还可以', 'star': 4}
{'descr': '还行', 'star': 4}
