{'短评内容': '还是可以，价格有优势', '短评打分': 5}
{'短评内容': '酒店真的挺不错的，非常好，前台很热情，办理入住时，服务非常好，隔音也不错。客房很干净整洁，卫生好。很棒很好！ 住得很满意的一次，值得下次再入住的酒店', '短评打分': 5}
{'短评内容': '酒店真的挺不错的，非常好，前台很热情，办理入住时，服务非常好，隔音也不错。客房很干净整洁，卫生好。很棒很好！ 住得很满意的一次，值得下次再入住的酒店', '短评打分': 5}
{'短评内容': '挺好的，价格比较实惠，房间很干净，周边就有很多吃的，交通什么的都挺方便。不过酒店在一个巷子里面，可能会走过那个路口。', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '真是一种家的感觉，设施一应俱全，呵呵呵 ，就是旧点，不过不影响，交通也很方便，门口就有公交，走10来分钟就到宽窄巷子了，下次来还会住这，有朋友来也会推荐的，这个价钱真的不错，真心的。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错，性价比挺高的', '短评打分': 5}
{'短评内容': '还不错，性价比挺高的', '短评打分': 5}
{'短评内容': '还行哒', '短评打分': 5}
{'短评内容': '    条件一般。牙膏牙刷等洗漱用品都没有。', '短评打分': 3}
{'短评内容': '订房态度差，前台服务差，房间设施差！第一个房间沙发是坏的，打电话还让自己去换房，麻烦！', '短评打分': 1}
{'短评内容': '服务态度很不错，就是设施有点旧，灯有点差，其他的不错。周边环境都还不错，吃的东西很多，买东西也很方便', '短评打分': 5}
{'短评内容': '开了很久的酒店，设施有点陈旧，但很干净~~~ 特别安静不像其他一些闹市区的酒店', '短评打分': 5}
{'短评内容': '酒店还算干净，就是时间有点久了，东西有点陈旧了', '短评打分': 5}
{'短评内容': '第二次来了，很不错，周围什么都方便，酒店环境挺好的', '短评打分': 5}
{'短评内容': '交通便利，卫生条件还可以，服务很热情，就是设备有点陈旧了！', '短评打分': 5}
{'短评内容': '觉得还不错，像家庭套房，很划算，', '短评打分': 3}
{'短评内容': '很干净，住的13楼临小街不吵，床特别大睡着很爽！', '短评打分': 3}
{'短评内容': '卫生不好，装修的跟图片差很多。卫生间更糟糕，还有朋友的房间竟然入住的时候就没打扫，只是铺整齐了而已。差差差。不是订不到锦江或者其它连锁店，根本不会来这里', '短评打分': 1}
{'短评内容': '布置还行，就是里面的家具，包括卫生间的东西都太旧了。基本都是破的', '短评打分': 1}
{'短评内容': '设施陈旧，卫生条件较差，交通噪音大', '短评打分': 3}
{'短评内容': '住的是家庭房 感觉还不错 两件房都有电视和空调 而且是背街的 一点都不吵 就是小卧室的床垫不太好 总之都还OK了', '短评打分': 5}
{'短评内容': '干净，安静~~~住的  9楼~~~ 热水 稍微偏冷~~~ 服务很好，只是手续有点繁琐\n总的来说很满意', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '环境还不错，属于市中心，交通方便，对面就是大型超市，还有很多娱乐场所，各种美食也就在周边，相当便利', '短评打分': 5}
{'短评内容': '酒店给我感觉很温馨,有点家的感觉,而且房间色彩很暖,住在里面很舒服.', '短评打分': 5}
{'短评内容': '市中心交通方便,价格合理，房间卫生较好。', '短评打分': 5}
{'短评内容': '有家的感觉,还不错!不过就是外面地段比较繁华,晚上睡觉有点吵', '短评打分': 5}
{'短评内容': '酒店位置不错，服务态度也很好，因为开始的房间太靠里面，给前台说，很痛快的给换了，房间空调出问题，也是很快就有人来修，但是冰箱是坏的，其他都还可以，性价比一般吧', '短评打分': 5}
{'短评内容': '房间色彩挺丰富，感觉很舒适，基本设施都有，也很干净。', '短评打分': 5}
{'短评内容': '酒店位于市中心，周边交通挺便利，酒店内部环境也很好，干净整洁，设施齐全，整体感觉很不错。', '短评打分': 5}
{'短评内容': '经济实惠，干净舒适，价格公道，很适合商旅人士。', '短评打分': 5}
{'短评内容': '管理上挺好，挺安全的，服务上也挺周到，卫生没话说，住的挺满意。', '短评打分': 5}
{'短评内容': '房间不是特别大，但是布置的很好，卫生打扫的很干净，住的也挺舒适。', '短评打分': 5}
{'短评内容': '房间不错，就是卫浴空间太小', '短评打分': 5}
{'短评内容': '很有家的感觉,一切都很好,而且服务态度也很好.', '短评打分': 5}
{'短评内容': '性价比一般', '短评打分': 3}
{'短评内容': '性价比一般', '短评打分': 1}
{'短评内容': '房间设计的很简朴，色彩搭配的很协调，让人看的很舒服。设施也比较齐全，住的挺满意的。', '短评打分': 5}
{'短评内容': '酒店周边环境不错，小吃挺多，口味也不错，吃饭很方便。', '短评打分': 5}
{'短评内容': '我住的是套房形式的，设施挺齐全的，布置的也挺温馨，住的挺舒适的。', '短评打分': 5}
{'短评内容': '这家酒店布置简洁但很舒适，出行方便，价格也实惠，很适合大众化。', '短评打分': 5}
{'短评内容': '就位置和价位来说，还行吧', '短评打分': 5}
