{'短评内容': '房间设施虽略显简陋  但很是比较卫生 舒适  步行不久就有公车站  交通算方便  这个价位算值了', '短评打分': 5}
{'短评内容': '双人房很大，较赶紧。就是没有冰箱，空调声音有点响，毕竟价格摆在那，，，', '短评打分': 5}
{'短评内容': '宾馆条件很一般,房间有蚊子，而且位置以较偏，交通不方便', '短评打分': 3}
{'短评内容': '广交会期间入住，位置较便，环境一般，价格还188，估计平时会便宜些。', '短评打分': 3}
{'短评内容': '垃圾．．服务\u3000一点不好．网络根本用不了．就是刚到的时候用了一个多钟．然后住了两天．都上不了网！！！叫多个毛巾或者其它什么的．半天没人送上来．还是我自己跑下去前台拿的！！．．想换间房．根本就是网上的价．要多点说网上的价换的房是一样的．!!什么跟什么罚！！郁闷', '短评打分': 1}
{'短评内容': '性价比较高。\n在广州很难找到这么便宜的旅馆了\n出行相对方便', '短评打分': 5}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '一般般，真的很一般般的，和路边40元那种差不多', '短评打分': 1}
{'短评内容': '太差了。我订的豪华单人他们没有帮我留。还一定要我双人的。晚上还有人打麻将很吵。', '短评打分': 1}
{'短评内容': '这家宾馆还是不错的。 地理位置和环境算是折衷看比较好的', '短评打分': 5}
{'短评内容': '仅仅是因为办事方便，才临时入住了一个晚上，实在没有什么可以推荐的地方', '短评打分': 1}
