{'短评内容': '真心一句话，太差。差到不想说话。', '短评打分': 1}
{'短评内容': '没有早餐的', '短评打分': 3}
{'短评内容': '附近早餐店很多，位置很好很方便，适合带孩子，如果里面装修的很好一点，会更好更加舒适，老板很热情总体来说不错啦', '短评打分': 5}
{'短评内容': '位置不错，沈园旁，内部环境一般，不过，黄金地段，这价格，也就只能这样了', '短评打分': 4}
{'短评内容': '太差了 浴室漏水 厕所没水 服务员态度差 空调坏掉，电视太小 床头柜充不了电 价格很不合理太贵 晚上声音太大 窗外视野太差 什么破冰棺 对绍兴这座城市简直是玷污 什么破名字 有辱斯文', '短评打分': 1}
{'短评内容': '帮家人预订的，为了方便而已，性价比一般，马马虎虎', '短评打分': 4}
{'短评内容': '酒店位置不错，交通便利，方便出行，基本满意！', '短评打分': 5}
{'短评内容': '勉强招待所的标准，相当的简陋！价格业不便宜，还不入住连锁酒店，不会再去住了！周围就是鲁迅景区，吃饭旅游到是很方便，', '短评打分': 4}
{'短评内容': '一般，招待所的感觉。体验很差，照片和实际有很大差别很不好的体验，相对而言只有价格便宜那么一点点。对于家庭无诱惑力', '短评打分': 4}
{'短评内容': '忘了评价，挺不错的，家人很喜欢，下次去还会订', '短评打分': 5}
{'短评内容': '酒店地点特别好，走五分钟不到就可以到达鲁迅故里了～', '短评打分': 5}
{'短评内容': '靠着鲁迅故里和沈园，地理位置还好。里面的设施一般，空间略小的', '短评打分': 4}
{'短评内容': '离沈园和鲁迅故居两个景点都很近，从窗外看到的风景也很美。', '短评打分': 3}
{'短评内容': '距离沈园很近，出行方便，值得推荐。这家宾馆价格公道，地理位置非常优越，距沈园十余米，距鲁迅故里百余米，前往绍兴北站，兰亭，大禹陵，东湖都很便捷，酒店入口写满去各个景点的路线及风景描述，酒店正规，虽然我是抗战纪念日去的，在携程预定的价格是多少，进店付的就是多少。标间不太大，但挺安静的，晚上看完沈园演出。', '短评打分': 5}
{'短评内容': '离景点很近，环境不错，后面还有一竹林，', '短评打分': 3}
{'短评内容': '房间太小，服务太差', '短评打分': 3}
{'短评内容': '又贵又拥挤，最后没办法了，到附近有一家商务宾馆挺好的！', '短评打分': 1}
{'短评内容': '房间内洗手间有异味，门框脱落，门缝很大，外面可以轻易看到里面，电脑鼠标不灵，线头混乱，床单破洞，未洗干净，房间整体感觉很差', '短评打分': 1}
{'短评内容': '唯一的优点就是价格低，下次宁可多加几十块去住稍好些的快捷酒店。', '短评打分': 1}
{'短评内容': '宾馆位置真的很好，离旅游景点很近，很方便，老板人也很好，卫生条件还可以', '短评打分': 5}
{'短评内容': '宾馆离沈园、鲁讯故里等景区很近，地理位置很好', '短评打分': 5}
{'短评内容': '室内环境还可以，就是洗发水和沐浴露不是很好，洗完不舒服', '短评打分': 5}
{'短评内容': '离鲁迅故居真心很近 附近有小河和乌篷船\n住的是单人房 有点家庭旅馆的感觉 小小的 \n马桶坐盖不够干净 不过也擦不掉 想必有些年头了\n吹风机要用的话要去前台借 老板说最好是用的时候再来拿\n总体感觉还可以 空调洗浴都还好\n外出不挑剔啦 毕竟位置很好的 去沈园更不用说\n虽然门锁有够传统 但还倒安全 \n总体感觉不错 推荐给讲求实惠的朋友', '短评打分': 5}
{'短评内容': '地理位置很好，但环境不好，卫生很差', '短评打分': 3}
{'短评内容': '设施比较简陋，性价比也不高，房间布局很一般', '短评打分': 1}
{'短评内容': '还可以，就是门禁比较破，还是机械式的开门方式。位置比较好，门口一条河，比较有水乡味道。', '短评打分': 5}
{'短评内容': '位置挺好，价格便宜，其他不敢恭维。距离鲁迅故居很近', '短评打分': 5}
{'短评内容': '交通便利，地段好，服务态度也不错。美中不足的是，设备较陈旧，有些东西看上去快坏了。总体来看是一家性价比不错的酒店。', '短评打分': 5}
{'短评内容': '出行便捷,,卫生间干湿分开,水温偏低,寄放物品堆放大厅,无人管理.', '短评打分': 1}
{'短评内容': '位置不错,房间太小,用品陈旧', '短评打分': 3}
{'短评内容': '房间还干净，就是有点小。', '短评打分': 3}
{'短评内容': '房间的实际情况和照片出入太大了，本来以为是很有古韵的一个客栈，结果就是一般的小宾馆，而且环境和卫生情况也差强人意。', '短评打分': 1}
{'短评内容': '酒店位置好，但房间小，设备旧，床太软，睡得很难受', '短评打分': 3}
{'短评内容': '第一次入住绍兴沈园陆公宾馆，房间虽小但样样俱全，感觉温馨舒适！不足之处：如朋友告知的总台门厅稍暗。', '短评打分': 3}
{'短评内容': '有点旧，空调很不给力。唯一洗澡很爽', '短评打分': 3}
{'短评内容': '宾馆离沈园很近，晚上去沈园之夜非常方便，酒店的条件不敢恭维，据老板说是一个酒厂开的宾馆，没有电梯，要是住四楼，有点费劲，房间比较小。', '短评打分': 1}
{'短评内容': '屋子很小。。不过服务态度很好，离鲁迅故里和沈园也不是一般的近。。。', '短评打分': 5}
{'短评内容': '只能说价格便宜。里面不是很好，空间太小。浴室是透明的。', '短评打分': 5}
{'短评内容': '还可以吧，离鲁迅故居很近，是一家居宾馆，网速很快', '短评打分': 5}
{'短评内容': '不是很好的，那天我去开房，半天不理人，只见一民警在那，好像是老板打了客人，', '短评打分': 1}
{'短评内容': '\u3000价格实惠，干净，挺满意', '短评打分': 3}
{'短评内容': '\u3000酒店离鲁迅故居约百米，前有溪流流过。房间虽不大，比较整洁。不错。', '短评打分': 3}
{'短评内容': '地理位置很方便', '短评打分': 3}
{'短评内容': '离鲁迅故里比较近，但是宾馆有点旧，房间也比较小，性价比一般。', '短评打分': 5}
{'短评内容': '地处位置不错，出来方便。内设简单，干净。', '短评打分': 1}
{'短评内容': '住房条件太差，但感谢沙龙', '短评打分': 3}
{'短评内容': '酒店可能是年代比较久远了吧，有些设施都比较老旧，房间里有张床是缺脚的，坐在床尾床头就会翘起来，不过还好躺下时是平稳的，要不然就悲催了说。值得欣慰的是晚上睡觉时还是蛮安静的，周围的环境还好吧。', '短评打分': 1}
{'短评内容': '房间非常小，毕竟价格摆在那里，对我来说能上网就行。还算安静。', '短评打分': 5}
{'短评内容': '    地理位置比较好，交通方便，离沈园和鲁迅故居很近，夜游沈园更方便。宾馆条件还不错，虽然房间小点，还算是比较干净的，泡澡的水也大，服务员态度也好，总的来说还算可以，值得推荐。', '短评打分': 5}
{'短评内容': '房间太小，水压很小也不热，以后不会考虑', '短评打分': 3}
